Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,15,37,39,258,92,4040,341,-3,5,-8,
2,1,31,2024,15,37,39,268,92,4040,341,-3,5,-8,
3,1,31,2024,15,37,39,278,92,4040,341,-3,5,-8,
4,1,31,2024,15,37,39,288,92,4040,341,-3,5,-8,
5,1,31,2024,15,37,39,298,92,4040,341,-3,5,-8,
6,1,31,2024,15,37,39,308,92,4040,341,-3,5,-8,
7,1,31,2024,15,37,39,318,1569,2377,2924,-16,2,-11,
8,1,31,2024,15,37,39,328,1567,2370,2918,-14,-3,-8,
9,1,31,2024,15,37,39,338,1567,2372,2916,-6,-2,-8,
10,1,31,2024,15,37,39,348,1568,2374,2915,-7,-2,-2,
11,1,31,2024,15,37,39,358,1570,2372,2920,-5,-1,-2,
12,1,31,2024,15,37,39,368,1569,2375,2920,-8,-1,-6,
13,1,31,2024,15,37,39,378,1570,2379,2916,-7,1,-7,
14,1,31,2024,15,37,39,388,1566,2373,2919,-8,-3,-1,
15,1,31,2024,15,37,39,398,1568,2371,2918,-8,-3,-3,
16,1,31,2024,15,37,39,408,1573,2376,2915,-11,-4,-4,
17,1,31,2024,15,37,39,418,1567,2380,2915,-11,-7,-5,
18,1,31,2024,15,37,39,428,1562,2378,2912,-11,-9,-3,
19,1,31,2024,15,37,39,438,1562,2369,2920,-11,-9,-1,
20,1,31,2024,15,37,39,448,1567,2372,2914,-11,-13,-2,
21,1,31,2024,15,37,39,458,1559,2370,2923,-12,-13,4,
22,1,31,2024,15,37,39,468,1572,2376,2916,-13,-17,5,
23,1,31,2024,15,37,39,478,1579,2367,2918,-11,-18,2,
24,1,31,2024,15,37,39,488,1571,2373,2919,-14,-15,1,
25,1,31,2024,15,37,39,498,1569,2375,2918,-14,-18,3,
26,1,31,2024,15,37,39,508,1575,2373,2924,-15,-17,5,
27,1,31,2024,15,37,39,518,1577,2369,2929,-18,-18,5,
28,1,31,2024,15,37,39,528,1561,2376,2915,-16,-19,7,
29,1,31,2024,15,37,39,538,1577,2363,2913,-14,-20,7,
30,1,31,2024,15,37,39,548,1573,2372,2915,-16,-19,5,
31,1,31,2024,15,37,39,558,1586,2367,2912,-16,-24,6,
32,1,31,2024,15,37,39,568,1579,2371,2917,-16,-23,4,
33,1,31,2024,15,37,39,578,1574,2364,2915,-17,-22,6,
34,1,31,2024,15,37,39,588,1579,2376,2917,-16,-19,5,
35,1,31,2024,15,37,39,598,1575,2371,2920,-18,-19,4,
36,1,31,2024,15,37,39,608,1583,2370,2915,-18,-18,5,
37,1,31,2024,15,37,39,618,1572,2374,2910,-16,-16,1,
38,1,31,2024,15,37,39,628,1572,2371,2915,-21,-11,-2,
39,1,31,2024,15,37,39,638,1575,2374,2910,-19,-15,0,
40,1,31,2024,15,37,39,648,1586,2366,2913,-18,-16,4,
41,1,31,2024,15,37,39,658,1578,2376,2906,-12,-11,7,
42,1,31,2024,15,37,39,668,1575,2365,2924,-4,-11,11,
43,1,31,2024,15,37,39,678,1578,2365,2919,-13,-20,11,
44,1,31,2024,15,37,39,688,1592,2361,2923,-15,-20,9,
45,1,31,2024,15,37,39,698,1578,2371,2914,-4,-19,9,
46,1,31,2024,15,37,39,708,1581,2375,2924,-5,-19,10,
47,1,31,2024,15,37,39,718,1583,2373,2919,-6,-19,8,
48,1,31,2024,15,37,39,728,1587,2366,2915,-2,-20,8,
49,1,31,2024,15,37,39,738,1589,2362,2921,-7,-19,6,
50,1,31,2024,15,37,39,748,1591,2371,2927,-9,-18,4,
51,1,31,2024,15,37,39,758,1585,2371,2922,-8,-17,5,
52,1,31,2024,15,37,39,768,1591,2366,2919,-7,-18,6,
53,1,31,2024,15,37,39,778,1586,2363,2915,-13,-16,5,
54,1,31,2024,15,37,39,788,1583,2368,2919,-10,-16,5,
55,1,31,2024,15,37,39,798,1584,2365,2914,-3,-18,8,
56,1,31,2024,15,37,39,808,1592,2368,2914,0,-20,12,
57,1,31,2024,15,37,39,818,1586,2373,2913,1,-21,13,
58,1,31,2024,15,37,39,828,1593,2370,2916,1,-18,15,
59,1,31,2024,15,37,39,838,1595,2364,2914,3,-19,11,
60,1,31,2024,15,37,39,848,1591,2359,2918,5,-20,11,
61,1,31,2024,15,37,39,858,1607,2362,2918,6,-19,12,
62,1,31,2024,15,37,39,868,1593,2363,2916,-2,-19,4,
63,1,31,2024,15,37,39,878,1585,2367,2911,0,-16,6,
64,1,31,2024,15,37,39,888,1594,2367,2917,-4,-16,9,
65,1,31,2024,15,37,39,898,1594,2364,2918,-6,-19,9,
66,1,31,2024,15,37,39,908,1598,2362,2912,-3,-20,11,
67,1,31,2024,15,37,39,918,1595,2361,2916,-6,-17,8,
68,1,31,2024,15,37,39,928,1591,2369,2913,0,-16,9,
69,1,31,2024,15,37,39,938,1606,2357,2915,0,-17,9,
70,1,31,2024,15,37,39,948,1595,2364,2917,3,-12,3,
71,1,31,2024,15,37,39,958,1598,2369,2912,1,-12,4,
72,1,31,2024,15,37,39,968,1594,2367,2911,0,-10,3,
73,1,31,2024,15,37,39,978,1608,2363,2918,6,-13,3,
74,1,31,2024,15,37,39,988,1606,2366,2915,7,-13,4,
75,1,31,2024,15,37,39,998,1604,2368,2911,7,-12,5,
76,1,31,2024,15,37,40,8,1602,2368,2902,3,-8,0,
77,1,31,2024,15,37,40,18,1604,2366,2904,-1,-4,-1,
78,1,31,2024,15,37,40,28,1606,2369,2913,-1,-2,2,
79,1,31,2024,15,37,40,38,1596,2363,2918,-1,-3,3,
80,1,31,2024,15,37,40,48,1595,2366,2916,-3,-5,0,
81,1,31,2024,15,37,40,58,1606,2364,2910,0,-8,-1,
82,1,31,2024,15,37,40,68,1610,2367,2914,1,-3,-1,
83,1,31,2024,15,37,40,78,1605,2362,2913,3,-3,-1,
84,1,31,2024,15,37,40,88,1603,2367,2910,0,-1,-8,
85,1,31,2024,15,37,40,98,1598,2364,2909,-1,0,-6,
86,1,31,2024,15,37,40,118,1603,2364,2912,-2,-2,-3,
87,1,31,2024,15,37,40,128,1611,2357,2908,-3,0,-6,
88,1,31,2024,15,37,40,138,1615,2364,2919,-2,2,-3,
89,1,31,2024,15,37,40,148,1609,2367,2908,0,3,0,
90,1,31,2024,15,37,40,158,1603,2371,2914,-2,3,-7,
91,1,31,2024,15,37,40,168,1601,2366,2908,-3,1,-9,
92,1,31,2024,15,37,40,178,1597,2366,2911,-2,2,-2,
93,1,31,2024,15,37,40,188,1603,2361,2916,-8,2,-3,
94,1,31,2024,15,37,40,198,1604,2364,2905,-5,2,-6,
95,1,31,2024,15,37,40,208,1604,2367,2905,-3,0,-6,
96,1,31,2024,15,37,40,218,1597,2363,2902,-1,0,-6,
97,1,31,2024,15,37,40,228,1602,2369,2895,-3,4,-7,
98,1,31,2024,15,37,40,238,1609,2367,2910,-4,3,-6,
99,1,31,2024,15,37,40,248,1612,2372,2911,-5,8,-2,
100,1,31,2024,15,37,40,258,1603,2360,2906,-4,7,-9,
101,1,31,2024,15,37,40,268,1598,2362,2908,-4,11,-7,
102,1,31,2024,15,37,40,278,1598,2370,2906,-4,9,-7,
103,1,31,2024,15,37,40,288,1600,2369,2911,-7,9,-8,
104,1,31,2024,15,37,40,298,1597,2364,2911,-4,9,-9,
105,1,31,2024,15,37,40,308,1605,2368,2906,0,6,-5,
106,1,31,2024,15,37,40,318,1601,2363,2902,-2,4,-6,
107,1,31,2024,15,37,40,328,1599,2367,2905,-3,9,-7,
108,1,31,2024,15,37,40,338,1593,2375,2916,-5,7,-2,
109,1,31,2024,15,37,40,348,1611,2361,2915,-5,7,-2,
110,1,31,2024,15,37,40,358,1602,2367,2903,-4,7,-6,
111,1,31,2024,15,37,40,368,1606,2364,2910,-4,4,-4,
112,1,31,2024,15,37,40,378,1603,2365,2915,-3,5,-5,
113,1,31,2024,15,37,40,388,1606,2364,2904,-7,6,-6,
114,1,31,2024,15,37,40,398,1604,2369,2905,-5,10,-5,
115,1,31,2024,15,37,40,408,1604,2363,2915,-4,11,-7,
116,1,31,2024,15,37,40,418,1604,2366,2899,-4,16,-9,
117,1,31,2024,15,37,40,428,1599,2366,2907,-6,14,-10,
