Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,57,21,207,38,-4050,-72,1,-8,3,
2,1,31,2024,16,57,21,217,38,-4050,-72,1,-8,3,
3,1,31,2024,16,57,21,227,38,-4050,-72,1,-8,3,
4,1,31,2024,16,57,21,237,38,-4050,-72,1,-8,3,
5,1,31,2024,16,57,21,247,38,-4050,-72,1,-8,3,
6,1,31,2024,16,57,21,257,38,-4050,-72,1,-8,3,
7,1,31,2024,16,57,21,267,1932,2125,2974,32,43,-25,
8,1,31,2024,16,57,21,277,1884,2139,2963,45,25,-32,
9,1,31,2024,16,57,21,287,1855,2125,2978,32,22,-19,
10,1,31,2024,16,57,21,297,1849,2201,2936,31,15,-1,
11,1,31,2024,16,57,21,307,1869,2157,2957,11,-2,1,
12,1,31,2024,16,57,21,317,1898,2111,2980,0,-8,7,
13,1,31,2024,16,57,21,327,1907,2155,2966,5,-12,8,
14,1,31,2024,16,57,21,337,1917,2133,2965,0,-11,4,
15,1,31,2024,16,57,21,347,1909,2136,2972,-4,-5,1,
16,1,31,2024,16,57,21,357,1917,2146,2975,-5,0,-5,
17,1,31,2024,16,57,21,367,1901,2144,2973,-2,15,-12,
18,1,31,2024,16,57,21,377,1864,2172,2945,0,15,-11,
19,1,31,2024,16,57,21,387,1849,2150,2958,-12,6,-1,
20,1,31,2024,16,57,21,397,1857,2122,2979,-20,-4,12,
21,1,31,2024,16,57,21,407,1892,2125,2974,-17,-19,23,
22,1,31,2024,16,57,21,417,1906,2124,2978,-17,-21,16,
23,1,31,2024,16,57,21,427,1882,2138,2979,-18,-19,9,
24,1,31,2024,16,57,21,437,1884,2151,2963,-14,-18,12,
25,1,31,2024,16,57,21,447,1895,2144,2959,-22,-17,17,
26,1,31,2024,16,57,21,457,1893,2144,2966,-30,-15,19,
27,1,31,2024,16,57,21,467,1898,2135,2968,-33,-11,21,
28,1,31,2024,16,57,21,477,1910,2123,2983,-36,-11,25,
29,1,31,2024,16,57,21,487,1920,2119,2973,-31,-6,17,
30,1,31,2024,16,57,21,497,1908,2124,2978,-24,-1,8,
31,1,31,2024,16,57,21,507,1950,2111,2989,-12,3,0,
32,1,31,2024,16,57,21,517,1879,2152,2961,-2,15,-14,
33,1,31,2024,16,57,21,527,1848,2144,2974,-7,4,-5,
34,1,31,2024,16,57,21,537,1874,2127,2982,-9,-9,10,
35,1,31,2024,16,57,21,547,1875,2136,2972,-12,-16,16,
36,1,31,2024,16,57,21,557,1915,2119,2984,-13,-21,16,
37,1,31,2024,16,57,21,567,1914,2133,2979,-6,-19,17,
38,1,31,2024,16,57,21,577,1926,2125,2978,0,-16,13,
39,1,31,2024,16,57,21,587,1904,2141,2964,1,-6,1,
40,1,31,2024,16,57,21,597,1886,2144,2970,-4,-5,-2,
41,1,31,2024,16,57,21,607,1882,2134,2968,-10,-7,4,
42,1,31,2024,16,57,21,617,1882,2132,2972,-15,-8,6,
43,1,31,2024,16,57,21,627,1883,2122,2983,-16,-13,10,
44,1,31,2024,16,57,21,637,1900,2121,2980,-12,-17,14,
45,1,31,2024,16,57,21,647,1935,2119,2987,-9,-13,12,
46,1,31,2024,16,57,21,657,1919,2120,2976,1,-5,6,
47,1,31,2024,16,57,21,667,1898,2126,2978,5,4,-4,
48,1,31,2024,16,57,21,677,1932,2103,2990,13,2,-5,
49,1,31,2024,16,57,21,687,1901,2138,2968,18,13,-17,
50,1,31,2024,16,57,21,697,1874,2159,2963,16,12,-19,
51,1,31,2024,16,57,21,707,1879,2141,2967,5,1,-11,
52,1,31,2024,16,57,21,717,1860,2140,2969,1,-2,-5,
53,1,31,2024,16,57,21,727,1883,2133,2970,-6,-14,6,
54,1,31,2024,16,57,21,737,1903,2119,2982,-5,-14,10,
55,1,31,2024,16,57,21,747,1897,2135,2972,-4,-11,8,
56,1,31,2024,16,57,21,757,1897,2131,2971,-4,-12,10,
57,1,31,2024,16,57,21,767,1925,2119,2978,-2,-16,10,
58,1,31,2024,16,57,21,777,1918,2119,2980,2,-5,-1,
59,1,31,2024,16,57,21,787,1904,2132,2979,8,3,-10,
60,1,31,2024,16,57,21,797,1938,2111,2986,17,6,-9,
61,1,31,2024,16,57,21,807,1875,2146,2963,26,18,-21,
62,1,31,2024,16,57,21,817,1880,2139,2970,21,8,-20,
63,1,31,2024,16,57,21,827,1897,2116,2982,22,5,-16,
64,1,31,2024,16,57,21,837,1861,2149,2967,25,10,-18,
65,1,31,2024,16,57,21,847,1886,2145,2958,18,0,-7,
66,1,31,2024,16,57,21,857,1875,2127,2975,9,-7,1,
67,1,31,2024,16,57,21,867,1882,2143,2966,8,-9,4,
68,1,31,2024,16,57,21,877,1900,2127,2979,5,-14,8,
69,1,31,2024,16,57,21,887,1923,2121,2988,8,-14,2,
70,1,31,2024,16,57,21,897,1900,2145,2971,15,-2,-6,
71,1,31,2024,16,57,21,907,1880,2145,2968,14,-1,-8,
72,1,31,2024,16,57,21,917,1870,2147,2966,9,-6,-5,
73,1,31,2024,16,57,21,927,1869,2138,2973,0,-11,2,
74,1,31,2024,16,57,21,937,1878,2129,2986,-2,-16,11,
75,1,31,2024,16,57,21,947,1885,2132,2981,-3,-23,17,
76,1,31,2024,16,57,21,957,1893,2141,2973,-3,-26,19,
77,1,31,2024,16,57,21,967,1919,2132,2976,-6,-25,19,
78,1,31,2024,16,57,21,977,1927,2128,2972,-2,-13,6,
79,1,31,2024,16,57,21,987,1890,2149,2976,6,-2,-1,
80,1,31,2024,16,57,21,997,1863,2154,2965,-2,-3,1,
81,1,31,2024,16,57,22,7,1922,2120,2982,-5,-8,11,
82,1,31,2024,16,57,22,17,1916,2124,2975,8,0,2,
83,1,31,2024,16,57,22,27,1889,2148,2966,11,3,-5,
84,1,31,2024,16,57,22,37,1901,2130,2975,9,2,-6,
85,1,31,2024,16,57,22,47,1882,2139,2971,10,2,-5,
86,1,31,2024,16,57,22,67,1876,2145,2973,4,-6,2,
87,1,31,2024,16,57,22,77,1873,2146,2966,3,-12,4,
88,1,31,2024,16,57,22,87,1894,2139,2967,-2,-17,9,
89,1,31,2024,16,57,22,97,1891,2146,2971,-7,-18,11,
90,1,31,2024,16,57,22,107,1900,2133,2971,-8,-16,12,
91,1,31,2024,16,57,22,117,1896,2134,2969,-13,-10,8,
92,1,31,2024,16,57,22,127,1880,2141,2964,-12,-13,10,
93,1,31,2024,16,57,22,137,1875,2136,2968,-13,-18,14,
94,1,31,2024,16,57,22,147,1897,2143,2964,-21,-21,17,
95,1,31,2024,16,57,22,157,1890,2144,2964,-20,-22,19,
96,1,31,2024,16,57,22,167,1877,2145,2968,-22,-24,18,
97,1,31,2024,16,57,22,177,1898,2135,2979,-26,-29,25,
98,1,31,2024,16,57,22,187,1907,2129,2988,-26,-25,25,
99,1,31,2024,16,57,22,197,1894,2141,2966,-21,-21,23,
100,1,31,2024,16,57,22,207,1891,2127,2969,-27,-22,25,
101,1,31,2024,16,57,22,217,1890,2127,2966,-31,-23,27,
102,1,31,2024,16,57,22,227,1890,2135,2968,-29,-23,29,
103,1,31,2024,16,57,22,237,1896,2134,2970,-27,-28,26,
104,1,31,2024,16,57,22,247,1897,2136,2974,-27,-28,27,
105,1,31,2024,16,57,22,257,1915,2135,2972,-27,-28,26,
106,1,31,2024,16,57,22,267,1915,2127,2973,-21,-22,20,
107,1,31,2024,16,57,22,277,1906,2133,2975,-20,-16,14,
108,1,31,2024,16,57,22,287,1900,2126,2974,-21,-12,15,
109,1,31,2024,16,57,22,297,1900,2119,2973,-20,-15,13,
110,1,31,2024,16,57,22,307,1894,2133,2974,-12,-12,13,
111,1,31,2024,16,57,22,317,1916,2122,2982,-9,-19,17,
112,1,31,2024,16,57,22,327,1939,2108,2987,-3,-15,9,
113,1,31,2024,16,57,22,337,1898,2134,2965,9,-2,-3,
114,1,31,2024,16,57,22,347,1887,2139,2956,7,-4,-1,
115,1,31,2024,16,57,22,357,1890,2125,2975,-3,-8,3,
116,1,31,2024,16,57,22,367,1877,2134,2975,-5,-16,8,
117,1,31,2024,16,57,22,377,1885,2128,2975,-7,-19,13,
118,1,31,2024,16,57,22,387,1918,2120,2983,-6,-21,17,
119,1,31,2024,16,57,22,397,1904,2123,2974,-1,-17,9,
120,1,31,2024,16,57,22,407,1907,2130,2966,-7,-14,10,
121,1,31,2024,16,57,22,417,1906,2125,2975,-10,-12,9,
122,1,31,2024,16,57,22,427,1894,2128,2966,-10,-11,6,
