Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,33,8,28,115,-4071,-47,-1,2,0,
2,1,31,2024,16,33,8,38,115,-4071,-47,-1,2,0,
3,1,31,2024,16,33,8,48,115,-4071,-47,-1,2,0,
4,1,31,2024,16,33,8,58,115,-4071,-47,-1,2,0,
5,1,31,2024,16,33,8,68,115,-4071,-47,-1,2,0,
6,1,31,2024,16,33,8,78,115,-4071,-47,-1,2,0,
7,1,31,2024,16,33,8,88,1804,-1130,3516,-8,19,5,
8,1,31,2024,16,33,8,98,1820,-1127,3532,-1,7,10,
9,1,31,2024,16,33,8,108,1833,-1125,3512,-20,9,7,
10,1,31,2024,16,33,8,118,1808,-1147,3502,-29,21,12,
11,1,31,2024,16,33,8,128,1813,-1136,3506,-22,18,14,
12,1,31,2024,16,33,8,138,1802,-1154,3496,-22,19,5,
13,1,31,2024,16,33,8,148,1798,-1139,3510,-13,21,7,
14,1,31,2024,16,33,8,158,1804,-1132,3514,-13,19,2,
15,1,31,2024,16,33,8,168,1834,-1124,3515,-9,14,3,
16,1,31,2024,16,33,8,178,1840,-1104,3532,-22,18,9,
17,1,31,2024,16,33,8,188,1797,-1145,3511,-40,33,19,
18,1,31,2024,16,33,8,198,1787,-1178,3487,-35,31,17,
19,1,31,2024,16,33,8,208,1799,-1140,3504,-17,25,12,
20,1,31,2024,16,33,8,218,1805,-1142,3513,-13,22,8,
21,1,31,2024,16,33,8,228,1800,-1156,3506,-12,18,9,
22,1,31,2024,16,33,8,238,1794,-1142,3512,-6,15,8,
23,1,31,2024,16,33,8,248,1799,-1149,3504,-1,13,3,
24,1,31,2024,16,33,8,258,1806,-1140,3506,4,12,4,
25,1,31,2024,16,33,8,268,1796,-1141,3510,5,11,2,
26,1,31,2024,16,33,8,278,1793,-1149,3504,5,4,2,
27,1,31,2024,16,33,8,288,1811,-1138,3510,10,2,1,
28,1,31,2024,16,33,8,298,1798,-1146,3499,10,7,0,
29,1,31,2024,16,33,8,308,1802,-1148,3509,15,3,-3,
30,1,31,2024,16,33,8,318,1795,-1137,3521,16,3,-1,
31,1,31,2024,16,33,8,328,1801,-1140,3512,18,1,-1,
32,1,31,2024,16,33,8,338,1797,-1141,3505,19,-6,-4,
33,1,31,2024,16,33,8,348,1788,-1144,3514,22,-12,-9,
34,1,31,2024,16,33,8,358,1808,-1134,3517,25,-16,-9,
35,1,31,2024,16,33,8,368,1815,-1126,3522,26,-17,-6,
36,1,31,2024,16,33,8,378,1819,-1125,3516,21,-15,-5,
37,1,31,2024,16,33,8,388,1814,-1139,3518,15,-16,-4,
38,1,31,2024,16,33,8,398,1824,-1135,3517,11,-8,-3,
39,1,31,2024,16,33,8,408,1822,-1130,3516,12,-3,0,
40,1,31,2024,16,33,8,418,1799,-1133,3517,12,7,1,
41,1,31,2024,16,33,8,428,1838,-1127,3515,3,2,2,
42,1,31,2024,16,33,8,438,1802,-1126,3515,-6,7,7,
43,1,31,2024,16,33,8,448,1800,-1142,3506,-5,6,6,
44,1,31,2024,16,33,8,458,1809,-1137,3512,-4,4,7,
45,1,31,2024,16,33,8,468,1811,-1128,3519,-5,6,3,
46,1,31,2024,16,33,8,478,1808,-1139,3516,-7,6,3,
47,1,31,2024,16,33,8,488,1814,-1139,3519,-9,5,8,
48,1,31,2024,16,33,8,498,1809,-1139,3521,-11,5,7,
49,1,31,2024,16,33,8,508,1811,-1133,3513,-7,6,7,
50,1,31,2024,16,33,8,518,1798,-1137,3512,-7,7,8,
51,1,31,2024,16,33,8,528,1809,-1136,3516,-8,3,6,
52,1,31,2024,16,33,8,538,1810,-1131,3519,-9,7,7,
53,1,31,2024,16,33,8,548,1806,-1135,3513,-12,7,7,
54,1,31,2024,16,33,8,558,1808,-1137,3505,-10,6,9,
55,1,31,2024,16,33,8,568,1810,-1133,3515,-10,8,10,
56,1,31,2024,16,33,8,578,1810,-1140,3515,-10,6,8,
57,1,31,2024,16,33,8,588,1807,-1144,3508,-8,8,4,
58,1,31,2024,16,33,8,598,1804,-1136,3517,-5,8,7,
59,1,31,2024,16,33,8,608,1809,-1141,3511,-4,4,12,
60,1,31,2024,16,33,8,618,1804,-1140,3513,-5,5,8,
61,1,31,2024,16,33,8,628,1800,-1139,3512,-3,7,6,
62,1,31,2024,16,33,8,638,1806,-1144,3509,-3,8,5,
63,1,31,2024,16,33,8,648,1811,-1149,3506,1,6,2,
