Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,38,52,927,53,-4029,707,5,2,7,
2,1,31,2024,16,38,52,937,53,-4029,707,5,2,7,
3,1,31,2024,16,38,52,947,53,-4029,707,5,2,7,
4,1,31,2024,16,38,52,957,53,-4029,707,5,2,7,
5,1,31,2024,16,38,52,967,53,-4029,707,5,2,7,
6,1,31,2024,16,38,52,977,53,-4029,707,5,2,7,
7,1,31,2024,16,38,52,987,1943,-1284,3376,-236,-110,78,
8,1,31,2024,16,38,52,997,1962,-1215,3335,-262,-71,89,
9,1,31,2024,16,38,53,7,1871,-1274,3368,-145,-6,42,
10,1,31,2024,16,38,53,17,1953,-1298,3374,-79,-30,15,
11,1,31,2024,16,38,53,27,1940,-1215,3417,-89,-19,21,
12,1,31,2024,16,38,53,37,1950,-1240,3399,-64,-27,15,
13,1,31,2024,16,38,53,47,1947,-1271,3398,-66,-20,21,
14,1,31,2024,16,38,53,57,1930,-1261,3381,-61,-20,23,
15,1,31,2024,16,38,53,67,1928,-1272,3377,-51,-10,15,
16,1,31,2024,16,38,53,77,1933,-1270,3380,-49,-7,10,
17,1,31,2024,16,38,53,87,1950,-1266,3382,-56,-10,12,
18,1,31,2024,16,38,53,97,1950,-1260,3388,-47,-8,16,
19,1,31,2024,16,38,53,107,1933,-1275,3378,-38,-3,9,
20,1,31,2024,16,38,53,117,1941,-1274,3376,-31,-3,7,
21,1,31,2024,16,38,53,127,1944,-1245,3395,-23,-5,12,
22,1,31,2024,16,38,53,137,1947,-1238,3406,-24,-9,13,
23,1,31,2024,16,38,53,147,1940,-1270,3387,-28,-4,17,
24,1,31,2024,16,38,53,157,1924,-1286,3371,-28,-5,14,
25,1,31,2024,16,38,53,167,1934,-1270,3379,-27,-7,10,
26,1,31,2024,16,38,53,177,1935,-1281,3377,-25,-5,10,
27,1,31,2024,16,38,53,187,1933,-1276,3375,-22,-5,8,
28,1,31,2024,16,38,53,197,1931,-1279,3364,-22,-6,2,
29,1,31,2024,16,38,53,207,1931,-1288,3370,-21,-5,4,
30,1,31,2024,16,38,53,217,1934,-1278,3382,-21,-5,8,
31,1,31,2024,16,38,53,227,1933,-1265,3380,-48,1,14,
32,1,31,2024,16,38,53,237,1942,-1263,3378,-27,-5,8,
33,1,31,2024,16,38,53,247,1927,-1275,3377,-5,-10,2,
34,1,31,2024,16,38,53,257,1924,-1266,3385,-11,-13,-1,
35,1,31,2024,16,38,53,267,1939,-1269,3381,-17,-15,-5,
36,1,31,2024,16,38,53,277,1939,-1284,3371,-19,-11,1,
37,1,31,2024,16,38,53,287,1934,-1280,3384,-21,-7,-1,
38,1,31,2024,16,38,53,297,1935,-1287,3376,-20,-6,-1,
39,1,31,2024,16,38,53,307,1940,-1282,3382,-18,0,0,
