Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,57,28,95,65,-4040,614,0,1,5,
2,1,31,2024,16,57,28,105,65,-4040,614,0,1,5,
3,1,31,2024,16,57,28,115,65,-4040,614,0,1,5,
4,1,31,2024,16,57,28,125,65,-4040,614,0,1,5,
5,1,31,2024,16,57,28,135,65,-4040,614,0,1,5,
6,1,31,2024,16,57,28,145,65,-4040,614,0,1,5,
7,1,31,2024,16,57,28,155,1954,-1871,3075,7,-2,-5,
8,1,31,2024,16,57,28,165,1961,-1852,3084,14,-5,-4,
9,1,31,2024,16,57,28,175,1972,-1818,3110,19,-7,0,
10,1,31,2024,16,57,28,185,1984,-1812,3110,9,-1,5,
11,1,31,2024,16,57,28,195,1970,-1824,3105,-12,17,16,
12,1,31,2024,16,57,28,205,1953,-1914,3070,-27,25,17,
13,1,31,2024,16,57,28,215,1971,-1865,3076,-5,12,15,
14,1,31,2024,16,57,28,225,1973,-1828,3099,1,11,10,
15,1,31,2024,16,57,28,235,1946,-1859,3079,-9,13,13,
16,1,31,2024,16,57,28,245,1950,-1874,3075,-3,2,9,
17,1,31,2024,16,57,28,255,1960,-1862,3080,9,-12,4,
18,1,31,2024,16,57,28,265,1959,-1872,3069,26,-17,2,
19,1,31,2024,16,57,28,275,1967,-1835,3098,43,-23,-1,
20,1,31,2024,16,57,28,285,1980,-1846,3099,49,-21,-9,
21,1,31,2024,16,57,28,295,1978,-1802,3117,40,-11,-1,
22,1,31,2024,16,57,28,305,1990,-1791,3125,17,-3,8,
23,1,31,2024,16,57,28,315,1968,-1835,3097,-22,18,11,
24,1,31,2024,16,57,28,325,1949,-1876,3085,-38,27,15,
25,1,31,2024,16,57,28,335,1955,-1880,3077,-27,16,13,
26,1,31,2024,16,57,28,345,1956,-1881,3065,-15,9,5,
27,1,31,2024,16,57,28,355,1941,-1881,3070,2,-9,-1,
28,1,31,2024,16,57,28,365,1959,-1876,3065,28,-27,-8,
29,1,31,2024,16,57,28,375,1969,-1854,3076,55,-32,-19,
30,1,31,2024,16,57,28,385,1975,-1831,3086,74,-29,-17,
31,1,31,2024,16,57,28,395,1979,-1825,3099,86,-22,-20,
32,1,31,2024,16,57,28,405,1998,-1813,3097,120,-6,-15,
33,1,31,2024,16,57,28,415,1967,-1843,3097,93,21,0,
34,1,31,2024,16,57,28,425,1940,-1860,3090,50,28,9,
35,1,31,2024,16,57,28,435,1943,-1873,3078,48,14,2,
36,1,31,2024,16,57,28,445,1958,-1840,3108,58,-6,-6,
37,1,31,2024,16,57,28,455,1958,-1817,3111,61,-20,-8,
38,1,31,2024,16,57,28,465,1966,-1825,3104,61,-31,-13,
39,1,31,2024,16,57,28,475,1979,-1815,3113,61,-38,-18,
40,1,31,2024,16,57,28,485,1982,-1828,3098,53,-25,-15,
41,1,31,2024,16,57,28,495,1992,-1812,3109,42,-13,-4,
42,1,31,2024,16,57,28,505,1979,-1837,3108,10,7,9,
43,1,31,2024,16,57,28,515,1937,-1842,3100,-11,18,14,
44,1,31,2024,16,57,28,525,1954,-1842,3102,-20,-4,4,
45,1,31,2024,16,57,28,535,1977,-1847,3085,-22,-13,-1,
46,1,31,2024,16,57,28,545,1970,-1850,3083,-14,-7,1,
47,1,31,2024,16,57,28,555,1975,-1836,3100,-2,-12,0,
48,1,31,2024,16,57,28,565,1969,-1790,3115,8,-15,-3,
49,1,31,2024,16,57,28,575,1973,-1776,3123,0,-11,-3,
50,1,31,2024,16,57,28,585,1981,-1818,3108,-18,7,6,
