Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,9,2024,11,16,19,548,126,-4121,-46,-6,4,-8,
2,2,9,2024,11,16,19,558,126,-4121,-46,-6,4,-8,
3,2,9,2024,11,16,19,568,126,-4121,-46,-6,4,-8,
4,2,9,2024,11,16,19,578,126,-4121,-46,-6,4,-8,
5,2,9,2024,11,16,19,588,126,-4121,-46,-6,4,-8,
6,2,9,2024,11,16,19,598,126,-4121,-46,-6,4,-8,
7,2,9,2024,11,16,19,608,2365,1022,3201,-11,2,5,
8,2,9,2024,11,16,19,618,2353,1008,3198,-6,8,2,
9,2,9,2024,11,16,19,628,2357,1020,3199,-4,3,-11,
10,2,9,2024,11,16,19,638,2363,1019,3194,-6,6,-10,
11,2,9,2024,11,16,19,648,2359,1016,3194,-5,11,-10,
12,2,9,2024,11,16,19,658,2361,1011,3199,-9,11,-8,
13,2,9,2024,11,16,19,668,2360,1020,3200,-9,12,-7,
14,2,9,2024,11,16,19,678,2351,1028,3201,-8,7,-5,
15,2,9,2024,11,16,19,688,2357,1017,3196,-9,7,-8,
16,2,9,2024,11,16,19,698,2359,1012,3193,-6,4,-9,
17,2,9,2024,11,16,19,708,2356,1005,3206,-4,4,-8,
18,2,9,2024,11,16,19,718,2351,1016,3199,-6,8,-8,
19,2,9,2024,11,16,19,728,2369,1020,3194,-6,8,-8,
20,2,9,2024,11,16,19,738,2361,1021,3195,-6,9,-12,
21,2,9,2024,11,16,19,748,2349,1017,3194,-6,11,-10,
22,2,9,2024,11,16,19,758,2358,1022,3195,-6,10,-10,
23,2,9,2024,11,16,19,768,2359,1016,3200,-4,8,-8,
24,2,9,2024,11,16,19,778,2364,1018,3194,-7,8,-6,
25,2,9,2024,11,16,19,788,2367,1019,3195,-10,8,-11,
26,2,9,2024,11,16,19,798,2353,1014,3203,-6,9,-14,
27,2,9,2024,11,16,19,808,2355,1013,3198,-1,8,-10,
28,2,9,2024,11,16,19,818,2359,1016,3207,-3,8,-14,
29,2,9,2024,11,16,19,828,2356,1015,3196,-6,11,-13,
30,2,9,2024,11,16,19,838,2359,1019,3197,-2,8,-9,
31,2,9,2024,11,16,19,848,2362,1017,3204,-5,9,-11,
32,2,9,2024,11,16,19,858,2361,1020,3204,-2,8,-10,
33,2,9,2024,11,16,19,868,2361,1016,3200,-4,9,-12,
34,2,9,2024,11,16,19,878,2356,1028,3203,-5,9,-12,
35,2,9,2024,11,16,19,888,2354,1026,3199,-1,8,-9,
36,2,9,2024,11,16,19,898,2360,1020,3199,-4,10,-9,
37,2,9,2024,11,16,19,908,2355,1023,3202,-8,10,-9,
38,2,9,2024,11,16,19,918,2353,1022,3195,-7,6,-10,
39,2,9,2024,11,16,19,928,2363,1024,3195,-6,5,-6,
40,2,9,2024,11,16,19,938,2352,1018,3200,-7,6,-8,
41,2,9,2024,11,16,19,948,2358,1015,3194,-6,6,-8,
42,2,9,2024,11,16,19,958,2362,1019,3194,-6,4,-8,
43,2,9,2024,11,16,19,968,2354,1024,3194,-7,7,-11,
44,2,9,2024,11,16,19,978,2360,1015,3205,-9,6,-8,
45,2,9,2024,11,16,19,988,2363,1012,3199,-8,0,-7,
46,2,9,2024,11,16,19,998,2359,1020,3189,-6,1,-7,
47,2,9,2024,11,16,20,8,2360,1021,3195,-7,3,-11,
48,2,9,2024,11,16,20,18,2358,1028,3196,-6,2,-10,
49,2,9,2024,11,16,20,28,2357,1021,3199,-5,1,-7,
50,2,9,2024,11,16,20,38,2362,1017,3196,-6,1,-3,
51,2,9,2024,11,16,20,48,2363,1022,3194,-10,3,-5,
52,2,9,2024,11,16,20,58,2363,1015,3200,-10,3,-7,
53,2,9,2024,11,16,20,68,2365,1026,3198,-7,5,-8,
54,2,9,2024,11,16,20,78,2363,1016,3201,-5,5,-7,
55,2,9,2024,11,16,20,88,2363,1013,3198,-8,4,-7,
56,2,9,2024,11,16,20,98,2362,1016,3202,-8,5,-6,
57,2,9,2024,11,16,20,108,2365,1023,3202,-9,8,-6,
58,2,9,2024,11,16,20,118,2363,1021,3197,-7,9,-8,
59,2,9,2024,11,16,20,128,2360,1021,3199,-8,6,-11,
60,2,9,2024,11,16,20,138,2365,1025,3198,-9,8,-11,
61,2,9,2024,11,16,20,148,2359,1019,3201,-8,9,-6,
62,2,9,2024,11,16,20,158,2364,1014,3193,-12,10,-9,
63,2,9,2024,11,16,20,168,2361,1019,3197,-10,11,-7,
64,2,9,2024,11,16,20,178,2360,1019,3203,-10,13,-8,
65,2,9,2024,11,16,20,188,2360,1021,3194,-11,12,-12,
66,2,9,2024,11,16,20,198,2361,1019,3196,-9,12,-7,
67,2,9,2024,11,16,20,208,2360,1020,3199,-8,13,-7,
68,2,9,2024,11,16,20,218,2362,1017,3196,-9,12,-9,
69,2,9,2024,11,16,20,228,2358,1019,3196,-7,9,-7,
70,2,9,2024,11,16,20,238,2358,1023,3194,-9,10,-7,
71,2,9,2024,11,16,20,248,2357,1023,3202,-9,6,-3,
72,2,9,2024,11,16,20,258,2360,1018,3202,-10,8,-3,
73,2,9,2024,11,16,20,268,2362,1022,3199,-10,4,-7,
