Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,15,37,32,696,70,-4036,551,10,1,0,
2,1,31,2024,15,37,32,706,70,-4036,551,10,1,0,
3,1,31,2024,15,37,32,716,70,-4036,551,10,1,0,
4,1,31,2024,15,37,32,726,70,-4036,551,10,1,0,
5,1,31,2024,15,37,32,736,70,-4036,551,10,1,0,
6,1,31,2024,15,37,32,746,70,-4036,551,10,1,0,
7,1,31,2024,15,37,32,756,1745,-2191,3006,10,8,3,
8,1,31,2024,15,37,32,766,1746,-2200,3010,14,5,16,
9,1,31,2024,15,37,32,776,1744,-2199,3004,-9,9,7,
10,1,31,2024,15,37,32,786,1749,-2196,2999,-10,8,2,
11,1,31,2024,15,37,32,796,1744,-2194,3004,-6,11,8,
12,1,31,2024,15,37,32,806,1739,-2198,3004,-5,13,6,
13,1,31,2024,15,37,32,816,1751,-2194,3010,-7,14,8,
14,1,31,2024,15,37,32,826,1747,-2199,3007,-10,12,10,
15,1,31,2024,15,37,32,836,1743,-2197,3009,-6,9,8,
16,1,31,2024,15,37,32,846,1751,-2202,3004,-6,12,10,
17,1,31,2024,15,37,32,856,1750,-2196,3005,-6,16,11,
18,1,31,2024,15,37,32,866,1764,-2190,3011,-5,12,11,
19,1,31,2024,15,37,32,876,1715,-2195,3007,-13,15,22,
20,1,31,2024,15,37,32,886,1745,-2215,2994,-7,9,10,
21,1,31,2024,15,37,32,896,1738,-2178,3016,-7,13,8,
22,1,31,2024,15,37,32,906,1746,-2210,2998,-5,8,6,
23,1,31,2024,15,37,32,916,1746,-2196,3009,-2,10,4,
24,1,31,2024,15,37,32,926,1741,-2201,3010,-7,12,9,
25,1,31,2024,15,37,32,936,1740,-2205,3000,-6,10,5,
26,1,31,2024,15,37,32,946,1736,-2190,3012,-4,11,3,
27,1,31,2024,15,37,32,956,1742,-2194,3005,-3,10,1,
28,1,31,2024,15,37,32,966,1737,-2200,2999,-1,10,2,
29,1,31,2024,15,37,32,976,1747,-2191,3003,-2,6,1,
30,1,31,2024,15,37,32,986,1740,-2196,3012,-6,8,6,
31,1,31,2024,15,37,32,996,1740,-2202,3008,-5,7,0,
32,1,31,2024,15,37,33,6,1746,-2199,3013,-8,7,2,
