Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,36,18,62,16,-4103,416,-7,6,-5,
2,2,8,2024,9,36,18,72,16,-4103,416,-7,6,-5,
3,2,8,2024,9,36,18,82,16,-4103,416,-7,6,-5,
4,2,8,2024,9,36,18,92,16,-4103,416,-7,6,-5,
5,2,8,2024,9,36,18,102,16,-4103,416,-7,6,-5,
6,2,8,2024,9,36,18,112,1021,1096,3620,2108,234,1706,
7,2,8,2024,9,36,18,122,911,963,3558,2112,240,1710,
8,2,8,2024,9,36,18,132,804,823,3517,2129,222,1651,
9,2,8,2024,9,36,18,142,779,778,3581,2200,185,1612,
10,2,8,2024,9,36,18,152,769,705,3677,2233,178,1621,
11,2,8,2024,9,36,18,162,672,316,3906,2264,192,1612,
12,2,8,2024,9,36,18,172,819,388,4215,2299,240,1519,
13,2,8,2024,9,36,18,182,949,536,4428,2089,371,1430,
14,2,8,2024,9,36,18,192,963,352,4501,1687,544,1384,
15,2,8,2024,9,36,18,202,937,163,4457,1384,756,1370,
16,2,8,2024,9,36,18,212,862,245,4413,1221,951,1342,
17,2,8,2024,9,36,18,222,876,579,4437,1060,1109,1303,
18,2,8,2024,9,36,18,232,980,806,4488,751,1274,1283,
19,2,8,2024,9,36,18,242,935,505,4311,431,1461,1281,
20,2,8,2024,9,36,18,252,875,131,4072,348,1584,1311,
21,2,8,2024,9,36,18,262,789,164,3932,475,1640,1384,
22,2,8,2024,9,36,18,272,784,180,3918,525,1612,1492,
23,2,8,2024,9,36,18,282,806,164,3952,511,1550,1571,
24,2,8,2024,9,36,18,292,811,137,3870,455,1464,1619,
25,2,8,2024,9,36,18,302,674,20,3693,444,1339,1656,
26,2,8,2024,9,36,18,312,607,16,3624,467,1131,1727,
27,2,8,2024,9,36,18,322,588,62,3476,511,895,1793,
28,2,8,2024,9,36,18,332,291,80,3058,523,584,1843,
29,2,8,2024,9,36,18,342,-162,77,2610,471,45,1951,
30,2,8,2024,9,36,18,352,-413,92,2471,420,-738,2163,
31,2,8,2024,9,36,18,362,-435,1946,5463,250,-1633,2436,
32,2,8,2024,9,36,18,372,5638,3931,11486,-2092,-1624,2689,
33,2,8,2024,9,36,18,382,1076,702,3870,-29,2558,316,
34,2,8,2024,9,36,18,392,-3446,-311,1255,763,2137,-547,
35,2,8,2024,9,36,18,402,3144,521,5225,-600,-991,400,
36,2,8,2024,9,36,18,412,3981,45,4436,173,384,-6,
37,2,8,2024,9,36,18,422,1215,959,3532,510,649,-223,
38,2,8,2024,9,36,18,432,1139,1226,3761,491,267,-251,
39,2,8,2024,9,36,18,442,1603,1208,3897,443,136,-205,
40,2,8,2024,9,36,18,452,1367,1059,3639,422,198,-168,
41,2,8,2024,9,36,18,462,1681,1214,3641,367,116,-121,
42,2,8,2024,9,36,18,472,1675,1316,3601,331,169,-133,
43,2,8,2024,9,36,18,482,1428,1396,3623,243,205,-126,
44,2,8,2024,9,36,18,492,1453,1494,3649,82,149,-77,
45,2,8,2024,9,36,18,502,1474,1544,3586,-19,130,-37,
46,2,8,2024,9,36,18,512,1453,1395,3564,-132,129,13,
47,2,8,2024,9,36,18,522,1510,1137,3617,-242,122,58,
48,2,8,2024,9,36,18,532,1596,963,3666,-286,152,66,
49,2,8,2024,9,36,18,542,1574,978,3675,-284,201,53,
50,2,8,2024,9,36,18,552,1477,986,3659,-286,224,41,
51,2,8,2024,9,36,18,562,1511,792,3718,-270,208,29,
52,2,8,2024,9,36,18,572,1518,684,3741,-197,212,0,
53,2,8,2024,9,36,18,582,1479,832,3756,-87,208,-35,
54,2,8,2024,9,36,18,592,1439,987,3757,28,177,-52,
55,2,8,2024,9,36,18,602,1472,988,3747,99,140,-45,
56,2,8,2024,9,36,18,612,1458,945,3702,144,120,-35,
57,2,8,2024,9,36,18,622,1490,1043,3660,150,108,-41,
58,2,8,2024,9,36,18,632,1476,1176,3641,113,101,-54,
59,2,8,2024,9,36,18,642,1432,1170,3626,65,100,-52,
60,2,8,2024,9,36,18,652,1451,1045,3645,12,92,-41,
61,2,8,2024,9,36,18,662,1484,1013,3623,-17,100,-34,
62,2,8,2024,9,36,18,672,1411,1043,3631,-35,112,-39,
63,2,8,2024,9,36,18,682,1394,921,3695,-14,98,-42,
64,2,8,2024,9,36,18,692,1465,927,3721,21,81,-41,
65,2,8,2024,9,36,18,702,1505,1112,3700,35,73,-39,
66,2,8,2024,9,36,18,712,1499,1194,3692,18,66,-40,
67,2,8,2024,9,36,18,722,1470,1119,3702,-10,57,-36,
68,2,8,2024,9,36,18,732,1476,1028,3728,-20,45,-28,
69,2,8,2024,9,36,18,742,1479,990,3745,15,31,-25,
70,2,8,2024,9,36,18,752,1468,1031,3747,64,28,-21,
71,2,8,2024,9,36,18,762,1457,1036,3718,95,29,-19,
72,2,8,2024,9,36,18,772,1461,1030,3710,100,25,-24,
73,2,8,2024,9,36,18,782,1451,1061,3707,104,21,-33,
74,2,8,2024,9,36,18,792,1458,1014,3726,116,6,-30,
75,2,8,2024,9,36,18,802,1491,953,3731,154,-1,-26,
76,2,8,2024,9,36,18,812,1505,997,3726,213,14,-30,
77,2,8,2024,9,36,18,822,1466,1079,3707,248,32,-40,
78,2,8,2024,9,36,18,832,1460,1121,3683,238,30,-46,
79,2,8,2024,9,36,18,842,1464,1087,3665,212,26,-49,
80,2,8,2024,9,36,18,852,1427,1075,3657,187,22,-46,
81,2,8,2024,9,36,18,862,1427,1090,3678,170,21,-46,
82,2,8,2024,9,36,18,872,1467,1066,3685,175,12,-37,
83,2,8,2024,9,36,18,882,1450,1041,3648,191,20,-38,
84,2,8,2024,9,36,18,892,1378,1159,3612,189,24,-41,
85,2,8,2024,9,36,18,902,1392,1225,3618,157,1,-33,
86,2,8,2024,9,36,18,922,1438,1122,3647,54,-17,-16,
87,2,8,2024,9,36,18,932,1442,1077,3682,33,-25,-12,
88,2,8,2024,9,36,18,942,1484,1045,3696,55,-27,-18,
89,2,8,2024,9,36,18,952,1433,1163,3653,66,-15,-28,
90,2,8,2024,9,36,18,962,1447,1134,3665,46,-21,-27,
91,2,8,2024,9,36,18,972,1466,1142,3659,23,-25,-30,
92,2,8,2024,9,36,18,982,1455,1245,3644,-9,-21,-25,
93,2,8,2024,9,36,18,992,1462,1216,3659,-60,-25,-9,
94,2,8,2024,9,36,19,2,1472,1122,3683,-96,-28,1,
95,2,8,2024,9,36,19,12,1463,1103,3681,-104,-23,-2,
96,2,8,2024,9,36,19,22,1456,1130,3672,-102,-24,-1,
97,2,8,2024,9,36,19,32,1452,1123,3671,-118,-28,-1,
98,2,8,2024,9,36,19,42,1454,1109,3675,-125,-30,8,
99,2,8,2024,9,36,19,52,1448,1088,3679,-129,-29,14,
100,2,8,2024,9,36,19,62,1458,1030,3687,-130,-29,20,
101,2,8,2024,9,36,19,72,1452,1054,3678,-121,-27,22,
102,2,8,2024,9,36,19,82,1449,1107,3667,-115,-19,24,
103,2,8,2024,9,36,19,92,1455,1085,3677,-121,-18,32,
104,2,8,2024,9,36,19,102,1470,945,3697,-115,-14,38,
105,2,8,2024,9,36,19,112,1483,998,3685,-65,-7,22,
106,2,8,2024,9,36,19,122,1467,1059,3675,-34,-4,6,
107,2,8,2024,9,36,19,132,1475,1063,3667,-19,-1,1,
108,2,8,2024,9,36,19,142,1474,1106,3667,-13,1,-5,
109,2,8,2024,9,36,19,152,1467,1111,3664,-22,2,-3,
110,2,8,2024,9,36,19,162,1472,1084,3669,-26,10,0,
111,2,8,2024,9,36,19,172,1477,1100,3673,-22,14,4,
112,2,8,2024,9,36,19,182,1465,1117,3673,-29,15,7,
113,2,8,2024,9,36,19,192,1459,1096,3677,-39,8,10,
114,2,8,2024,9,36,19,202,1458,1083,3671,-46,8,12,
115,2,8,2024,9,36,19,212,1466,1081,3668,-51,7,17,
116,2,8,2024,9,36,19,222,1468,1071,3668,-60,7,18,
117,2,8,2024,9,36,19,232,1459,1053,3680,-61,6,20,
118,2,8,2024,9,36,19,242,1463,1053,3687,-53,3,16,
119,2,8,2024,9,36,19,252,1471,1038,3679,-39,2,11,
120,2,8,2024,9,36,19,262,1465,1053,3673,-28,6,8,
121,2,8,2024,9,36,19,272,1448,1083,3667,-28,6,8,
122,2,8,2024,9,36,19,282,1438,1084,3659,-34,1,11,
123,2,8,2024,9,36,19,292,1449,1089,3656,-36,-5,21,
124,2,8,2024,9,36,19,302,1451,1093,3648,-40,-3,25,
125,2,8,2024,9,36,19,312,1451,1083,3661,-42,-4,23,
126,2,8,2024,9,36,19,322,1448,1067,3663,-41,-4,22,
127,2,8,2024,9,36,19,332,1474,1056,3674,-51,-7,31,
128,2,8,2024,9,36,19,342,1471,1047,3679,-52,-3,25,
129,2,8,2024,9,36,19,352,1457,1080,3673,-52,-7,24,
130,2,8,2024,9,36,19,362,1453,1103,3669,-61,-8,32,
131,2,8,2024,9,36,19,372,1457,1082,3672,-76,-5,35,
132,2,8,2024,9,36,19,382,1457,1066,3688,-91,-5,39,
133,2,8,2024,9,36,19,392,1463,1064,3681,-96,-13,47,
134,2,8,2024,9,36,19,402,1469,1036,3691,-102,-19,44,
135,2,8,2024,9,36,19,412,1482,1025,3687,-99,-21,38,
136,2,8,2024,9,36,19,422,1470,1017,3684,-89,-19,34,
137,2,8,2024,9,36,19,432,1485,1007,3698,-77,-20,34,
138,2,8,2024,9,36,19,442,1490,1028,3680,-68,-19,32,
139,2,8,2024,9,36,19,452,1484,1026,3682,-64,-18,27,
140,2,8,2024,9,36,19,462,1488,1028,3688,-55,-15,22,
141,2,8,2024,9,36,19,472,1495,1032,3681,-50,-12,21,
142,2,8,2024,9,36,19,482,1487,1024,3686,-48,-9,15,
143,2,8,2024,9,36,19,492,1492,1027,3682,-44,-5,11,
144,2,8,2024,9,36,19,502,1472,1039,3673,-42,-5,9,
145,2,8,2024,9,36,19,512,1481,1038,3676,-40,-1,10,
146,2,8,2024,9,36,19,522,1481,1029,3676,-37,1,11,
147,2,8,2024,9,36,19,532,1474,1032,3679,-37,3,9,
148,2,8,2024,9,36,19,542,1473,1019,3686,-37,-2,10,
149,2,8,2024,9,36,19,552,1480,1017,3683,-28,-2,10,
150,2,8,2024,9,36,19,562,1474,1034,3675,-23,-5,7,
151,2,8,2024,9,36,19,572,1474,1031,3683,-22,-5,7,
152,2,8,2024,9,36,19,582,1484,1034,3685,-22,-6,8,
153,2,8,2024,9,36,19,592,1480,1034,3671,-24,-8,6,
154,2,8,2024,9,36,19,602,1475,1040,3678,-23,-6,7,
155,2,8,2024,9,36,19,612,1472,1034,3688,-26,-6,12,
156,2,8,2024,9,36,19,622,1486,1023,3682,-31,-6,11,
157,2,8,2024,9,36,19,632,1485,1024,3672,-28,-3,11,
158,2,8,2024,9,36,19,642,1482,1014,3682,-32,5,4,
159,2,8,2024,9,36,19,652,1486,1025,3682,-29,7,6,
160,2,8,2024,9,36,19,662,1486,1026,3679,-33,5,12,
161,2,8,2024,9,36,19,672,1481,1018,3676,-35,5,9,
162,2,8,2024,9,36,19,682,1483,1022,3684,-31,4,11,
163,2,8,2024,9,36,19,692,1482,1013,3684,-25,1,8,
164,2,8,2024,9,36,19,702,1481,1012,3683,-24,2,7,
165,2,8,2024,9,36,19,712,1486,1017,3682,-24,4,2,
166,2,8,2024,9,36,19,722,1481,1023,3681,-23,3,2,
167,2,8,2024,9,36,19,732,1487,1021,3685,-23,2,5,
168,2,8,2024,9,36,19,742,1490,1025,3686,-18,3,2,
169,2,8,2024,9,36,19,752,1481,1019,3680,-19,7,1,
170,2,8,2024,9,36,19,762,1486,1018,3681,-22,2,1,
171,2,8,2024,9,36,19,782,1482,1017,3687,-18,6,-4,
172,2,8,2024,9,36,19,792,1486,1027,3677,-17,3,-2,
173,2,8,2024,9,36,19,802,1482,1020,3678,-16,5,-2,
174,2,8,2024,9,36,19,812,1472,1019,3687,-14,7,-4,
175,2,8,2024,9,36,19,822,1486,1023,3687,-17,8,-1,
176,2,8,2024,9,36,19,832,1486,1029,3680,-19,6,1,
177,2,8,2024,9,36,19,842,1487,1007,3682,-22,4,4,
178,2,8,2024,9,36,19,852,1481,1015,3685,-18,6,3,
179,2,8,2024,9,36,19,862,1486,1013,3677,-19,9,2,
180,2,8,2024,9,36,19,872,1483,1013,3690,-20,10,0,
181,2,8,2024,9,36,19,882,1478,1021,3686,-17,9,-2,
182,2,8,2024,9,36,19,892,1483,1021,3688,-17,9,-4,
183,2,8,2024,9,36,19,902,1484,1018,3691,-18,11,-4,
184,2,8,2024,9,36,19,912,1490,1013,3688,-18,9,-3,
185,2,8,2024,9,36,19,922,1479,1017,3684,-19,11,-2,
186,2,8,2024,9,36,19,932,1476,1021,3685,-19,9,-3,
187,2,8,2024,9,36,19,942,1483,1012,3695,-15,7,-2,
188,2,8,2024,9,36,19,952,1484,1010,3692,-14,8,-3,
189,2,8,2024,9,36,19,962,1483,1012,3687,-15,9,-5,
190,2,8,2024,9,36,19,972,1486,1009,3686,-13,14,-10,
191,2,8,2024,9,36,19,982,1482,1012,3685,-6,10,-10,
192,2,8,2024,9,36,19,992,1484,1008,3690,-7,10,-10,
