Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,59,0,549,171,-4078,-180,-1,3,6,
2,2,8,2024,9,59,0,559,171,-4078,-180,-1,3,6,
3,2,8,2024,9,59,0,569,171,-4078,-180,-1,3,6,
4,2,8,2024,9,59,0,579,171,-4078,-180,-1,3,6,
5,2,8,2024,9,59,0,589,171,-4078,-180,-1,3,6,
6,2,8,2024,9,59,0,599,2056,-1329,3298,-5,17,2,
7,2,8,2024,9,59,0,609,2045,-1331,3292,-26,7,4,
8,2,8,2024,9,59,0,619,2052,-1342,3285,-6,-5,0,
9,2,8,2024,9,59,0,629,2044,-1330,3291,-4,0,1,
10,2,8,2024,9,59,0,639,2042,-1336,3301,-5,2,-1,
11,2,8,2024,9,59,0,649,2054,-1330,3291,-2,-1,-6,
12,2,8,2024,9,59,0,659,2063,-1327,3297,-2,-7,-5,
13,2,8,2024,9,59,0,669,2045,-1345,3290,2,-4,-3,
14,2,8,2024,9,59,0,679,2050,-1340,3298,0,-2,-3,
15,2,8,2024,9,59,0,689,2050,-1332,3296,0,-4,-5,
16,2,8,2024,9,59,0,699,2053,-1331,3297,-1,-5,-9,
17,2,8,2024,9,59,0,709,2055,-1330,3299,3,-1,-9,
18,2,8,2024,9,59,0,719,2052,-1336,3293,1,-2,-11,
19,2,8,2024,9,59,0,729,2054,-1330,3292,1,0,-12,
20,2,8,2024,9,59,0,739,2051,-1328,3285,0,0,-13,
21,2,8,2024,9,59,0,749,2057,-1330,3291,1,2,-13,
22,2,8,2024,9,59,0,759,2055,-1317,3290,4,5,-13,
23,2,8,2024,9,59,0,769,2049,-1332,3291,4,3,-11,
24,2,8,2024,9,59,0,779,2049,-1330,3303,1,-3,-10,
25,2,8,2024,9,59,0,789,2051,-1320,3291,-4,-3,-13,
26,2,8,2024,9,59,0,799,2052,-1324,3286,-2,-1,-9,
27,2,8,2024,9,59,0,809,2050,-1332,3285,-4,-3,-10,
28,2,8,2024,9,59,0,819,2052,-1326,3290,-4,-5,-7,
29,2,8,2024,9,59,0,829,2060,-1324,3279,-4,-5,-9,
30,2,8,2024,9,59,0,839,2060,-1328,3292,1,-5,-12,
31,2,8,2024,9,59,0,849,2055,-1336,3289,4,-2,-10,
32,2,8,2024,9,59,0,859,2050,-1331,3292,6,-1,-13,
33,2,8,2024,9,59,0,869,2052,-1323,3295,8,0,-14,
34,2,8,2024,9,59,0,879,2052,-1327,3289,10,1,-13,
35,2,8,2024,9,59,0,889,2057,-1333,3286,10,3,-10,
36,2,8,2024,9,59,0,899,2061,-1307,3300,8,3,-6,
37,2,8,2024,9,59,0,909,2057,-1319,3292,5,3,-7,
38,2,8,2024,9,59,0,919,2054,-1331,3286,3,0,-8,
39,2,8,2024,9,59,0,929,2059,-1328,3299,0,0,-9,
40,2,8,2024,9,59,0,939,2059,-1320,3292,0,-2,-8,
41,2,8,2024,9,59,0,949,2058,-1334,3286,-3,0,-13,
42,2,8,2024,9,59,0,959,2056,-1331,3296,-3,-2,-17,
43,2,8,2024,9,59,0,969,2063,-1313,3294,3,0,-14,
44,2,8,2024,9,59,0,979,2057,-1326,3286,0,-3,-14,
45,2,8,2024,9,59,0,989,2060,-1326,3282,4,-5,-10,
46,2,8,2024,9,59,0,999,2056,-1313,3292,1,0,-13,
47,2,8,2024,9,59,1,9,2053,-1322,3295,1,-3,-8,
48,2,8,2024,9,59,1,19,2058,-1338,3285,-1,-8,-7,
49,2,8,2024,9,59,1,29,2055,-1330,3286,1,-8,-12,
50,2,8,2024,9,59,1,39,2052,-1328,3291,3,-6,-13,
51,2,8,2024,9,59,1,49,2057,-1322,3305,-2,-7,-13,
52,2,8,2024,9,59,1,59,2060,-1313,3288,-1,-9,-13,
53,2,8,2024,9,59,1,69,2055,-1323,3292,-2,-10,-10,
54,2,8,2024,9,59,1,79,2066,-1329,3291,2,-7,-7,
55,2,8,2024,9,59,1,89,2065,-1326,3295,6,-5,-9,
56,2,8,2024,9,59,1,99,2065,-1321,3289,6,-3,-11,
57,2,8,2024,9,59,1,109,2059,-1321,3289,5,-1,-10,
58,2,8,2024,9,59,1,119,2062,-1327,3298,6,1,-13,
59,2,8,2024,9,59,1,129,2062,-1310,3294,4,0,-13,
60,2,8,2024,9,59,1,139,2058,-1324,3292,5,-1,-11,
61,2,8,2024,9,59,1,149,2063,-1319,3293,4,0,-10,
62,2,8,2024,9,59,1,159,2061,-1305,3286,6,2,-5,
63,2,8,2024,9,59,1,169,2063,-1306,3291,4,0,-7,
64,2,8,2024,9,59,1,179,2064,-1309,3292,3,-3,-4,
65,2,8,2024,9,59,1,189,2067,-1314,3285,6,-3,-1,
66,2,8,2024,9,59,1,199,2063,-1314,3292,5,-1,1,
67,2,8,2024,9,59,1,209,2065,-1318,3283,4,2,1,
68,2,8,2024,9,59,1,219,2064,-1320,3297,4,0,2,
69,2,8,2024,9,59,1,229,2063,-1318,3298,3,3,-1,
70,2,8,2024,9,59,1,239,2063,-1305,3290,1,1,-1,
71,2,8,2024,9,59,1,249,2068,-1309,3287,3,1,3,
72,2,8,2024,9,59,1,259,2066,-1316,3287,2,0,5,
73,2,8,2024,9,59,1,269,2063,-1308,3293,-2,1,8,
74,2,8,2024,9,59,1,279,2066,-1313,3294,-2,6,6,
75,2,8,2024,9,59,1,289,2062,-1325,3296,-1,5,7,
76,2,8,2024,9,59,1,299,2060,-1313,3294,2,-1,7,
77,2,8,2024,9,59,1,309,2061,-1318,3287,1,0,8,
78,2,8,2024,9,59,1,319,2058,-1311,3289,-2,0,10,
79,2,8,2024,9,59,1,329,2061,-1318,3293,-3,1,7,
80,2,8,2024,9,59,1,339,2063,-1323,3293,-4,4,7,
81,2,8,2024,9,59,1,349,2065,-1317,3281,-2,4,5,
82,2,8,2024,9,59,1,359,2062,-1308,3298,-1,3,6,
83,2,8,2024,9,59,1,369,2061,-1319,3289,-4,2,12,
84,2,8,2024,9,59,1,379,2057,-1319,3294,0,4,9,
85,2,8,2024,9,59,1,389,2054,-1326,3292,3,5,8,
86,2,8,2024,9,59,1,409,2063,-1315,3294,-3,5,5,
87,2,8,2024,9,59,1,419,2063,-1322,3288,0,7,1,
88,2,8,2024,9,59,1,429,2055,-1316,3297,2,5,4,
89,2,8,2024,9,59,1,439,2064,-1306,3296,1,2,4,
90,2,8,2024,9,59,1,449,2061,-1313,3290,-2,1,5,
91,2,8,2024,9,59,1,459,2062,-1316,3290,-5,2,7,
92,2,8,2024,9,59,1,469,2064,-1314,3301,-2,-1,8,
93,2,8,2024,9,59,1,479,2062,-1314,3289,-2,0,7,
94,2,8,2024,9,59,1,489,2055,-1329,3285,-1,1,9,
95,2,8,2024,9,59,1,499,2049,-1324,3288,-4,1,5,
96,2,8,2024,9,59,1,509,2066,-1312,3291,-3,3,6,
97,2,8,2024,9,59,1,519,2061,-1321,3299,-1,5,8,
98,2,8,2024,9,59,1,529,2066,-1313,3294,0,5,5,
99,2,8,2024,9,59,1,539,2060,-1312,3289,-2,0,4,
100,2,8,2024,9,59,1,549,2056,-1319,3291,-2,4,8,
101,2,8,2024,9,59,1,559,2059,-1322,3290,-3,4,9,
102,2,8,2024,9,59,1,569,2058,-1318,3287,-1,6,7,
103,2,8,2024,9,59,1,579,2053,-1321,3292,4,4,8,
