Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,9,2024,11,0,8,962,16,-4123,-151,56,-2,0,
2,2,9,2024,11,0,8,972,16,-4123,-151,56,-2,0,
3,2,9,2024,11,0,8,982,16,-4123,-151,56,-2,0,
4,2,9,2024,11,0,8,992,16,-4123,-151,56,-2,0,
5,2,9,2024,11,0,9,2,16,-4123,-151,56,-2,0,
6,2,9,2024,11,0,9,12,16,-4123,-151,56,-2,0,
7,2,9,2024,11,0,9,22,2289,1052,3243,2,19,-17,
8,2,9,2024,11,0,9,32,2295,1045,3251,-1,19,-16,
9,2,9,2024,11,0,9,42,2280,1060,3248,2,7,-12,
10,2,9,2024,11,0,9,52,2293,1065,3235,5,-5,-8,
11,2,9,2024,11,0,9,62,2290,1063,3228,2,-13,-6,
12,2,9,2024,11,0,9,72,2293,1051,3222,2,-20,-5,
13,2,9,2024,11,0,9,82,2296,1047,3216,-1,-21,-1,
14,2,9,2024,11,0,9,92,2300,1044,3217,-4,-14,-2,
15,2,9,2024,11,0,9,102,2304,1043,3209,-10,-8,-1,
16,2,9,2024,11,0,9,112,2306,1039,3217,-11,0,-5,
17,2,9,2024,11,0,9,122,2311,1050,3210,-12,7,-5,
18,2,9,2024,11,0,9,132,2306,1041,3214,-16,11,-10,
19,2,9,2024,11,0,9,142,2306,1043,3228,-20,15,-8,
20,2,9,2024,11,0,9,152,2309,1049,3232,-17,18,-5,
21,2,9,2024,11,0,9,162,2306,1044,3233,-16,16,-11,
22,2,9,2024,11,0,9,172,2297,1042,3242,-14,9,-10,
23,2,9,2024,11,0,9,182,2305,1045,3239,-9,0,-7,
24,2,9,2024,11,0,9,192,2301,1045,3236,-7,-4,-8,
25,2,9,2024,11,0,9,202,2297,1044,3238,-3,-9,-9,
26,2,9,2024,11,0,9,212,2304,1039,3224,2,-9,-8,
27,2,9,2024,11,0,9,222,2302,1048,3217,4,-14,-8,
28,2,9,2024,11,0,9,232,2305,1050,3215,-1,-14,-6,
29,2,9,2024,11,0,9,242,2314,1045,3211,-2,-8,0,
30,2,9,2024,11,0,9,252,2301,1040,3220,-3,0,-4,
31,2,9,2024,11,0,9,262,2313,1044,3218,-8,6,-3,
32,2,9,2024,11,0,9,272,2316,1030,3215,-10,13,-8,
33,2,9,2024,11,0,9,282,2314,1039,3216,-10,19,-10,
34,2,9,2024,11,0,9,292,2311,1046,3223,-9,24,-9,
35,2,9,2024,11,0,9,302,2307,1042,3220,-9,26,-13,
36,2,9,2024,11,0,9,312,2294,1054,3224,-13,29,-13,
37,2,9,2024,11,0,9,322,2297,1057,3226,-11,29,-11,
38,2,9,2024,11,0,9,332,2294,1047,3239,-13,22,-8,
39,2,9,2024,11,0,9,342,2290,1048,3236,-9,14,-9,
40,2,9,2024,11,0,9,352,2288,1050,3236,-2,6,-8,
41,2,9,2024,11,0,9,362,2298,1041,3235,2,-3,-9,
42,2,9,2024,11,0,9,372,2300,1054,3234,9,-12,-10,
43,2,9,2024,11,0,9,382,2300,1052,3222,12,-12,-8,
44,2,9,2024,11,0,9,392,2302,1050,3223,7,-10,-10,
45,2,9,2024,11,0,9,402,2305,1045,3217,2,-8,-7,
46,2,9,2024,11,0,9,412,2299,1037,3223,1,-4,-8,
47,2,9,2024,11,0,9,422,2291,1045,3231,-2,0,-8,
48,2,9,2024,11,0,9,432,2299,1041,3226,-3,0,-6,
49,2,9,2024,11,0,9,442,2307,1041,3220,-6,2,-8,
50,2,9,2024,11,0,9,452,2307,1044,3226,-9,6,-8,
51,2,9,2024,11,0,9,462,2308,1048,3223,-7,8,-11,
52,2,9,2024,11,0,9,472,2312,1051,3224,-4,9,-9,
53,2,9,2024,11,0,9,482,2306,1051,3225,-1,7,-11,
54,2,9,2024,11,0,9,492,2301,1056,3237,-3,9,-11,
55,2,9,2024,11,0,9,502,2297,1056,3233,-6,3,-9,
56,2,9,2024,11,0,9,512,2296,1054,3226,-4,-2,-11,
57,2,9,2024,11,0,9,522,2298,1044,3227,-6,-1,-10,
58,2,9,2024,11,0,9,532,2300,1046,3233,-4,-5,-7,
59,2,9,2024,11,0,9,542,2303,1052,3223,-5,-4,-1,
