Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,9,2024,11,0,15,124,100,-4077,-60,92,13,6,
2,2,9,2024,11,0,15,134,100,-4077,-60,92,13,6,
3,2,9,2024,11,0,15,144,100,-4077,-60,92,13,6,
4,2,9,2024,11,0,15,154,100,-4077,-60,92,13,6,
5,2,9,2024,11,0,15,164,100,-4077,-60,92,13,6,
6,2,9,2024,11,0,15,174,100,-4077,-60,92,13,6,
7,2,9,2024,11,0,15,184,2111,971,3417,-52,-431,64,
8,2,9,2024,11,0,15,194,2165,946,3399,-77,-308,52,
9,2,9,2024,11,0,15,204,2121,919,3402,-66,-39,59,
10,2,9,2024,11,0,15,214,2099,955,3403,-30,-10,50,
11,2,9,2024,11,0,15,224,2115,1002,3410,-30,-27,49,
12,2,9,2024,11,0,15,234,2134,980,3419,-35,-19,57,
13,2,9,2024,11,0,15,244,2158,943,3404,-33,-10,64,
14,2,9,2024,11,0,15,254,2115,926,3415,-32,2,60,
15,2,9,2024,11,0,15,264,2098,897,3410,-24,7,48,
16,2,9,2024,11,0,15,274,2047,858,3416,-16,7,38,
17,2,9,2024,11,0,15,284,2059,899,3425,-1,-15,25,
18,2,9,2024,11,0,15,294,2131,993,3402,11,-26,11,
19,2,9,2024,11,0,15,304,2168,1029,3391,0,-16,18,
20,2,9,2024,11,0,15,314,2130,951,3423,-17,-6,26,
21,2,9,2024,11,0,15,324,2126,932,3426,-16,-8,26,
22,2,9,2024,11,0,15,334,2140,946,3408,-7,-8,21,
23,2,9,2024,11,0,15,344,2116,943,3411,-9,-2,20,
24,2,9,2024,11,0,15,354,2099,912,3414,-9,4,20,
25,2,9,2024,11,0,15,364,2117,950,3400,-2,3,13,
26,2,9,2024,11,0,15,374,2091,952,3411,-4,3,9,
27,2,9,2024,11,0,15,384,2100,941,3419,-5,-7,16,
28,2,9,2024,11,0,15,394,2120,942,3410,3,-10,14,
29,2,9,2024,11,0,15,404,2115,981,3405,2,-9,15,
30,2,9,2024,11,0,15,414,2130,960,3402,-8,-4,16,
31,2,9,2024,11,0,15,424,2143,964,3403,-12,3,16,
32,2,9,2024,11,0,15,434,2140,937,3399,-18,10,19,
33,2,9,2024,11,0,15,444,2133,935,3398,-17,17,21,
34,2,9,2024,11,0,15,454,2121,939,3394,-14,26,20,
35,2,9,2024,11,0,15,464,2114,933,3403,-14,36,15,
36,2,9,2024,11,0,15,474,2120,947,3411,-12,37,15,
37,2,9,2024,11,0,15,484,2138,953,3404,-13,40,11,
38,2,9,2024,11,0,15,494,2142,955,3397,-13,51,14,
39,2,9,2024,11,0,15,504,2140,957,3394,-14,66,16,
40,2,9,2024,11,0,15,514,2115,928,3404,-16,78,15,
41,2,9,2024,11,0,15,524,2089,906,3420,-16,83,11,
42,2,9,2024,11,0,15,534,2109,926,3418,-9,74,7,
43,2,9,2024,11,0,15,544,2114,956,3417,-3,72,7,
44,2,9,2024,11,0,15,554,2097,941,3430,-4,68,5,
45,2,9,2024,11,0,15,564,2108,972,3413,-1,66,1,
46,2,9,2024,11,0,15,574,2109,976,3396,-5,70,6,
47,2,9,2024,11,0,15,584,2083,932,3424,-11,69,10,
48,2,9,2024,11,0,15,594,2073,896,3442,-9,67,4,
49,2,9,2024,11,0,15,604,2071,923,3444,-3,60,-1,
50,2,9,2024,11,0,15,614,2068,943,3444,0,46,-2,
51,2,9,2024,11,0,15,624,2080,963,3437,1,34,-3,
52,2,9,2024,11,0,15,634,2097,975,3427,-2,23,0,
53,2,9,2024,11,0,15,644,2103,964,3423,-8,18,7,
54,2,9,2024,11,0,15,654,2118,973,3412,-14,20,10,
55,2,9,2024,11,0,15,664,2098,930,3408,-17,23,14,
56,2,9,2024,11,0,15,674,2066,886,3426,-15,24,14,
57,2,9,2024,11,0,15,684,2086,922,3424,-6,15,9,
58,2,9,2024,11,0,15,694,2100,925,3423,-3,13,5,
59,2,9,2024,11,0,15,704,2086,951,3432,0,15,1,
60,2,9,2024,11,0,15,714,2102,957,3423,-3,7,2,
61,2,9,2024,11,0,15,724,2103,944,3420,-6,9,8,
62,2,9,2024,11,0,15,734,2089,921,3415,-7,14,4,
63,2,9,2024,11,0,15,744,2100,939,3416,-2,13,-3,
64,2,9,2024,11,0,15,754,2107,925,3411,1,19,-4,
65,2,9,2024,11,0,15,764,2092,933,3421,3,24,-5,
66,2,9,2024,11,0,15,774,2094,948,3424,5,18,-4,
67,2,9,2024,11,0,15,784,2102,947,3425,4,16,-4,
68,2,9,2024,11,0,15,794,2099,955,3433,4,19,-4,
69,2,9,2024,11,0,15,804,2118,968,3412,-1,20,-5,
70,2,9,2024,11,0,15,814,2112,961,3406,-2,20,-1,
71,2,9,2024,11,0,15,824,2092,911,3414,-3,31,-2,
72,2,9,2024,11,0,15,834,2083,914,3420,2,31,-7,
73,2,9,2024,11,0,15,844,2076,913,3428,7,35,-13,
74,2,9,2024,11,0,15,854,2054,919,3440,13,31,-14,
75,2,9,2024,11,0,15,864,2077,967,3428,18,17,-16,
76,2,9,2024,11,0,15,874,2107,987,3428,16,15,-15,
77,2,9,2024,11,0,15,884,2102,955,3427,7,21,-4,
78,2,9,2024,11,0,15,894,2083,927,3417,2,23,-1,
79,2,9,2024,11,0,15,904,2088,929,3417,4,15,-3,
80,2,9,2024,11,0,15,914,2088,937,3421,8,15,-3,
81,2,9,2024,11,0,15,924,2075,923,3436,8,16,-6,
82,2,9,2024,11,0,15,934,2081,934,3439,8,16,-10,
83,2,9,2024,11,0,15,944,2097,950,3433,9,19,-9,
84,2,9,2024,11,0,15,954,2093,959,3422,5,24,-11,
85,2,9,2024,11,0,15,964,2076,962,3419,5,22,-8,
86,2,9,2024,11,0,15,984,2074,924,3437,3,6,-4,
87,2,9,2024,11,0,15,994,2071,942,3436,6,-1,-9,
88,2,9,2024,11,0,16,4,2081,937,3438,7,-6,-8,
89,2,9,2024,11,0,16,14,2099,950,3438,8,-10,-5,
90,2,9,2024,11,0,16,24,2094,967,3423,10,-9,-1,
91,2,9,2024,11,0,16,34,2090,958,3414,4,-6,-2,
92,2,9,2024,11,0,16,44,2088,952,3416,3,-6,-3,
93,2,9,2024,11,0,16,54,2096,947,3431,4,-4,-2,
94,2,9,2024,11,0,16,64,2092,927,3432,1,-4,-3,
95,2,9,2024,11,0,16,74,2080,918,3431,6,-2,-8,
96,2,9,2024,11,0,16,84,2087,949,3415,13,-3,-11,
97,2,9,2024,11,0,16,94,2067,938,3414,14,-4,-10,
98,2,9,2024,11,0,16,104,2041,902,3420,14,-9,-13,
99,2,9,2024,11,0,16,114,2044,932,3425,22,-24,-14,
