Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,2,17,956,63,-4073,30,-1,-8,7,
2,12,1,2023,15,2,17,966,63,-4073,30,-1,-8,7,
3,12,1,2023,15,2,17,976,63,-4073,30,-1,-8,7,
4,12,1,2023,15,2,17,986,63,-4073,30,-1,-8,7,
5,12,1,2023,15,2,17,996,63,-4073,30,-1,-8,7,
6,12,1,2023,15,2,18,6,63,-4073,30,-1,-8,7,
7,12,1,2023,15,2,18,16,63,-4073,30,-1,-8,7,
8,12,1,2023,15,2,18,26,1886,-681,3551,13,0,3,
9,12,1,2023,15,2,18,36,1894,-686,3547,9,-4,7,
10,12,1,2023,15,2,18,46,1895,-665,3544,4,-8,5,
11,12,1,2023,15,2,18,56,1924,-673,3549,2,-10,6,
12,12,1,2023,15,2,18,66,1918,-693,3540,5,1,8,
13,12,1,2023,15,2,18,76,1893,-672,3547,7,9,8,
14,12,1,2023,15,2,18,86,1887,-670,3556,5,0,5,
15,12,1,2023,15,2,18,96,1905,-687,3561,4,-9,6,
16,12,1,2023,15,2,18,106,1911,-685,3552,5,-5,8,
17,12,1,2023,15,2,18,116,1897,-682,3552,6,0,4,
18,12,1,2023,15,2,18,126,1895,-681,3553,9,-2,3,
19,12,1,2023,15,2,18,136,1903,-680,3543,9,-1,3,
20,12,1,2023,15,2,18,146,1896,-688,3550,10,-2,5,
21,12,1,2023,15,2,18,156,1901,-676,3546,15,-3,5,
22,12,1,2023,15,2,18,166,1893,-679,3559,14,-4,6,
23,12,1,2023,15,2,18,176,1905,-689,3553,14,-4,5,
24,12,1,2023,15,2,18,186,1895,-672,3546,13,-1,4,
25,12,1,2023,15,2,18,196,1894,-681,3546,13,-5,5,
26,12,1,2023,15,2,18,206,1906,-683,3556,14,-7,2,
27,12,1,2023,15,2,18,216,1900,-678,3555,16,-9,1,
28,12,1,2023,15,2,18,226,1916,-691,3553,19,-5,-2,
29,12,1,2023,15,2,18,236,1907,-675,3552,19,6,1,
30,12,1,2023,15,2,18,246,1902,-664,3552,19,13,1,
31,12,1,2023,15,2,18,256,1896,-684,3551,21,12,0,
32,12,1,2023,15,2,18,266,1898,-671,3555,23,9,-1,
33,12,1,2023,15,2,18,276,1901,-672,3550,22,12,-1,
34,12,1,2023,15,2,18,286,1901,-679,3551,23,16,1,
35,12,1,2023,15,2,18,296,1914,-674,3553,25,16,-2,
36,12,1,2023,15,2,18,306,1910,-674,3548,26,24,2,
37,12,1,2023,15,2,18,316,1909,-670,3554,23,36,3,
38,12,1,2023,15,2,18,326,1914,-668,3548,20,42,3,
39,12,1,2023,15,2,18,336,1911,-673,3552,20,46,7,
40,12,1,2023,15,2,18,346,1901,-672,3553,19,59,12,
41,12,1,2023,15,2,18,356,1891,-677,3555,17,63,12,
42,12,1,2023,15,2,18,366,1886,-686,3557,20,63,10,
43,12,1,2023,15,2,18,376,1875,-672,3553,17,63,12,
44,12,1,2023,15,2,18,386,1873,-652,3551,18,50,11,
45,12,1,2023,15,2,18,396,1863,-666,3561,15,41,10,
