Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,2,8,837,82,-4037,598,-1,2,3,
2,12,1,2023,15,2,8,847,82,-4037,598,-1,2,3,
3,12,1,2023,15,2,8,857,82,-4037,598,-1,2,3,
4,12,1,2023,15,2,8,867,82,-4037,598,-1,2,3,
5,12,1,2023,15,2,8,877,82,-4037,598,-1,2,3,
6,12,1,2023,15,2,8,887,82,-4037,598,-1,2,3,
7,12,1,2023,15,2,8,897,1908,-1255,3416,6,1,-6,
8,12,1,2023,15,2,8,907,1901,-1264,3418,-5,-3,-2,
9,12,1,2023,15,2,8,917,1907,-1266,3424,4,-7,-2,
10,12,1,2023,15,2,8,927,1914,-1249,3415,2,-10,-5,
11,12,1,2023,15,2,8,937,1913,-1262,3413,-1,-9,-9,
12,12,1,2023,15,2,8,947,1912,-1262,3413,2,-5,-5,
13,12,1,2023,15,2,8,957,1913,-1259,3414,2,-7,-4,
14,12,1,2023,15,2,8,967,1914,-1261,3417,1,-4,-4,
15,12,1,2023,15,2,8,977,1919,-1259,3419,3,0,-3,
16,12,1,2023,15,2,8,987,1912,-1262,3421,2,-1,-2,
17,12,1,2023,15,2,8,997,1911,-1263,3415,1,-7,-2,
18,12,1,2023,15,2,9,7,1907,-1258,3417,0,-4,0,
19,12,1,2023,15,2,9,17,1908,-1264,3414,-2,-6,-2,
20,12,1,2023,15,2,9,27,1921,-1265,3408,0,-4,1,
21,12,1,2023,15,2,9,37,1918,-1260,3416,-4,1,4,
22,12,1,2023,15,2,9,47,1908,-1268,3412,0,0,1,
23,12,1,2023,15,2,9,57,1920,-1268,3409,-1,4,-1,
24,12,1,2023,15,2,9,67,1921,-1261,3419,2,5,-1,
25,12,1,2023,15,2,9,77,1910,-1257,3421,2,2,1,
26,12,1,2023,15,2,9,87,1913,-1249,3416,1,7,-1,
27,12,1,2023,15,2,9,97,1921,-1250,3409,0,9,0,
28,12,1,2023,15,2,9,107,1923,-1259,3418,0,14,5,
29,12,1,2023,15,2,9,117,1908,-1265,3420,2,16,8,
30,12,1,2023,15,2,9,127,1913,-1261,3423,-1,18,7,
31,12,1,2023,15,2,9,137,1921,-1260,3427,0,17,8,
32,12,1,2023,15,2,9,147,1914,-1262,3414,-1,17,10,
33,12,1,2023,15,2,9,157,1905,-1269,3411,2,18,8,
34,12,1,2023,15,2,9,167,1911,-1267,3413,4,17,6,
35,12,1,2023,15,2,9,177,1912,-1259,3418,3,19,6,
36,12,1,2023,15,2,9,187,1922,-1260,3417,5,23,6,
37,12,1,2023,15,2,9,197,1913,-1268,3417,5,28,10,
38,12,1,2023,15,2,9,207,1912,-1258,3420,6,26,8,
39,12,1,2023,15,2,9,217,1918,-1253,3426,9,29,9,
40,12,1,2023,15,2,9,227,1912,-1255,3431,8,33,11,
41,12,1,2023,15,2,9,237,1908,-1260,3422,3,30,12,
42,12,1,2023,15,2,9,247,1915,-1259,3421,4,31,10,
43,12,1,2023,15,2,9,257,1913,-1257,3417,5,34,13,
44,12,1,2023,15,2,9,267,1909,-1262,3419,3,37,13,
45,12,1,2023,15,2,9,277,1908,-1258,3420,5,39,15,
46,12,1,2023,15,2,9,287,1913,-1254,3424,4,41,17,
47,12,1,2023,15,2,9,297,1903,-1254,3425,4,43,19,
48,12,1,2023,15,2,9,307,1892,-1265,3421,0,48,18,
49,12,1,2023,15,2,9,317,1901,-1266,3424,-1,42,17,
50,12,1,2023,15,2,9,327,1889,-1262,3428,1,40,16,
51,12,1,2023,15,2,9,337,1888,-1262,3428,1,36,15,
52,12,1,2023,15,2,9,347,1891,-1255,3420,-1,29,14,
53,12,1,2023,15,2,9,357,1901,-1261,3420,-2,30,14,
54,12,1,2023,15,2,9,367,1904,-1264,3420,1,33,15,
55,12,1,2023,15,2,9,377,1897,-1260,3407,0,38,11,
56,12,1,2023,15,2,9,387,1893,-1259,3418,1,35,12,
57,12,1,2023,15,2,9,397,1904,-1259,3423,0,33,12,
58,12,1,2023,15,2,9,407,1893,-1253,3421,3,33,12,
59,12,1,2023,15,2,9,417,1889,-1259,3421,-1,29,8,
60,12,1,2023,15,2,9,427,1895,-1259,3432,2,25,5,
61,12,1,2023,15,2,9,437,1888,-1252,3431,-1,22,9,
62,12,1,2023,15,2,9,447,1875,-1263,3437,-4,14,9,
63,12,1,2023,15,2,9,457,1883,-1265,3439,-4,6,7,
64,12,1,2023,15,2,9,467,1876,-1270,3439,-6,1,2,
65,12,1,2023,15,2,9,477,1875,-1271,3439,-6,-8,-1,
66,12,1,2023,15,2,9,487,1897,-1268,3426,-7,-21,-6,
67,12,1,2023,15,2,9,497,1891,-1268,3421,-8,-19,-5,
68,12,1,2023,15,2,9,507,1898,-1276,3419,-3,-19,-7,
69,12,1,2023,15,2,9,517,1905,-1271,3418,2,-16,-7,
70,12,1,2023,15,2,9,527,1903,-1271,3418,7,-15,-8,
71,12,1,2023,15,2,9,537,1891,-1273,3420,8,-17,-10,
72,12,1,2023,15,2,9,547,1890,-1263,3428,9,-15,-11,
73,12,1,2023,15,2,9,557,1895,-1271,3421,15,-16,-13,
74,12,1,2023,15,2,9,567,1899,-1260,3418,14,-20,-14,
75,12,1,2023,15,2,9,577,1903,-1256,3419,13,-18,-15,
76,12,1,2023,15,2,9,587,1897,-1255,3421,14,-16,-13,
77,12,1,2023,15,2,9,597,1903,-1259,3420,15,-17,-12,
78,12,1,2023,15,2,9,607,1897,-1259,3426,16,-16,-14,
79,12,1,2023,15,2,9,617,1896,-1257,3423,14,-19,-14,
80,12,1,2023,15,2,9,627,1906,-1254,3424,14,-19,-13,
81,12,1,2023,15,2,9,637,1908,-1251,3424,14,-20,-13,
82,12,1,2023,15,2,9,647,1906,-1254,3417,12,-13,-13,
83,12,1,2023,15,2,9,657,1905,-1247,3425,12,-10,-12,
84,12,1,2023,15,2,9,667,1901,-1249,3432,9,-13,-8,
