Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,16,2,33,696,33,-4072,261,157,18,7,
2,12,1,2023,16,2,33,706,33,-4072,261,157,18,7,
3,12,1,2023,16,2,33,716,33,-4072,261,157,18,7,
4,12,1,2023,16,2,33,726,33,-4072,261,157,18,7,
5,12,1,2023,16,2,33,736,33,-4072,261,157,18,7,
6,12,1,2023,16,2,33,746,33,-4072,261,157,18,7,
7,12,1,2023,16,2,33,756,33,-4072,261,157,18,7,
8,12,1,2023,16,2,33,766,2460,246,3290,1,-1,7,
9,12,1,2023,16,2,33,776,2439,267,3302,-4,6,4,
10,12,1,2023,16,2,33,786,2448,250,3294,-3,1,1,
11,12,1,2023,16,2,33,796,2444,262,3307,-1,0,1,
12,12,1,2023,16,2,33,806,2453,258,3303,0,-6,3,
13,12,1,2023,16,2,33,816,2453,260,3297,-6,-5,7,
14,12,1,2023,16,2,33,826,2448,259,3294,-8,-10,8,
15,12,1,2023,16,2,33,836,2457,243,3297,-10,-13,3,
16,12,1,2023,16,2,33,846,2446,247,3306,-6,-15,3,
17,12,1,2023,16,2,33,856,2456,248,3290,-2,-11,-1,
18,12,1,2023,16,2,33,866,2453,253,3291,1,-12,-1,
19,12,1,2023,16,2,33,876,2453,250,3294,-1,-9,-4,
20,12,1,2023,16,2,33,886,2453,256,3294,3,-8,-5,
21,12,1,2023,16,2,33,896,2463,251,3297,6,-10,-2,
22,12,1,2023,16,2,33,906,2459,256,3297,4,-5,-1,
23,12,1,2023,16,2,33,916,2461,258,3294,4,-4,-1,
24,12,1,2023,16,2,33,926,2453,254,3294,7,0,0,
25,12,1,2023,16,2,33,936,2455,259,3292,5,2,-1,
26,12,1,2023,16,2,33,946,2452,254,3297,4,4,0,
27,12,1,2023,16,2,33,956,2459,252,3292,2,4,2,
28,12,1,2023,16,2,33,966,2459,264,3291,3,3,-3,
29,12,1,2023,16,2,33,976,2458,255,3294,2,6,-1,
30,12,1,2023,16,2,33,986,2464,255,3298,-1,4,-1,
31,12,1,2023,16,2,33,996,2462,251,3294,0,8,-1,
32,12,1,2023,16,2,34,6,2462,261,3294,-2,11,2,
33,12,1,2023,16,2,34,16,2459,262,3299,-1,9,3,
34,12,1,2023,16,2,34,26,2457,265,3296,-1,10,4,
35,12,1,2023,16,2,34,36,2458,254,3294,-1,14,3,
36,12,1,2023,16,2,34,46,2457,249,3291,1,10,7,
37,12,1,2023,16,2,34,56,2451,245,3295,0,14,3,
38,12,1,2023,16,2,34,66,2455,253,3291,-1,19,2,
39,12,1,2023,16,2,34,76,2458,255,3300,1,19,2,
40,12,1,2023,16,2,34,86,2458,245,3310,2,18,0,
41,12,1,2023,16,2,34,96,2452,263,3299,4,16,-3,
42,12,1,2023,16,2,34,106,2451,256,3294,4,16,0,
43,12,1,2023,16,2,34,116,2448,257,3302,3,12,3,
44,12,1,2023,16,2,34,126,2450,256,3303,3,9,-2,
45,12,1,2023,16,2,34,136,2456,253,3299,3,10,-1,
46,12,1,2023,16,2,34,146,2453,261,3293,1,11,-4,
47,12,1,2023,16,2,34,156,2460,255,3296,2,10,-3,
48,12,1,2023,16,2,34,166,2461,255,3301,3,14,-3,
49,12,1,2023,16,2,34,176,2451,253,3297,2,15,-2,
50,12,1,2023,16,2,34,186,2450,258,3300,4,13,0,
51,12,1,2023,16,2,34,196,2453,255,3298,5,14,2,
52,12,1,2023,16,2,34,206,2454,249,3298,5,12,-2,
53,12,1,2023,16,2,34,216,2453,256,3299,4,17,-4,
54,12,1,2023,16,2,34,226,2462,262,3297,5,15,-3,
55,12,1,2023,16,2,34,236,2452,255,3299,8,15,-1,
56,12,1,2023,16,2,34,246,2448,251,3300,9,17,-3,
57,12,1,2023,16,2,34,256,2454,255,3301,10,17,-4,
58,12,1,2023,16,2,34,266,2455,258,3297,9,20,-8,
59,12,1,2023,16,2,34,276,2446,257,3296,8,21,-7,
60,12,1,2023,16,2,34,286,2448,264,3303,8,20,-3,
61,12,1,2023,16,2,34,296,2445,259,3307,5,18,-1,
62,12,1,2023,16,2,34,306,2449,262,3301,6,19,-2,
63,12,1,2023,16,2,34,316,2448,263,3305,5,14,-1,
64,12,1,2023,16,2,34,326,2458,258,3303,7,13,1,
65,12,1,2023,16,2,34,336,2458,266,3293,7,16,0,
66,12,1,2023,16,2,34,346,2456,267,3297,7,17,0,
67,12,1,2023,16,2,34,356,2448,261,3306,2,19,1,
68,12,1,2023,16,2,34,366,2447,261,3301,3,21,0,
69,12,1,2023,16,2,34,376,2454,265,3301,5,22,-3,
70,12,1,2023,16,2,34,386,2446,256,3297,3,18,3,
71,12,1,2023,16,2,34,396,2451,262,3300,6,20,3,
72,12,1,2023,16,2,34,406,2452,263,3301,4,24,-2,
73,12,1,2023,16,2,34,416,2446,257,3308,5,24,0,
74,12,1,2023,16,2,34,426,2447,257,3311,4,25,0,
75,12,1,2023,16,2,34,436,2444,256,3303,3,26,-4,
76,12,1,2023,16,2,34,446,2439,249,3301,4,26,-2,
77,12,1,2023,16,2,34,456,2451,263,3299,5,25,0,
78,12,1,2023,16,2,34,466,2444,268,3299,7,23,0,
79,12,1,2023,16,2,34,476,2441,267,3312,8,26,-2,
80,12,1,2023,16,2,34,486,2446,263,3309,6,24,0,
81,12,1,2023,16,2,34,496,2447,265,3307,4,25,-3,
82,12,1,2023,16,2,34,506,2442,263,3305,4,24,-3,
83,12,1,2023,16,2,34,516,2438,256,3303,6,24,-4,
84,12,1,2023,16,2,34,526,2437,255,3303,7,23,-3,
85,12,1,2023,16,2,34,536,2446,262,3313,4,24,-1,
86,12,1,2023,16,2,34,556,2443,260,3302,6,19,-2,
87,12,1,2023,16,2,34,566,2440,267,3308,2,24,-2,
88,12,1,2023,16,2,34,576,2438,252,3298,2,23,-3,
89,12,1,2023,16,2,34,586,2439,271,3306,8,22,-4,
90,12,1,2023,16,2,34,596,2445,280,3308,4,22,-4,
91,12,1,2023,16,2,34,606,2438,261,3306,2,24,-2,
92,12,1,2023,16,2,34,616,2445,266,3313,1,22,-3,
93,12,1,2023,16,2,34,626,2441,262,3310,1,20,-1,
94,12,1,2023,16,2,34,636,2439,255,3308,-1,20,2,
95,12,1,2023,16,2,34,646,2432,267,3315,-2,20,-1,
96,12,1,2023,16,2,34,656,2435,262,3311,0,14,0,
97,12,1,2023,16,2,34,666,2432,266,3310,1,9,2,
98,12,1,2023,16,2,34,676,2435,263,3310,1,12,2,
99,12,1,2023,16,2,34,686,2437,260,3313,-1,10,1,
100,12,1,2023,16,2,34,696,2434,263,3318,-3,7,3,
101,12,1,2023,16,2,34,706,2440,255,3314,0,4,2,
102,12,1,2023,16,2,34,716,2434,251,3305,-1,1,1,
103,12,1,2023,16,2,34,726,2433,255,3308,-3,4,2,
104,12,1,2023,16,2,34,736,2428,267,3317,-3,6,1,
105,12,1,2023,16,2,34,746,2433,266,3309,2,5,-1,
106,12,1,2023,16,2,34,756,2437,270,3306,0,5,1,
107,12,1,2023,16,2,34,766,2440,263,3308,-3,6,1,
108,12,1,2023,16,2,34,776,2434,264,3313,-3,2,4,
109,12,1,2023,16,2,34,786,2438,268,3310,-6,7,4,
110,12,1,2023,16,2,34,796,2438,261,3306,-5,5,4,
111,12,1,2023,16,2,34,806,2437,263,3310,-2,3,5,
112,12,1,2023,16,2,34,816,2440,269,3306,-1,5,4,
113,12,1,2023,16,2,34,826,2435,259,3309,-4,5,-1,
114,12,1,2023,16,2,34,836,2431,259,3307,-3,4,3,
115,12,1,2023,16,2,34,846,2445,256,3307,-1,2,3,
116,12,1,2023,16,2,34,856,2432,258,3314,0,5,2,
117,12,1,2023,16,2,34,866,2440,255,3311,-3,3,0,
118,12,1,2023,16,2,34,876,2439,266,3309,1,4,0,
119,12,1,2023,16,2,34,886,2445,273,3308,1,4,1,
120,12,1,2023,16,2,34,896,2446,264,3312,-3,6,1,
121,12,1,2023,16,2,34,906,2439,269,3311,-3,9,0,
122,12,1,2023,16,2,34,916,2434,263,3310,-1,9,1,
123,12,1,2023,16,2,34,926,2437,262,3313,-1,6,2,
124,12,1,2023,16,2,34,936,2436,258,3314,0,5,2,
125,12,1,2023,16,2,34,946,2437,259,3315,0,2,3,
126,12,1,2023,16,2,34,956,2439,261,3312,0,1,1,
127,12,1,2023,16,2,34,966,2437,263,3316,0,2,-3,
128,12,1,2023,16,2,34,976,2439,260,3308,0,0,0,
129,12,1,2023,16,2,34,986,2439,273,3309,-1,1,0,
130,12,1,2023,16,2,34,996,2438,260,3315,0,2,2,
131,12,1,2023,16,2,35,6,2432,255,3312,1,-1,0,
132,12,1,2023,16,2,35,16,2439,259,3311,0,2,0,
133,12,1,2023,16,2,35,26,2438,267,3308,-2,3,-1,
134,12,1,2023,16,2,35,36,2439,269,3306,1,0,-1,
135,12,1,2023,16,2,35,46,2439,264,3305,2,1,-1,
136,12,1,2023,16,2,35,56,2438,265,3314,-1,1,0,
137,12,1,2023,16,2,35,66,2442,272,3310,0,3,1,
138,12,1,2023,16,2,35,76,2441,255,3309,0,8,1,
139,12,1,2023,16,2,35,86,2432,256,3308,1,2,1,
140,12,1,2023,16,2,35,96,2433,262,3314,-1,3,-4,
141,12,1,2023,16,2,35,106,2435,263,3311,3,7,-1,
142,12,1,2023,16,2,35,116,2438,262,3307,6,7,-1,
143,12,1,2023,16,2,35,126,2444,268,3310,1,6,-2,
144,12,1,2023,16,2,35,136,2433,264,3312,4,7,0,
145,12,1,2023,16,2,35,146,2438,265,3316,2,8,-2,
146,12,1,2023,16,2,35,156,2441,260,3316,2,11,-2,
147,12,1,2023,16,2,35,166,2437,266,3315,5,8,-5,
148,12,1,2023,16,2,35,176,2458,288,3288,-1,10,3,
149,12,1,2023,16,2,35,186,2402,240,3310,0,17,1,
150,12,1,2023,16,2,35,196,2466,268,3309,1,10,-1,
151,12,1,2023,16,2,35,206,2424,269,3311,0,15,1,
152,12,1,2023,16,2,35,216,2443,256,3311,0,13,0,
153,12,1,2023,16,2,35,226,2430,262,3303,1,14,-1,
