Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,8,28,908,92,-4075,13,-1,-4,4,
2,12,8,2023,11,8,28,918,92,-4075,13,-1,-4,4,
3,12,8,2023,11,8,28,928,92,-4075,13,-1,-4,4,
4,12,8,2023,11,8,28,938,92,-4075,13,-1,-4,4,
5,12,8,2023,11,8,28,948,92,-4075,13,-1,-4,4,
6,12,8,2023,11,8,28,958,92,-4075,13,-1,-4,4,
7,12,8,2023,11,8,28,968,1869,-750,3541,2,-8,-41,
8,12,8,2023,11,8,28,978,1836,-881,3540,-12,-30,-8,
9,12,8,2023,11,8,28,988,1857,-747,3550,2,22,-14,
10,12,8,2023,11,8,28,998,1872,-795,3518,-9,-5,-18,
11,12,8,2023,11,8,29,8,1889,-819,3535,-5,-4,-18,
12,12,8,2023,11,8,29,18,1884,-756,3527,-16,-13,-10,
13,12,8,2023,11,8,29,28,1892,-826,3515,-14,-8,-8,
14,12,8,2023,11,8,29,38,1892,-771,3527,-20,-9,-3,
15,12,8,2023,11,8,29,48,1889,-785,3528,-27,-15,3,
16,12,8,2023,11,8,29,58,1893,-811,3528,-27,-6,8,
17,12,8,2023,11,8,29,68,1890,-801,3527,-29,-11,15,
18,12,8,2023,11,8,29,78,1899,-813,3523,-32,-11,13,
19,12,8,2023,11,8,29,88,1897,-819,3528,-25,-9,15,
20,12,8,2023,11,8,29,98,1873,-817,3532,-25,-10,13,
21,12,8,2023,11,8,29,108,1864,-816,3528,-24,-13,12,
22,12,8,2023,11,8,29,118,1888,-846,3505,-24,-18,16,
23,12,8,2023,11,8,29,128,1906,-878,3499,-11,-12,13,
24,12,8,2023,11,8,29,138,1879,-837,3523,1,0,8,
25,12,8,2023,11,8,29,148,1862,-807,3542,-2,-6,9,
26,12,8,2023,11,8,29,158,1875,-832,3536,-10,-13,5,
27,12,8,2023,11,8,29,168,1877,-838,3532,-14,-18,-3,
28,12,8,2023,11,8,29,178,1882,-843,3533,-13,-30,-4,
29,12,8,2023,11,8,29,188,1876,-820,3525,-15,-36,-8,
30,12,8,2023,11,8,29,198,1896,-806,3519,-23,-39,-6,
31,12,8,2023,11,8,29,208,1906,-811,3519,-25,-37,-5,
32,12,8,2023,11,8,29,218,1902,-807,3521,-22,-29,-1,
33,12,8,2023,11,8,29,228,1888,-810,3527,-22,-24,3,
34,12,8,2023,11,8,29,238,1902,-810,3511,-21,-27,4,
35,12,8,2023,11,8,29,248,1904,-813,3518,-18,-21,5,
36,12,8,2023,11,8,29,258,1892,-796,3514,-16,-13,11,
37,12,8,2023,11,8,29,268,1880,-801,3516,-22,-14,15,
38,12,8,2023,11,8,29,278,1904,-827,3524,-26,-11,19,
39,12,8,2023,11,8,29,288,1899,-840,3518,-25,-11,23,
40,12,8,2023,11,8,29,298,1897,-829,3519,-22,-5,21,
41,12,8,2023,11,8,29,308,1904,-828,3533,-22,-6,21,
42,12,8,2023,11,8,29,318,1891,-853,3518,-18,-4,20,
43,12,8,2023,11,8,29,328,1916,-813,3525,-15,-2,21,
44,12,8,2023,11,8,29,338,1883,-846,3517,-13,5,24,
45,12,8,2023,11,8,29,348,1882,-828,3522,-11,6,20,
46,12,8,2023,11,8,29,358,1894,-827,3525,-9,3,20,
47,12,8,2023,11,8,29,368,1880,-823,3511,-11,2,19,
48,12,8,2023,11,8,29,378,1884,-818,3530,-20,-2,20,
49,12,8,2023,11,8,29,388,1899,-836,3518,-30,-7,29,
50,12,8,2023,11,8,29,398,1891,-856,3515,-28,-1,33,
51,12,8,2023,11,8,29,408,1889,-843,3524,-25,1,28,
52,12,8,2023,11,8,29,418,1880,-843,3526,-22,0,22,
53,12,8,2023,11,8,29,428,1869,-843,3525,-22,-4,17,
54,12,8,2023,11,8,29,438,1874,-837,3527,-19,-10,12,
55,12,8,2023,11,8,29,448,1892,-832,3524,-22,-18,11,
56,12,8,2023,11,8,29,458,1898,-844,3519,-24,-16,11,
57,12,8,2023,11,8,29,468,1888,-833,3518,-20,-11,12,
58,12,8,2023,11,8,29,478,1890,-832,3516,-11,-5,9,
59,12,8,2023,11,8,29,488,1888,-822,3519,-8,-2,15,
60,12,8,2023,11,8,29,498,1903,-839,3510,-13,1,17,
61,12,8,2023,11,8,29,508,1910,-853,3514,-9,14,14,
62,12,8,2023,11,8,29,518,1899,-840,3527,-3,21,19,
63,12,8,2023,11,8,29,528,1884,-864,3527,-2,20,20,
64,12,8,2023,11,8,29,538,1863,-855,3524,1,20,9,
65,12,8,2023,11,8,29,548,1867,-838,3527,6,10,5,
66,12,8,2023,11,8,29,558,1870,-825,3522,2,-2,5,
67,12,8,2023,11,8,29,568,1868,-832,3520,-4,-5,5,
68,12,8,2023,11,8,29,578,1889,-836,3524,-8,-14,0,
69,12,8,2023,11,8,29,588,1890,-833,3519,-5,-16,1,
70,12,8,2023,11,8,29,598,1885,-829,3509,-1,-10,4,
71,12,8,2023,11,8,29,608,1891,-841,3516,-2,-6,4,
72,12,8,2023,11,8,29,618,1885,-841,3522,-2,0,3,
73,12,8,2023,11,8,29,628,1891,-834,3524,-2,0,3,
74,12,8,2023,11,8,29,638,1886,-848,3524,-4,1,2,
75,12,8,2023,11,8,29,648,1881,-849,3521,-3,-3,4,
76,12,8,2023,11,8,29,658,1871,-830,3521,4,-8,-2,
77,12,8,2023,11,8,29,668,1880,-829,3525,3,-13,-1,
78,12,8,2023,11,8,29,678,1892,-824,3526,0,-16,2,
79,12,8,2023,11,8,29,688,1889,-824,3529,-3,-12,0,
80,12,8,2023,11,8,29,698,1895,-827,3529,-1,-15,-1,
81,12,8,2023,11,8,29,708,1894,-829,3519,-5,-11,2,
82,12,8,2023,11,8,29,718,1892,-832,3525,-4,-6,2,
83,12,8,2023,11,8,29,728,1912,-820,3519,-7,-3,1,
84,12,8,2023,11,8,29,738,1884,-823,3519,-6,4,6,
85,12,8,2023,11,8,29,748,1874,-824,3524,-6,1,9,
86,12,8,2023,11,8,29,768,1891,-830,3517,-12,-11,7,
87,12,8,2023,11,8,29,778,1901,-848,3520,-17,-8,8,
88,12,8,2023,11,8,29,788,1887,-841,3515,-10,-7,8,
