Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,33,35,577,74,-4029,386,181,-15,-4,
2,12,8,2023,11,33,35,587,74,-4029,386,181,-15,-4,
3,12,8,2023,11,33,35,597,74,-4029,386,181,-15,-4,
4,12,8,2023,11,33,35,607,74,-4029,386,181,-15,-4,
5,12,8,2023,11,33,35,617,74,-4029,386,181,-15,-4,
6,12,8,2023,11,33,35,627,74,-4029,386,181,-15,-4,
7,12,8,2023,11,33,35,637,1777,-970,3531,-1,23,17,
8,12,8,2023,11,33,35,647,1782,-990,3535,-11,38,16,
9,12,8,2023,11,33,35,657,1764,-996,3545,3,25,10,
10,12,8,2023,11,33,35,667,1778,-975,3538,10,14,2,
11,12,8,2023,11,33,35,677,1790,-950,3542,10,10,-1,
12,12,8,2023,11,33,35,687,1792,-983,3537,8,10,2,
13,12,8,2023,11,33,35,697,1786,-974,3535,16,14,-1,
14,12,8,2023,11,33,35,707,1782,-955,3538,17,12,-1,
15,12,8,2023,11,33,35,717,1775,-948,3544,11,10,1,
16,12,8,2023,11,33,35,727,1777,-957,3542,4,9,2,
17,12,8,2023,11,33,35,737,1782,-959,3544,3,6,3,
18,12,8,2023,11,33,35,747,1783,-958,3551,2,-3,5,
19,12,8,2023,11,33,35,757,1778,-956,3549,-2,0,4,
20,12,8,2023,11,33,35,767,1782,-959,3542,-2,-3,4,
21,12,8,2023,11,33,35,777,1784,-970,3548,-1,-4,3,
22,12,8,2023,11,33,35,787,1786,-965,3547,-2,-3,5,
23,12,8,2023,11,33,35,797,1792,-961,3541,0,-3,4,
24,12,8,2023,11,33,35,807,1787,-961,3543,0,-2,4,
25,12,8,2023,11,33,35,817,1783,-968,3548,-2,-4,2,
26,12,8,2023,11,33,35,827,1784,-963,3545,-4,-2,3,
27,12,8,2023,11,33,35,837,1784,-961,3544,-7,-2,4,
28,12,8,2023,11,33,35,847,1778,-964,3545,-5,-4,6,
29,12,8,2023,11,33,35,857,1770,-964,3545,-5,-7,3,
30,12,8,2023,11,33,35,867,1784,-965,3550,-4,-9,4,
31,12,8,2023,11,33,35,877,1781,-962,3546,-8,-11,9,
32,12,8,2023,11,33,35,887,1781,-962,3547,-6,-13,2,
33,12,8,2023,11,33,35,897,1789,-963,3545,-2,-16,-1,
34,12,8,2023,11,33,35,907,1789,-963,3548,-4,-17,-1,
35,12,8,2023,11,33,35,917,1794,-959,3539,-4,-16,2,
36,12,8,2023,11,33,35,927,1786,-969,3543,-4,-15,-1,
37,12,8,2023,11,33,35,937,1787,-965,3536,-6,-16,2,
38,12,8,2023,11,33,35,947,1790,-963,3538,-5,-13,4,
39,12,8,2023,11,33,35,957,1787,-958,3545,-3,-13,5,
40,12,8,2023,11,33,35,967,1790,-964,3536,-5,-9,5,
41,12,8,2023,11,33,35,977,1795,-967,3543,-9,-6,2,
42,12,8,2023,11,33,35,987,1789,-964,3524,-6,-5,5,
43,12,8,2023,11,33,35,997,1770,-956,3542,-1,-3,7,
44,12,8,2023,11,33,36,7,1807,-971,3534,-5,-6,7,
45,12,8,2023,11,33,36,17,1779,-959,3542,-2,-2,3,
46,12,8,2023,11,33,36,27,1786,-956,3541,-2,-1,5,
47,12,8,2023,11,33,36,37,1785,-966,3539,-6,-3,4,
48,12,8,2023,11,33,36,47,1782,-962,3541,-4,-8,6,
49,12,8,2023,11,33,36,57,1791,-955,3542,-8,-7,6,
50,12,8,2023,11,33,36,67,1780,-973,3536,-10,-4,5,
51,12,8,2023,11,33,36,77,1792,-962,3542,-7,-4,5,
52,12,8,2023,11,33,36,87,1785,-973,3543,-5,-3,6,
53,12,8,2023,11,33,36,97,1783,-955,3545,1,-2,3,
54,12,8,2023,11,33,36,107,1776,-975,3545,-4,-3,5,
55,12,8,2023,11,33,36,117,1786,-959,3549,-3,-6,1,
56,12,8,2023,11,33,36,127,1790,-965,3546,-4,-9,-1,
57,12,8,2023,11,33,36,137,1790,-970,3547,-2,-8,0,
58,12,8,2023,11,33,36,147,1792,-977,3546,0,-7,3,
59,12,8,2023,11,33,36,157,1798,-966,3546,2,-6,-1,
60,12,8,2023,11,33,36,167,1796,-968,3540,4,-2,-3,
61,12,8,2023,11,33,36,177,1793,-961,3537,6,-2,-2,
62,12,8,2023,11,33,36,187,1788,-961,3537,2,3,-3,
63,12,8,2023,11,33,36,197,1791,-959,3543,5,7,1,
64,12,8,2023,11,33,36,207,1796,-964,3540,9,10,1,
65,12,8,2023,11,33,36,217,1786,-970,3544,8,11,0,
66,12,8,2023,11,33,36,227,1780,-966,3545,8,13,-2,
67,12,8,2023,11,33,36,237,1783,-966,3537,6,14,-1,
68,12,8,2023,11,33,36,247,1782,-963,3540,9,10,-3,
69,12,8,2023,11,33,36,257,1788,-963,3541,12,7,-4,
70,12,8,2023,11,33,36,267,1785,-970,3542,13,9,-5,
71,12,8,2023,11,33,36,277,1787,-970,3543,12,10,-4,
72,12,8,2023,11,33,36,287,1785,-953,3548,15,13,-3,
73,12,8,2023,11,33,36,297,1782,-953,3547,16,12,-4,
74,12,8,2023,11,33,36,307,1784,-956,3547,12,10,-1,
75,12,8,2023,11,33,36,317,1775,-961,3544,13,12,-1,
76,12,8,2023,11,33,36,327,1783,-960,3543,10,9,-4,
77,12,8,2023,11,33,36,337,1775,-948,3547,8,6,-3,
78,12,8,2023,11,33,36,347,1769,-950,3553,4,7,-1,
79,12,8,2023,11,33,36,357,1776,-940,3550,-2,3,3,
80,12,8,2023,11,33,36,367,1775,-947,3548,-3,4,6,
81,12,8,2023,11,33,36,377,1774,-963,3548,-7,2,2,
82,12,8,2023,11,33,36,387,1779,-966,3552,-8,-3,4,
83,12,8,2023,11,33,36,397,1776,-958,3550,-7,-4,8,
84,12,8,2023,11,33,36,407,1780,-967,3550,-4,-5,4,
85,12,8,2023,11,33,36,417,1772,-960,3552,0,-2,2,
86,12,8,2023,11,33,36,437,1781,-982,3546,4,-9,-2,
87,12,8,2023,11,33,36,447,1781,-969,3550,7,-5,-3,
88,12,8,2023,11,33,36,457,1783,-965,3545,10,-3,-5,
89,12,8,2023,11,33,36,467,1783,-947,3544,13,-2,-8,
90,12,8,2023,11,33,36,477,1781,-943,3547,12,0,-6,
91,12,8,2023,11,33,36,487,1782,-947,3551,11,1,-3,
92,12,8,2023,11,33,36,497,1779,-956,3550,7,-1,-2,
93,12,8,2023,11,33,36,507,1780,-960,3549,4,1,-2,
94,12,8,2023,11,33,36,517,1784,-957,3556,6,-7,-3,
95,12,8,2023,11,33,36,527,1778,-961,3545,5,-2,-2,
96,12,8,2023,11,33,36,537,1780,-958,3543,10,-2,-3,
97,12,8,2023,11,33,36,547,1769,-956,3546,13,-1,-6,
98,12,8,2023,11,33,36,557,1779,-945,3549,9,-2,-5,
99,12,8,2023,11,33,36,567,1783,-934,3551,6,-6,-3,
100,12,8,2023,11,33,36,577,1776,-951,3554,5,-3,1,
101,12,8,2023,11,33,36,587,1778,-938,3557,6,-7,1,
102,12,8,2023,11,33,36,597,1773,-937,3551,2,-6,-1,
103,12,8,2023,11,33,36,607,1774,-948,3551,-5,-8,3,
104,12,8,2023,11,33,36,617,1777,-958,3550,-6,-11,2,
105,12,8,2023,11,33,36,627,1778,-963,3553,-6,-11,2,
106,12,8,2023,11,33,36,637,1785,-964,3554,-7,-11,2,
107,12,8,2023,11,33,36,647,1788,-970,3543,-2,-9,4,
108,12,8,2023,11,33,36,657,1784,-962,3536,-1,-7,6,
109,12,8,2023,11,33,36,667,1781,-952,3544,5,-4,3,
110,12,8,2023,11,33,36,677,1783,-951,3546,5,-2,-2,
111,12,8,2023,11,33,36,687,1784,-955,3548,6,-2,2,
112,12,8,2023,11,33,36,697,1782,-960,3544,7,-1,1,
113,12,8,2023,11,33,36,707,1775,-953,3552,9,-2,-1,
114,12,8,2023,11,33,36,717,1781,-948,3550,10,-3,-4,
115,12,8,2023,11,33,36,727,1780,-937,3555,8,-2,-2,
116,12,8,2023,11,33,36,737,1771,-933,3556,6,-5,0,
117,12,8,2023,11,33,36,747,1779,-947,3547,-1,-1,1,
