Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,18,39,941,61,-4154,-22,-110,-14,4,
2,12,8,2023,11,18,39,951,61,-4154,-22,-110,-14,4,
3,12,8,2023,11,18,39,961,61,-4154,-22,-110,-14,4,
4,12,8,2023,11,18,39,971,61,-4154,-22,-110,-14,4,
5,12,8,2023,11,18,39,981,61,-4154,-22,-110,-14,4,
6,12,8,2023,11,18,39,991,61,-4154,-22,-110,-14,4,
7,12,8,2023,11,18,40,1,1960,-833,3489,2,-10,-4,
8,12,8,2023,11,18,40,11,1957,-827,3492,7,-20,0,
9,12,8,2023,11,18,40,21,1966,-836,3487,-5,-24,-3,
10,12,8,2023,11,18,40,31,1970,-828,3490,-4,-18,-4,
11,12,8,2023,11,18,40,41,1965,-821,3488,-3,-20,3,
12,12,8,2023,11,18,40,51,1957,-826,3485,-3,-18,1,
13,12,8,2023,11,18,40,61,1957,-826,3484,-2,-23,0,
14,12,8,2023,11,18,40,71,1955,-819,3489,-5,-19,0,
15,12,8,2023,11,18,40,81,1955,-852,3481,-2,-20,3,
16,12,8,2023,11,18,40,91,1958,-839,3487,-2,-23,-1,
17,12,8,2023,11,18,40,101,1954,-818,3492,-1,-24,-3,
18,12,8,2023,11,18,40,111,1963,-826,3484,-3,-23,-4,
19,12,8,2023,11,18,40,121,1969,-837,3485,-3,-23,-6,
20,12,8,2023,11,18,40,131,1966,-807,3486,0,-17,-5,
21,12,8,2023,11,18,40,141,1955,-830,3477,-1,-10,2,
22,12,8,2023,11,18,40,151,1949,-819,3483,-3,-15,2,
23,12,8,2023,11,18,40,161,1947,-816,3488,-4,-19,6,
24,12,8,2023,11,18,40,171,1956,-832,3492,-8,-20,4,
25,12,8,2023,11,18,40,181,1966,-837,3496,-10,-25,1,
26,12,8,2023,11,18,40,191,1968,-828,3485,-10,-27,3,
27,12,8,2023,11,18,40,201,1961,-832,3490,-7,-27,3,
28,12,8,2023,11,18,40,211,1975,-836,3478,-5,-23,0,
29,12,8,2023,11,18,40,221,1965,-830,3478,-4,-18,-1,
30,12,8,2023,11,18,40,231,1964,-817,3485,-5,-19,1,
31,12,8,2023,11,18,40,241,1964,-836,3483,-6,-18,2,
32,12,8,2023,11,18,40,251,1962,-810,3486,-6,-17,0,
33,12,8,2023,11,18,40,261,1966,-826,3482,-6,-19,1,
34,12,8,2023,11,18,40,271,1959,-828,3488,-5,-20,0,
35,12,8,2023,11,18,40,281,1957,-824,3491,-8,-26,0,
36,12,8,2023,11,18,40,291,1967,-840,3477,-8,-24,3,
37,12,8,2023,11,18,40,301,1964,-832,3484,-6,-22,-1,
38,12,8,2023,11,18,40,311,1964,-831,3492,-4,-26,-4,
39,12,8,2023,11,18,40,321,1969,-832,3481,-4,-29,-3,
40,12,8,2023,11,18,40,331,1967,-833,3481,-6,-30,-1,
41,12,8,2023,11,18,40,341,1970,-832,3481,-6,-28,-4,
42,12,8,2023,11,18,40,351,1970,-832,3481,-6,-28,-4,
43,12,8,2023,11,18,40,361,1970,-832,3481,-6,-28,-4,
44,12,8,2023,11,18,40,371,1979,-822,3481,0,-29,-5,
45,12,8,2023,11,18,40,381,1976,-822,3477,-1,-28,-3,
46,12,8,2023,11,18,40,391,1973,-824,3480,-3,-22,0,
47,12,8,2023,11,18,40,401,1971,-828,3475,-5,-22,2,
