Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,33,31,68,155,-4065,-326,718,4,-25,
2,12,8,2023,11,33,31,78,155,-4065,-326,718,4,-25,
3,12,8,2023,11,33,31,88,155,-4065,-326,718,4,-25,
4,12,8,2023,11,33,31,98,155,-4065,-326,718,4,-25,
5,12,8,2023,11,33,31,108,155,-4065,-326,718,4,-25,
6,12,8,2023,11,33,31,118,155,-4065,-326,718,4,-25,
7,12,8,2023,11,33,31,128,1899,1120,3460,-2,-14,-8,
8,12,8,2023,11,33,31,138,1896,1128,3465,16,-33,6,
9,12,8,2023,11,33,31,148,1902,1134,3468,3,-30,-2,
10,12,8,2023,11,33,31,158,1910,1138,3468,3,-30,-4,
11,12,8,2023,11,33,31,168,1902,1130,3469,5,-30,0,
12,12,8,2023,11,33,31,178,1904,1132,3467,7,-29,-1,
13,12,8,2023,11,33,31,188,1903,1145,3460,7,-27,-2,
14,12,8,2023,11,33,31,198,1895,1128,3459,4,-30,1,
15,12,8,2023,11,33,31,208,1899,1132,3474,8,-33,-3,
16,12,8,2023,11,33,31,218,1905,1146,3470,12,-35,-1,
17,12,8,2023,11,33,31,228,1921,1143,3458,11,-35,0,
18,12,8,2023,11,33,31,238,1925,1141,3466,4,-31,-1,
19,12,8,2023,11,33,31,248,1920,1146,3468,8,-31,-2,
20,12,8,2023,11,33,31,258,1920,1140,3460,9,-26,4,
21,12,8,2023,11,33,31,268,1928,1135,3462,8,-22,4,
22,12,8,2023,11,33,31,278,1928,1156,3463,5,-18,1,
23,12,8,2023,11,33,31,288,1913,1145,3462,2,-19,3,
24,12,8,2023,11,33,31,298,1916,1131,3463,0,-14,6,
25,12,8,2023,11,33,31,308,1919,1127,3460,6,-9,3,
26,12,8,2023,11,33,31,318,1918,1142,3461,7,-7,0,
27,12,8,2023,11,33,31,328,1930,1147,3461,6,-8,-3,
28,12,8,2023,11,33,31,338,1917,1139,3465,4,-7,-3,
29,12,8,2023,11,33,31,348,1908,1144,3470,2,-4,-2,
30,12,8,2023,11,33,31,358,1911,1151,3470,0,-4,1,
31,12,8,2023,11,33,31,368,1923,1142,3468,-1,-3,1,
32,12,8,2023,11,33,31,378,1930,1137,3460,-3,-5,1,
33,12,8,2023,11,33,31,388,1924,1126,3465,-1,-1,3,
34,12,8,2023,11,33,31,398,1923,1137,3467,2,5,-3,
35,12,8,2023,11,33,31,408,1912,1140,3461,3,11,-3,
36,12,8,2023,11,33,31,418,1903,1137,3467,1,12,-4,
37,12,8,2023,11,33,31,428,1915,1147,3459,-2,9,-3,
38,12,8,2023,11,33,31,438,1917,1153,3463,-3,4,0,
39,12,8,2023,11,33,31,448,1926,1145,3461,-4,3,1,
40,12,8,2023,11,33,31,458,1918,1136,3461,-3,3,2,
41,12,8,2023,11,33,31,468,1917,1127,3466,-5,9,0,
42,12,8,2023,11,33,31,478,1910,1142,3460,-6,11,0,
43,12,8,2023,11,33,31,488,1910,1141,3464,-2,15,-4,
44,12,8,2023,11,33,31,498,1916,1131,3464,1,17,-2,
45,12,8,2023,11,33,31,508,1910,1141,3464,-2,11,-1,
46,12,8,2023,11,33,31,518,1912,1145,3468,-6,12,1,
47,12,8,2023,11,33,31,528,1918,1134,3467,-6,12,2,
48,12,8,2023,11,33,31,538,1913,1134,3467,-5,11,0,
49,12,8,2023,11,33,31,548,1904,1131,3459,-1,10,1,
50,12,8,2023,11,33,31,558,1890,1135,3458,-2,12,-1,
51,12,8,2023,11,33,31,568,1898,1131,3460,-2,8,0,
52,12,8,2023,11,33,31,578,1911,1137,3463,-1,1,3,
53,12,8,2023,11,33,31,588,1905,1138,3468,2,-5,4,
54,12,8,2023,11,33,31,598,1912,1136,3468,0,0,2,
55,12,8,2023,11,33,31,608,1906,1134,3472,0,2,-2,
56,12,8,2023,11,33,31,618,1909,1137,3459,3,1,-2,
57,12,8,2023,11,33,31,628,1901,1136,3461,6,-2,1,
58,12,8,2023,11,33,31,638,1903,1141,3466,4,-3,2,
