Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,18,24,491,-14,-4040,639,232,13,67,
2,12,8,2023,11,18,24,501,-14,-4040,639,232,13,67,
3,12,8,2023,11,18,24,511,-14,-4040,639,232,13,67,
4,12,8,2023,11,18,24,521,-14,-4040,639,232,13,67,
5,12,8,2023,11,18,24,531,-14,-4040,639,232,13,67,
6,12,8,2023,11,18,24,541,-14,-4040,639,232,13,67,
7,12,8,2023,11,18,24,551,1961,1331,3351,-19,-4,27,
8,12,8,2023,11,18,24,561,1971,1334,3354,-9,-12,32,
9,12,8,2023,11,18,24,571,1948,1322,3359,-18,-5,27,
10,12,8,2023,11,18,24,581,1949,1320,3365,-12,-12,20,
11,12,8,2023,11,18,24,591,1968,1315,3359,-7,-28,21,
12,12,8,2023,11,18,24,601,1990,1344,3348,-1,-28,22,
13,12,8,2023,11,18,24,611,2001,1342,3348,-6,-24,14,
14,12,8,2023,11,18,24,621,1990,1345,3352,-6,-13,10,
15,12,8,2023,11,18,24,631,1993,1345,3349,-7,-12,8,
16,12,8,2023,11,18,24,641,1987,1353,3356,-7,-10,6,
17,12,8,2023,11,18,24,651,1978,1352,3355,-5,-3,9,
18,12,8,2023,11,18,24,661,1995,1327,3360,-4,-7,15,
19,12,8,2023,11,18,24,671,1999,1351,3351,-4,-7,8,
20,12,8,2023,11,18,24,681,1986,1356,3353,-2,-1,4,
21,12,8,2023,11,18,24,691,1987,1336,3348,-5,1,9,
22,12,8,2023,11,18,24,701,1984,1343,3354,-7,4,12,
23,12,8,2023,11,18,24,711,1988,1352,3354,-9,4,13,
24,12,8,2023,11,18,24,721,1983,1351,3346,-15,5,14,
25,12,8,2023,11,18,24,731,1955,1323,3358,-12,-1,22,
26,12,8,2023,11,18,24,741,1974,1324,3356,-12,-4,21,
27,12,8,2023,11,18,24,751,1988,1333,3346,-11,-5,20,
28,12,8,2023,11,18,24,761,1982,1307,3342,-12,-4,17,
29,12,8,2023,11,18,24,771,1979,1311,3358,-11,-1,10,
30,12,8,2023,11,18,24,781,1985,1334,3361,-5,-1,9,
31,12,8,2023,11,18,24,791,1992,1340,3349,-7,-1,7,
32,12,8,2023,11,18,24,801,1987,1340,3349,-12,2,9,
