Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,11,8,17,743,87,-4039,586,-1,2,3,
2,12,8,2023,11,8,17,753,87,-4039,586,-1,2,3,
3,12,8,2023,11,8,17,763,87,-4039,586,-1,2,3,
4,12,8,2023,11,8,17,773,87,-4039,586,-1,2,3,
5,12,8,2023,11,8,17,783,87,-4039,586,-1,2,3,
6,12,8,2023,11,8,17,793,87,-4039,586,-1,2,3,
7,12,8,2023,11,8,17,803,2068,785,3474,-4,-12,1,
8,12,8,2023,11,8,17,813,2075,789,3468,-9,-5,13,
9,12,8,2023,11,8,17,823,2070,794,3463,1,-2,5,
10,12,8,2023,11,8,17,833,2070,787,3470,-2,-3,-1,
11,12,8,2023,11,8,17,843,2079,782,3464,-2,2,-4,
12,12,8,2023,11,8,17,853,2075,782,3465,-1,2,-3,
13,12,8,2023,11,8,17,863,2070,791,3468,0,-2,1,
14,12,8,2023,11,8,17,873,2080,802,3465,3,-5,0,
15,12,8,2023,11,8,17,883,2075,797,3462,3,-3,-1,
16,12,8,2023,11,8,17,893,2068,790,3472,2,-3,3,
17,12,8,2023,11,8,17,903,2073,797,3466,2,-6,2,
18,12,8,2023,11,8,17,913,2077,793,3464,3,-3,1,
19,12,8,2023,11,8,17,923,2077,792,3457,0,-1,0,
20,12,8,2023,11,8,17,933,2075,793,3468,0,-1,0,
21,12,8,2023,11,8,17,943,2072,793,3467,1,2,-4,
22,12,8,2023,11,8,17,953,2070,802,3472,0,2,-3,
23,12,8,2023,11,8,17,963,2071,793,3470,0,0,-1,
24,12,8,2023,11,8,17,973,2067,789,3461,-2,2,-3,
25,12,8,2023,11,8,17,983,2075,797,3469,-1,1,-2,
26,12,8,2023,11,8,17,993,2075,791,3469,-2,2,-2,
27,12,8,2023,11,8,18,3,2072,796,3472,1,1,-3,
28,12,8,2023,11,8,18,13,2081,804,3474,1,2,-1,
29,12,8,2023,11,8,18,23,2078,800,3477,0,0,-1,
30,12,8,2023,11,8,18,33,2070,804,3467,-1,3,0,
31,12,8,2023,11,8,18,43,2073,801,3458,-2,2,2,
32,12,8,2023,11,8,18,53,2073,795,3471,-2,5,-3,
33,12,8,2023,11,8,18,63,2071,800,3469,-1,2,-2,
34,12,8,2023,11,8,18,73,2079,794,3467,0,5,0,
35,12,8,2023,11,8,18,83,2095,802,3476,0,8,0,
36,12,8,2023,11,8,18,93,2076,793,3458,0,9,-1,
37,12,8,2023,11,8,18,103,2040,787,3469,0,8,0,
38,12,8,2023,11,8,18,113,2080,789,3467,3,-2,1,
39,12,8,2023,11,8,18,123,2064,806,3469,1,2,2,
40,12,8,2023,11,8,18,133,2076,795,3475,2,-1,3,
