Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,,38.115,,15.645,,7.67,,96.16,,3.84,,0.33,,98.67,,1.00,,,,0.082,,0.033,,638.4,,,,-0.9,,9.17,,-33.20,,0.037,,550.72,,0.165,,,,,,
4,42.745,39.280,4.640,1.165,25.86,103.00,88.69,61.80,11.31,38.20,1.22,6.94,94.78,77.08,4.01,15.97,73.62,73.62,0.771,0.050,0.187,0.073,149.8,664.1,,,-2.2,1.3,9.52,0.92,-30.90,-34.63,0.038,0.047,115.66,445.84,0.187,0.165,,,,,,
5,47.740,44.000,4.995,4.720,24.02,25.42,92.59,84.75,7.41,15.25,1.08,1.25,96.86,92.75,2.05,6.00,83.33,83.33,0.325,0.857,0.101,0.218,143.8,225.1,,,1.8,-0.0,8.97,7.84,-13.98,-62.01,-0.020,-0.174,111.05,151.67,0.055,0.482,,,,,,
6,49.190,48.500,1.450,4.500,82.76,26.67,62.07,91.56,37.93,8.44,5.56,1.21,78.89,93.45,15.56,5.34,30.30,30.30,1.049,0.463,0.753,0.167,305.6,254.3,,,-1.8,5.3,26.70,23.44,-52.58,-21.32,0.023,-0.026,108.57,122.48,0.248,0.119,,,,,,
7,50.435,49.820,1.245,1.320,96.39,90.91,64.26,71.97,35.74,28.03,8.12,6.84,70.00,65.26,21.88,27.89,29.87,29.87,0.996,0.850,0.849,0.739,339.2,364.6,2.984,2.996,3.5,-1.5,28.37,20.83,-46.45,-57.96,0.073,0.047,111.82,110.89,0.239,0.275,0.048,0.037,0.035,0.027,0.219,0.141
8,51.580,50.975,1.145,1.155,104.80,103.90,58.95,68.40,41.05,31.60,14.81,6.96,59.26,65.19,25.93,27.85,27.39,27.39,0.962,0.992,0.897,0.859,285.2,399.6,2.845,3.504,-2.5,6.3,26.37,24.02,-44.92,-63.52,0.098,-0.104,113.81,115.72,0.218,0.299,0.031,0.046,0.027,0.031,0.205,0.174
9,52.745,52.180,1.165,1.205,103.00,99.59,65.67,66.39,34.33,33.61,11.76,8.75,56.86,60.00,31.37,31.25,29.06,29.06,1.157,1.014,1.018,0.910,366.6,439.4,3.495,3.518,0.3,-7.4,22.26,28.12,-66.67,-64.78,-0.026,-0.025,105.94,108.91,0.294,0.313,0.033,0.056,0.001,0.039,0.170,0.203
10,53.965,53.350,1.220,1.170,98.36,102.56,66.39,63.25,33.61,36.75,9.88,6.76,64.20,62.84,25.93,30.41,32.10,32.10,0.964,1.037,0.850,0.879,350.3,337.0,3.212,3.060,-0.5,-1.0,23.13,28.25,-63.35,-57.79,0.034,0.019,112.84,106.72,0.291,0.272,0.046,0.034,0.009,0.010,0.179,0.177
11,55.190,54.565,1.225,1.215,97.96,98.77,64.08,65.84,35.92,34.16,9.55,11.25,62.42,60.00,28.03,28.75,33.76,33.76,1.011,1.008,0.856,0.837,336.4,372.6,3.125,3.136,3.6,4.1,19.89,28.01,-64.34,-64.26,-0.019,-0.057,107.73,113.37,0.288,0.297,0.038,0.044,0.001,0.026,0.158,0.210
12,56.385,55.750,1.195,1.185,100.42,101.27,57.74,70.89,42.26,29.11,7.25,8.93,73.91,64.88,18.84,26.19,26.21,26.21,1.019,0.891,0.880,0.785,290.8,362.0,3.015,,2.0,1.6,22.86,22.67,-46.35,-58.84,-0.055,0.054,110.36,111.94,0.239,0.248,0.046,,0.029,,0.187,
13,57.595,56.990,1.210,1.240,99.17,96.77,64.46,66.94,35.54,33.06,10.90,8.43,60.90,62.05,28.21,29.52,31.56,31.56,1.102,1.108,0.992,0.966,360.2,355.1,3.465,3.390,-4.2,-2.4,23.59,27.67,-66.57,-63.89,0.063,0.039,112.04,111.60,0.326,0.303,0.073,0.050,0.020,0.027,0.188,0.202
14,58.815,58.210,1.220,1.220,98.36,98.36,65.57,66.80,34.43,33.20,10.00,9.20,61.25,59.51,28.75,31.29,33.88,33.88,1.176,1.079,0.932,0.971,370.9,366.2,3.554,3.297,1.0,-2.2,22.63,30.11,-73.27,-67.34,0.039,-0.062,108.19,112.77,0.328,0.308,0.054,0.045,0.001,0.031,0.178,0.228
15,60.065,59.420,1.250,1.210,96.00,99.17,64.00,68.60,36.00,31.40,10.00,7.83,65.62,63.25,24.38,28.92,30.56,30.56,1.080,1.047,0.945,0.929,316.5,388.5,3.071,3.244,1.9,3.8,22.87,23.58,-58.41,-68.60,0.045,-0.009,108.34,106.85,0.288,0.315,0.058,0.050,0.016,0.031,0.176,0.180
16,61.310,60.680,1.245,1.260,96.39,95.24,64.26,66.27,35.74,33.73,10.62,5.99,61.25,65.27,28.12,28.74,31.05,31.05,1.203,1.007,0.986,0.839,339.4,343.1,3.462,3.203,0.2,-2.2,22.49,26.86,-68.24,-67.98,0.030,-0.056,104.40,116.56,0.327,0.336,0.065,0.071,0.014,0.029,0.168,0.185
