Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,29.425,26.720,3.725,3.320,32.21,36.14,88.32,78.46,11.68,21.54,1.52,1.92,92.55,88.29,5.93,9.79,72.80,72.80,0.610,0.910,0.226,0.283,219.0,296.7,,,11.4,-1.0,16.49,14.92,-35.26,-66.00,-0.017,-0.113,109.75,131.67,0.128,0.347,,,,,,
4,30.905,30.250,1.480,3.530,81.08,33.99,73.99,85.13,26.01,14.87,4.57,1.66,68.95,90.52,26.48,7.82,35.08,35.08,0.809,0.717,0.631,0.287,360.8,216.7,2.511,,12.2,3.8,26.66,19.41,-61.87,-37.68,-0.044,-0.016,115.59,111.68,0.270,0.186,0.034,,0.032,,0.194,
5,32.120,31.490,1.215,1.240,98.77,96.77,65.84,66.13,34.16,33.87,10.00,7.93,57.50,65.85,32.50,26.22,32.39,32.39,1.064,1.035,0.877,0.798,350.8,305.3,3.063,3.139,0.7,1.1,24.67,23.04,-67.44,-54.30,0.025,-0.051,108.09,109.30,0.304,0.283,0.052,0.062,0.038,0.031,0.199,0.163
6,33.285,32.725,1.165,1.235,103.00,97.17,69.10,65.99,30.90,34.01,12.42,9.20,57.76,63.80,29.81,26.99,33.61,33.61,1.139,0.947,0.969,0.816,399.2,323.8,3.382,2.977,-1.2,-1.4,27.16,22.34,-66.57,-56.03,0.036,0.017,105.65,111.47,0.296,0.274,0.040,0.062,0.025,0.044,0.189,0.198
7,34.530,33.915,1.245,1.190,96.39,100.84,66.67,63.87,33.33,36.13,14.46,9.21,55.42,62.50,30.12,28.29,29.92,29.92,1.252,0.964,1.001,0.872,382.8,361.6,3.457,3.213,-2.2,2.1,23.97,27.22,-68.55,-60.50,0.026,0.033,104.65,121.37,0.285,0.319,0.027,0.079,0.015,0.050,0.186,0.223
8,35.755,35.135,1.225,1.220,97.96,98.36,66.12,63.93,33.88,36.07,9.88,7.69,59.26,66.67,30.86,25.64,31.56,31.56,1.264,1.022,1.083,0.865,380.7,329.7,3.519,2.994,1.2,-0.8,25.23,27.86,-68.51,-53.01,0.021,-0.034,104.96,108.13,0.288,0.240,0.034,0.021,0.011,,0.183,0.182
9,36.975,36.355,1.220,1.220,98.36,98.36,67.21,65.57,32.79,34.43,9.15,9.38,60.98,63.75,29.88,26.88,30.49,30.49,1.012,1.003,0.818,0.820,389.1,347.9,3.063,3.159,-0.5,-1.0,28.10,25.60,-67.05,-61.28,0.030,-0.011,108.38,111.20,0.291,0.287,0.036,0.049,0.022,0.028,0.203,0.198
10,38.160,37.585,1.185,1.230,101.27,97.56,68.78,63.01,31.22,36.99,13.50,10.32,57.06,64.52,29.45,25.16,33.89,33.89,1.076,0.947,0.916,0.848,371.4,301.6,3.271,2.872,-1.2,1.3,25.51,22.54,-64.80,-51.75,0.016,-0.024,108.10,112.31,0.313,0.264,0.065,0.051,0.044,0.024,0.198,0.167
11,39.395,38.780,1.235,1.195,97.17,100.42,66.80,64.85,33.20,35.15,13.94,10.32,55.76,63.23,30.30,26.45,32.20,32.20,1.120,1.092,0.956,0.910,387.0,329.0,3.358,3.302,2.6,-1.6,27.84,25.15,-67.36,-59.78,0.033,-0.050,106.72,110.88,0.299,0.298,0.042,0.061,0.023,0.026,0.196,0.198
12,40.610,39.960,1.215,1.180,98.77,101.69,66.26,66.95,33.74,33.05,9.94,10.13,59.01,62.03,31.06,27.85,31.05,31.05,0.863,1.124,0.818,0.947,387.6,328.6,2.914,3.264,-2.8,-1.3,25.99,24.74,-69.12,-59.91,-0.038,-0.033,122.49,106.40,0.291,0.289,0.031,0.051,0.018,0.004,0.202,0.158
