Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,14,32,22,191,-9,-4138,78,154,-52,146,
2,12,12,2023,14,32,22,201,-9,-4138,78,154,-52,146,
3,12,12,2023,14,32,22,211,-9,-4138,78,154,-52,146,
4,12,12,2023,14,32,22,221,-9,-4138,78,154,-52,146,
5,12,12,2023,14,32,22,231,-9,-4138,78,154,-52,146,
6,12,12,2023,14,32,22,241,-9,-4138,78,154,-52,146,
7,12,12,2023,14,32,22,251,1396,2325,3045,-4,12,-5,
8,12,12,2023,14,32,22,261,1390,2317,3048,6,4,8,
9,12,12,2023,14,32,22,271,1398,2323,3048,-8,7,-10,
10,12,12,2023,14,32,22,281,1398,2325,3043,-2,6,-11,
11,12,12,2023,14,32,22,291,1394,2322,3051,1,3,-7,
12,12,12,2023,14,32,22,301,1398,2319,3049,2,2,-7,
13,12,12,2023,14,32,22,311,1398,2321,3050,-1,7,-9,
14,12,12,2023,14,32,22,321,1400,2320,3052,0,6,-8,
15,12,12,2023,14,32,22,331,1401,2326,3045,3,6,-9,
16,12,12,2023,14,32,22,341,1392,2322,3049,1,4,-7,
17,12,12,2023,14,32,22,351,1395,2327,3050,-2,5,-8,
18,12,12,2023,14,32,22,361,1399,2320,3046,-2,8,-11,
19,12,12,2023,14,32,22,371,1399,2321,3051,-3,7,-12,
20,12,12,2023,14,32,22,381,1393,2323,3050,0,7,-9,
21,12,12,2023,14,32,22,391,1398,2318,3043,0,8,-7,
22,12,12,2023,14,32,22,401,1396,2323,3047,1,5,-9,
23,12,12,2023,14,32,22,411,1397,2327,3045,2,4,-10,
24,12,12,2023,14,32,22,421,1394,2318,3040,0,7,-11,
25,12,12,2023,14,32,22,431,1390,2321,3053,0,7,-10,
26,12,12,2023,14,32,22,441,1395,2324,3049,0,7,-9,
27,12,12,2023,14,32,22,451,1399,2322,3045,-4,5,-9,
28,12,12,2023,14,32,22,461,1393,2329,3051,-5,3,-10,
29,12,12,2023,14,32,22,471,1395,2330,3050,-2,3,-9,
30,12,12,2023,14,32,22,481,1394,2321,3046,0,5,-9,
31,12,12,2023,14,32,22,491,1405,2326,3046,-1,6,-7,
32,12,12,2023,14,32,22,501,1401,2323,3047,-1,5,-10,
33,12,12,2023,14,32,22,511,1394,2328,3039,-3,4,-10,
34,12,12,2023,14,32,22,521,1395,2327,3047,-5,9,-9,
35,12,12,2023,14,32,22,531,1400,2326,3047,-7,8,-6,
36,12,12,2023,14,32,22,541,1396,2325,3051,0,7,-7,
37,12,12,2023,14,32,22,551,1392,2331,3048,-2,5,-11,
38,12,12,2023,14,32,22,561,1389,2326,3057,-2,6,-7,
39,12,12,2023,14,32,22,571,1390,2329,3051,-4,5,-8,
40,12,12,2023,14,32,22,581,1400,2325,3045,-3,4,-7,
41,12,12,2023,14,32,22,591,1395,2325,3045,-4,4,-9,
42,12,12,2023,14,32,22,601,1395,2324,3049,-8,7,-8,
43,12,12,2023,14,32,22,611,1400,2327,3044,-7,6,-6,
44,12,12,2023,14,32,22,621,1395,2327,3051,-6,4,-11,
45,12,12,2023,14,32,22,631,1400,2318,3051,-5,5,-8,
46,12,12,2023,14,32,22,641,1402,2325,3044,-9,5,-10,
47,12,12,2023,14,32,22,651,1394,2323,3047,-7,7,-8,
48,12,12,2023,14,32,22,661,1393,2328,3051,-4,2,-4,
49,12,12,2023,14,32,22,671,1396,2322,3050,-3,0,-6,
50,12,12,2023,14,32,22,681,1394,2325,3047,-4,3,-6,
51,12,12,2023,14,32,22,691,1395,2323,3049,-7,6,-4,
52,12,12,2023,14,32,22,701,1395,2324,3051,-9,6,-6,
53,12,12,2023,14,32,22,711,1399,2326,3046,-7,7,-7,
54,12,12,2023,14,32,22,721,1394,2329,3051,-6,6,-6,
55,12,12,2023,14,32,22,731,1396,2327,3050,-8,7,-4,
56,12,12,2023,14,32,22,741,1401,2327,3038,-10,7,-5,
57,12,12,2023,14,32,22,751,1400,2325,3043,-7,6,-6,
58,12,12,2023,14,32,22,761,1393,2326,3049,-8,6,-3,
59,12,12,2023,14,32,22,771,1403,2324,3045,-9,4,-6,
60,12,12,2023,14,32,22,781,1401,2324,3050,-10,7,-8,
61,12,12,2023,14,32,22,791,1394,2324,3051,-7,4,-6,
62,12,12,2023,14,32,22,801,1392,2323,3047,-10,5,-7,
63,12,12,2023,14,32,22,811,1392,2322,3049,-8,5,-6,
64,12,12,2023,14,32,22,821,1391,2330,3043,-8,4,-5,
65,12,12,2023,14,32,22,831,1393,2328,3049,-6,4,-5,
66,12,12,2023,14,32,22,841,1402,2325,3053,-8,6,-7,
67,12,12,2023,14,32,22,851,1403,2325,3047,-9,5,-6,
68,12,12,2023,14,32,22,861,1390,2325,3043,-10,3,-2,
69,12,12,2023,14,32,22,871,1395,2330,3053,-9,4,-6,
70,12,12,2023,14,32,22,881,1403,2324,3054,-10,5,-4,
71,12,12,2023,14,32,22,891,1394,2329,3052,-10,4,-3,
72,12,12,2023,14,32,22,901,1394,2324,3055,-9,6,-4,
73,12,12,2023,14,32,22,911,1395,2324,3053,-13,2,-4,
74,12,12,2023,14,32,22,921,1395,2317,3045,-13,3,-6,
75,12,12,2023,14,32,22,931,1396,2320,3047,-14,8,-6,
76,12,12,2023,14,32,22,941,1395,2330,3056,-12,7,-3,
77,12,12,2023,14,32,22,951,1399,2324,3059,-10,3,-4,
78,12,12,2023,14,32,22,961,1395,2317,3048,-6,5,-8,
79,12,12,2023,14,32,22,971,1393,2317,3048,-2,5,-7,
80,12,12,2023,14,32,22,981,1396,2327,3049,0,4,-6,
81,12,12,2023,14,32,22,991,1391,2324,3053,-1,6,-7,
82,12,12,2023,14,32,23,1,1394,2323,3055,0,7,-7,
83,12,12,2023,14,32,23,11,1396,2330,3043,1,3,-4,
84,12,12,2023,14,32,23,21,1392,2326,3046,-3,5,-5,
85,12,12,2023,14,32,23,31,1397,2328,3045,-4,8,-8,
86,12,12,2023,14,32,23,51,1402,2326,3052,-4,7,-8,
87,12,12,2023,14,32,23,61,1388,2324,3052,-3,6,-8,
88,12,12,2023,14,32,23,71,1390,2321,3053,-5,8,-6,
89,12,12,2023,14,32,23,81,1390,2324,3050,-3,7,-3,
90,12,12,2023,14,32,23,91,1394,2323,3044,-8,7,-3,
91,12,12,2023,14,32,23,101,1390,2329,3046,-6,5,-4,
92,12,12,2023,14,32,23,111,1395,2322,3047,-7,7,-7,
93,12,12,2023,14,32,23,121,1402,2318,3050,-7,7,-4,
94,12,12,2023,14,32,23,131,1397,2323,3051,-5,4,-5,
95,12,12,2023,14,32,23,141,1393,2329,3048,-6,3,-6,
96,12,12,2023,14,32,23,151,1401,2325,3048,-6,2,-5,
97,12,12,2023,14,32,23,161,1396,2323,3046,-10,4,-4,
98,12,12,2023,14,32,23,171,1391,2324,3053,-12,5,-5,
99,12,12,2023,14,32,23,181,1389,2318,3050,-11,3,-5,
100,12,12,2023,14,32,23,191,1395,2322,3054,-12,2,-2,
101,12,12,2023,14,32,23,201,1400,2322,3056,-12,5,-4,
102,12,12,2023,14,32,23,211,1390,2318,3053,-12,8,-4,
103,12,12,2023,14,32,23,221,1391,2323,3053,-14,5,-5,
104,12,12,2023,14,32,23,231,1391,2323,3046,-14,1,-5,
105,12,12,2023,14,32,23,241,1396,2321,3050,-16,1,-1,
106,12,12,2023,14,32,23,251,1396,2323,3050,-14,2,-3,
107,12,12,2023,14,32,23,261,1397,2320,3046,-19,1,-6,
108,12,12,2023,14,32,23,271,1396,2321,3045,-16,3,-1,
109,12,12,2023,14,32,23,281,1400,2316,3055,-16,1,-4,
110,12,12,2023,14,32,23,291,1393,2318,3054,-17,-1,-4,
111,12,12,2023,14,32,23,301,1390,2318,3051,-15,0,-1,
112,12,12,2023,14,32,23,311,1396,2320,3049,-12,1,-4,
113,12,12,2023,14,32,23,321,1398,2316,3049,-12,3,-4,
114,12,12,2023,14,32,23,331,1404,2318,3053,-12,0,-4,
115,12,12,2023,14,32,23,341,1395,2319,3062,-14,-1,-5,
116,12,12,2023,14,32,23,351,1394,2321,3047,-12,3,-4,
117,12,12,2023,14,32,23,361,1401,2324,3051,-11,2,-1,
118,12,12,2023,14,32,23,371,1397,2316,3049,-12,1,-4,
119,12,12,2023,14,32,23,381,1399,2317,3059,-10,2,-6,
120,12,12,2023,14,32,23,391,1394,2322,3054,-8,4,-6,
121,12,12,2023,14,32,23,401,1396,2318,3051,-6,3,-5,
122,12,12,2023,14,32,23,411,1393,2321,3055,-9,3,-6,
123,12,12,2023,14,32,23,421,1395,2322,3053,-9,3,-5,
124,12,12,2023,14,32,23,431,1396,2312,3049,-9,4,-6,
125,12,12,2023,14,32,23,441,1397,2320,3046,-5,4,-6,
126,12,12,2023,14,32,23,451,1400,2325,3049,-8,3,-4,
127,12,12,2023,14,32,23,461,1401,2317,3060,-9,4,-5,
128,12,12,2023,14,32,23,471,1397,2321,3051,-7,2,-7,
129,12,12,2023,14,32,23,481,1402,2324,3049,-2,3,-6,
130,12,12,2023,14,32,23,491,1396,2315,3053,-6,6,-3,
131,12,12,2023,14,32,23,501,1388,2323,3051,-5,8,-7,
132,12,12,2023,14,32,23,511,1400,2329,3049,-3,5,-5,
133,12,12,2023,14,32,23,521,1397,2320,3058,-5,7,-5,
134,12,12,2023,14,32,23,531,1395,2319,3054,-5,6,-6,
135,12,12,2023,14,32,23,541,1404,2318,3054,0,2,-5,
136,12,12,2023,14,32,23,551,1401,2317,3054,-3,4,-6,
137,12,12,2023,14,32,23,561,1400,2320,3053,-4,7,-8,
138,12,12,2023,14,32,23,571,1402,2328,3048,-6,3,-5,
139,12,12,2023,14,32,23,581,1398,2317,3053,-7,4,-6,
140,12,12,2023,14,32,23,591,1402,2322,3057,-7,6,-9,
141,12,12,2023,14,32,23,601,1392,2320,3050,-6,3,-3,
142,12,12,2023,14,32,23,611,1398,2316,3047,-7,4,-2,
143,12,12,2023,14,32,23,621,1394,2313,3050,-8,7,-6,
144,12,12,2023,14,32,23,631,1396,2321,3055,-7,6,-5,
145,12,12,2023,14,32,23,641,1400,2321,3048,-9,3,-5,
146,12,12,2023,14,32,23,651,1396,2321,3051,-10,3,-7,
147,12,12,2023,14,32,23,661,1395,2322,3046,-6,4,-7,
148,12,12,2023,14,32,23,671,1395,2328,3042,-8,2,-5,
149,12,12,2023,14,32,23,681,1401,2323,3050,-11,4,-7,
150,12,12,2023,14,32,23,691,1398,2322,3056,-7,2,-2,
151,12,12,2023,14,32,23,701,1398,2320,3052,-7,3,-2,
152,12,12,2023,14,32,23,711,1396,2318,3051,-10,4,-6,
153,12,12,2023,14,32,23,721,1394,2320,3047,-9,6,-6,
154,12,12,2023,14,32,23,731,1396,2320,3057,-8,5,-6,
155,12,12,2023,14,32,23,741,1397,2319,3053,-7,3,-5,
156,12,12,2023,14,32,23,751,1395,2326,3053,-8,4,-5,
157,12,12,2023,14,32,23,761,1393,2328,3051,-8,5,-5,
158,12,12,2023,14,32,23,771,1399,2320,3051,-11,3,-5,
159,12,12,2023,14,32,23,781,1393,2320,3053,-7,3,-4,
160,12,12,2023,14,32,23,791,1393,2316,3053,-11,6,-6,
161,12,12,2023,14,32,23,801,1399,2312,3051,-7,3,-5,
162,12,12,2023,14,32,23,811,1398,2318,3056,-9,4,-3,
163,12,12,2023,14,32,23,821,1395,2322,3048,-7,5,-6,
164,12,12,2023,14,32,23,831,1391,2323,3050,-4,4,-8,
165,12,12,2023,14,32,23,841,1401,2321,3050,-8,7,-7,
166,12,12,2023,14,32,23,851,1396,2319,3051,-9,5,-7,
167,12,12,2023,14,32,23,861,1404,2316,3050,-9,4,-4,
168,12,12,2023,14,32,23,871,1402,2319,3052,-8,1,-4,
169,12,12,2023,14,32,23,881,1404,2321,3051,-9,5,-5,
170,12,12,2023,14,32,23,891,1402,2317,3056,-11,5,-5,
171,12,12,2023,14,32,23,911,1395,2322,3053,-10,5,-5,
172,12,12,2023,14,32,23,921,1401,2319,3047,-12,3,0,
173,12,12,2023,14,32,23,931,1400,2318,3044,-12,5,-2,
174,12,12,2023,14,32,23,941,1399,2319,3050,-12,4,-4,
175,12,12,2023,14,32,23,951,1401,2318,3059,-10,4,-3,
176,12,12,2023,14,32,23,961,1396,2317,3046,-9,4,-2,
177,12,12,2023,14,32,23,971,1396,2320,3052,-13,6,-2,
178,12,12,2023,14,32,23,981,1400,2316,3053,-11,1,-1,
179,12,12,2023,14,32,23,991,1403,2316,3051,-11,3,-3,
180,12,12,2023,14,32,24,1,1399,2325,3055,-13,4,-2,
181,12,12,2023,14,32,24,11,1389,2326,3058,-9,3,-5,
182,12,12,2023,14,32,24,21,1395,2315,3064,-7,3,-7,
183,12,12,2023,14,32,24,31,1396,2318,3060,-8,4,-4,
184,12,12,2023,14,32,24,41,1393,2314,3050,-10,4,-6,
185,12,12,2023,14,32,24,51,1397,2315,3050,-11,3,-8,
186,12,12,2023,14,32,24,61,1399,2312,3055,-12,2,-7,
187,12,12,2023,14,32,24,71,1397,2310,3051,-8,6,-6,
188,12,12,2023,14,32,24,81,1395,2313,3054,-5,4,-3,
189,12,12,2023,14,32,24,91,1397,2314,3053,-3,4,-9,
190,12,12,2023,14,32,24,101,1399,2316,3052,-7,6,-9,
191,12,12,2023,14,32,24,111,1404,2320,3054,-5,6,-8,
192,12,12,2023,14,32,24,121,1401,2321,3052,-5,5,-8,
193,12,12,2023,14,32,24,131,1396,2321,3055,-5,4,-7,
194,12,12,2023,14,32,24,141,1398,2318,3058,-4,1,-6,
195,12,12,2023,14,32,24,151,1403,2317,3055,-2,3,-7,
196,12,12,2023,14,32,24,161,1398,2315,3051,-3,5,-9,
197,12,12,2023,14,32,24,171,1403,2317,3054,-4,8,-8,
198,12,12,2023,14,32,24,181,1396,2315,3052,0,4,-10,
199,12,12,2023,14,32,24,191,1395,2321,3051,-2,6,-6,
200,12,12,2023,14,32,24,201,1396,2316,3048,-2,1,-6,
201,12,12,2023,14,32,24,211,1402,2316,3047,-4,5,-7,
202,12,12,2023,14,32,24,221,1389,2314,3049,-6,6,-12,
203,12,12,2023,14,32,24,231,1395,2317,3054,-9,7,-8,
204,12,12,2023,14,32,24,241,1401,2322,3056,-7,7,-10,
205,12,12,2023,14,32,24,251,1399,2318,3055,-8,8,-8,
206,12,12,2023,14,32,24,261,1397,2319,3053,-7,2,-7,
207,12,12,2023,14,32,24,271,1392,2319,3054,-7,3,-8,
208,12,12,2023,14,32,24,281,1398,2314,3052,-7,5,-7,
209,12,12,2023,14,32,24,291,1404,2321,3048,-7,3,-8,
210,12,12,2023,14,32,24,301,1399,2323,3050,-3,4,-8,
211,12,12,2023,14,32,24,311,1398,2321,3052,-3,6,-7,
212,12,12,2023,14,32,24,321,1402,2315,3057,-5,6,-8,
213,12,12,2023,14,32,24,331,1398,2308,3053,-4,9,-5,
214,12,12,2023,14,32,24,341,1395,2314,3049,-4,10,-7,
215,12,12,2023,14,32,24,351,1395,2314,3051,-5,8,-6,
216,12,12,2023,14,32,24,361,1401,2311,3055,-6,7,-5,
217,12,12,2023,14,32,24,371,1399,2316,3054,-8,6,-7,
218,12,12,2023,14,32,24,381,1394,2318,3054,-6,4,-9,
219,12,12,2023,14,32,24,391,1394,2318,3054,-8,7,-7,
220,12,12,2023,14,32,24,401,1399,2319,3052,-10,8,-11,
221,12,12,2023,14,32,24,411,1398,2317,3054,-5,3,-9,
222,12,12,2023,14,32,24,421,1396,2315,3054,-6,3,-6,
223,12,12,2023,14,32,24,431,1391,2320,3052,-3,4,-6,
224,12,12,2023,14,32,24,441,1401,2311,3060,-6,4,-6,
225,12,12,2023,14,32,24,451,1401,2312,3054,-7,5,-8,
226,12,12,2023,14,32,24,461,1397,2312,3045,-4,5,-7,
227,12,12,2023,14,32,24,471,1398,2323,3055,-5,4,-6,
228,12,12,2023,14,32,24,481,1392,2317,3052,-3,6,-6,
229,12,12,2023,14,32,24,491,1395,2320,3051,-3,4,-9,
230,12,12,2023,14,32,24,501,1400,2316,3053,-2,2,-6,
231,12,12,2023,14,32,24,511,1399,2319,3048,-5,4,-8,
232,12,12,2023,14,32,24,521,1400,2321,3050,-2,6,-6,
233,12,12,2023,14,32,24,531,1401,2315,3054,-1,7,-7,
234,12,12,2023,14,32,24,541,1392,2318,3056,-4,5,-9,
235,12,12,2023,14,32,24,551,1397,2324,3049,-3,5,-10,
236,12,12,2023,14,32,24,561,1395,2321,3058,-1,5,-10,
237,12,12,2023,14,32,24,571,1403,2321,3051,0,5,-9,
238,12,12,2023,14,32,24,581,1400,2321,3051,-1,5,-7,
239,12,12,2023,14,32,24,591,1400,2321,3053,-7,3,-9,
240,12,12,2023,14,32,24,601,1400,2322,3048,-4,6,-9,
241,12,12,2023,14,32,24,611,1393,2314,3053,-3,7,-7,
242,12,12,2023,14,32,24,621,1399,2314,3054,-4,4,-8,
243,12,12,2023,14,32,24,631,1391,2322,3057,-3,3,-8,
244,12,12,2023,14,32,24,641,1393,2317,3054,-4,6,-7,
245,12,12,2023,14,32,24,651,1399,2322,3058,-2,6,-9,
246,12,12,2023,14,32,24,661,1403,2318,3057,-3,4,-11,
247,12,12,2023,14,32,24,671,1402,2316,3056,-2,4,-10,
248,12,12,2023,14,32,24,681,1401,2321,3050,-5,6,-8,
249,12,12,2023,14,32,24,691,1352,2375,3003,-161,-34,37,
250,12,12,2023,14,32,24,701,1319,2203,3135,-193,-96,15,
251,12,12,2023,14,32,24,711,1242,2387,3002,68,-118,320,
252,12,12,2023,14,32,24,721,1753,2292,3030,-33,-95,351,
253,12,12,2023,14,32,24,731,1412,2312,3092,-173,30,-82,
254,12,12,2023,14,32,24,741,1322,2249,3106,5,92,-53,
255,12,12,2023,14,32,24,751,1470,2375,3016,-8,-42,21,
256,12,12,2023,14,32,24,771,1367,2306,3047,-20,-3,-43,
257,12,12,2023,14,32,24,781,1413,2283,3076,-30,-3,-2,
258,12,12,2023,14,32,24,791,1392,2300,3064,23,36,13,
259,12,12,2023,14,32,24,801,1424,2388,3011,19,5,26,
260,12,12,2023,14,32,24,811,1398,2227,3113,-3,3,10,
261,12,12,2023,14,32,24,821,1432,2359,3018,54,-6,17,
262,12,12,2023,14,32,24,831,1429,2301,3061,14,-4,-19,
263,12,12,2023,14,32,24,841,1377,2256,3089,5,5,-35,
264,12,12,2023,14,32,24,851,1428,2335,3014,17,-15,-20,
265,12,12,2023,14,32,24,861,1420,2322,3043,-12,-11,-31,
266,12,12,2023,14,32,24,871,1337,2185,3121,-19,-8,-21,
267,12,12,2023,14,32,24,881,1461,2466,2985,10,-54,42,
