Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,14,46,9,931,0,0,0,0,0,0,
2,12,12,2023,14,46,9,941,0,0,0,0,0,0,
3,12,12,2023,14,46,9,951,0,0,0,0,0,0,
4,12,12,2023,14,46,9,961,0,0,0,0,0,0,
5,12,12,2023,14,46,9,971,0,0,0,0,0,0,
6,12,12,2023,14,46,9,981,0,0,0,0,0,0,
7,12,12,2023,14,46,9,991,1591,2285,3011,8,-6,10,
8,12,12,2023,14,46,10,1,1589,2294,3008,7,1,9,
9,12,12,2023,14,46,10,11,1588,2291,3012,1,-8,0,
10,12,12,2023,14,46,10,21,1597,2286,3004,1,-8,0,
11,12,12,2023,14,46,10,31,1598,2287,3008,5,-7,3,
12,12,12,2023,14,46,10,41,1585,2298,3009,3,-10,1,
13,12,12,2023,14,46,10,51,1592,2297,3005,-1,-9,-2,
14,12,12,2023,14,46,10,61,1590,2292,3005,2,-8,-1,
15,12,12,2023,14,46,10,71,1590,2294,3003,3,-8,1,
16,12,12,2023,14,46,10,81,1587,2292,3009,1,-5,0,
17,12,12,2023,14,46,10,91,1591,2289,3005,1,-7,-2,
18,12,12,2023,14,46,10,101,1589,2299,3008,-1,-5,-6,
19,12,12,2023,14,46,10,111,1588,2292,3009,0,-4,-5,
20,12,12,2023,14,46,10,121,1595,2294,3012,2,-7,3,
21,12,12,2023,14,46,10,131,1595,2294,3012,1,-8,1,
22,12,12,2023,14,46,10,141,1593,2294,3007,0,-7,3,
23,12,12,2023,14,46,10,151,1592,2297,3005,-1,-5,4,
24,12,12,2023,14,46,10,161,1594,2292,3012,1,-5,0,
25,12,12,2023,14,46,10,171,1592,2291,3010,0,-6,-1,
26,12,12,2023,14,46,10,181,1595,2295,3012,-2,-5,-1,
27,12,12,2023,14,46,10,191,1595,2290,3006,-3,-6,4,
28,12,12,2023,14,46,10,201,1588,2288,3007,-2,-6,6,
29,12,12,2023,14,46,10,211,1584,2296,3009,-2,-7,1,
30,12,12,2023,14,46,10,221,1588,2291,3008,0,-2,-4,
31,12,12,2023,14,46,10,231,1593,2287,3007,-1,-2,0,
32,12,12,2023,14,46,10,241,1592,2294,3009,-1,-6,-1,
33,12,12,2023,14,46,10,251,1590,2292,3011,4,-7,-4,
34,12,12,2023,14,46,10,261,1595,2295,3009,1,-7,-5,
35,12,12,2023,14,46,10,271,1589,2300,3002,0,-8,2,
36,12,12,2023,14,46,10,281,1597,2290,3006,4,-6,-2,
37,12,12,2023,14,46,10,291,1593,2294,3010,4,-5,-3,
38,12,12,2023,14,46,10,301,1592,2293,3004,3,-5,-5,
39,12,12,2023,14,46,10,311,1590,2298,3006,5,-9,-5,
40,12,12,2023,14,46,10,321,1587,2293,3010,7,-9,-5,
41,12,12,2023,14,46,10,331,1594,2290,3003,6,-9,-7,
42,12,12,2023,14,46,10,341,1592,2291,3004,9,-10,-12,
43,12,12,2023,14,46,10,351,1589,2297,3001,10,-10,-12,
