Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,14,32,28,652,112,-4074,-337,-45,9,35,
2,12,12,2023,14,32,28,662,112,-4074,-337,-45,9,35,
3,12,12,2023,14,32,28,672,112,-4074,-337,-45,9,35,
4,12,12,2023,14,32,28,682,112,-4074,-337,-45,9,35,
5,12,12,2023,14,32,28,692,112,-4074,-337,-45,9,35,
6,12,12,2023,14,32,28,702,1802,-2129,3013,-8,-1,5,
7,12,12,2023,14,32,28,712,1793,-2130,3014,-3,-7,0,
8,12,12,2023,14,32,28,722,1794,-2121,3010,-4,1,6,
9,12,12,2023,14,32,28,732,1803,-2118,3006,-2,3,7,
10,12,12,2023,14,32,28,742,1802,-2119,3009,-2,6,7,
11,12,12,2023,14,32,28,752,1794,-2118,3011,-2,2,6,
12,12,12,2023,14,32,28,762,1806,-2122,3009,2,2,5,
13,12,12,2023,14,32,28,772,1805,-2121,3017,3,4,4,
14,12,12,2023,14,32,28,782,1802,-2120,3000,0,3,2,
15,12,12,2023,14,32,28,792,1802,-2118,3010,-2,2,6,
16,12,12,2023,14,32,28,802,1798,-2117,3015,0,-2,6,
17,12,12,2023,14,32,28,812,1791,-2115,3020,3,0,7,
18,12,12,2023,14,32,28,822,1799,-2123,3011,0,0,3,
19,12,12,2023,14,32,28,832,1802,-2129,3001,-2,0,7,
20,12,12,2023,14,32,28,842,1804,-2118,3012,4,0,8,
21,12,12,2023,14,32,28,852,1795,-2130,3006,-1,1,5,
22,12,12,2023,14,32,28,862,1797,-2116,3010,-1,0,6,
23,12,12,2023,14,32,28,872,1801,-2116,3008,1,1,3,
24,12,12,2023,14,32,28,882,1794,-2123,3004,1,0,5,
25,12,12,2023,14,32,28,892,1798,-2123,3008,1,1,8,
26,12,12,2023,14,32,28,902,1798,-2125,3013,-3,3,9,
27,12,12,2023,14,32,28,912,1793,-2122,3017,0,1,5,
28,12,12,2023,14,32,28,922,1794,-2117,3007,2,2,4,
29,12,12,2023,14,32,28,932,1801,-2115,3013,1,2,6,
30,12,12,2023,14,32,28,942,1801,-2123,3020,-1,3,4,
31,12,12,2023,14,32,28,952,1799,-2121,3014,-1,2,5,
32,12,12,2023,14,32,28,962,1797,-2120,3014,-4,2,7,
33,12,12,2023,14,32,28,972,1800,-2120,3008,-2,1,8,
34,12,12,2023,14,32,28,982,1793,-2124,3011,-3,1,5,
35,12,12,2023,14,32,28,992,1798,-2116,3011,0,-2,6,
36,12,12,2023,14,32,29,2,1802,-2119,3019,0,-2,10,
37,12,12,2023,14,32,29,12,1805,-2118,3009,0,0,5,
38,12,12,2023,14,32,29,22,1798,-2126,3010,-3,4,9,
39,12,12,2023,14,32,29,32,1800,-2118,3016,-2,1,6,
40,12,12,2023,14,32,29,42,1800,-2116,3014,-4,5,5,
41,12,12,2023,14,32,29,52,1796,-2119,2999,-2,2,9,
42,12,12,2023,14,32,29,62,1799,-2124,3010,1,1,4,
43,12,12,2023,14,32,29,72,1805,-2121,3020,-1,3,6,
44,12,12,2023,14,32,29,82,1802,-2117,3013,-6,4,8,
45,12,12,2023,14,32,29,92,1793,-2122,3008,-2,-2,5,
46,12,12,2023,14,32,29,102,1798,-2122,3008,-7,1,2,
47,12,12,2023,14,32,29,112,1802,-2118,3009,-4,1,4,
