Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,14,45,59,376,0,0,0,0,0,0,
2,12,12,2023,14,45,59,386,0,0,0,0,0,0,
3,12,12,2023,14,45,59,396,0,0,0,0,0,0,
4,12,12,2023,14,45,59,406,0,0,0,0,0,0,
5,12,12,2023,14,45,59,416,0,0,0,0,0,0,
6,12,12,2023,14,45,59,426,0,0,0,0,0,0,
7,12,12,2023,14,45,59,436,2065,-2069,2901,-3,3,42,
8,12,12,2023,14,45,59,446,2055,-2066,2895,-18,18,28,
9,12,12,2023,14,45,59,456,2067,-2067,2905,-11,3,33,
10,12,12,2023,14,45,59,466,2060,-2058,2910,-12,0,35,
11,12,12,2023,14,45,59,476,2058,-2068,2890,-27,0,35,
12,12,12,2023,14,45,59,486,2050,-2078,2891,-29,5,36,
13,12,12,2023,14,45,59,496,2051,-2064,2910,-28,5,33,
14,12,12,2023,14,45,59,506,2054,-2075,2896,-35,5,32,
15,12,12,2023,14,45,59,516,2064,-2066,2902,-38,3,32,
16,12,12,2023,14,45,59,526,2067,-2037,2934,-59,4,38,
17,12,12,2023,14,45,59,536,2053,-2100,2876,-73,-1,46,
18,12,12,2023,14,45,59,546,2047,-2080,2889,-66,1,44,
19,12,12,2023,14,45,59,556,2063,-2065,2897,-66,-1,43,
20,12,12,2023,14,45,59,566,2066,-2073,2890,-76,-6,51,
21,12,12,2023,14,45,59,576,2085,-2053,2923,-104,-4,61,
22,12,12,2023,14,45,59,586,2077,-2088,2888,-134,-5,83,
23,12,12,2023,14,45,59,596,2045,-2103,2875,-148,-1,92,
24,12,12,2023,14,45,59,606,2019,-2108,2880,-140,6,86,
25,12,12,2023,14,45,59,616,2035,-2109,2880,-124,7,73,
26,12,12,2023,14,45,59,626,2032,-2107,2873,-111,8,63,
27,12,12,2023,14,45,59,636,2031,-2106,2873,-101,6,61,
28,12,12,2023,14,45,59,646,2035,-2104,2872,-91,2,55,
29,12,12,2023,14,45,59,656,2032,-2103,2875,-84,2,51,
30,12,12,2023,14,45,59,666,2048,-2111,2881,-76,6,43,
31,12,12,2023,14,45,59,676,2030,-2124,2870,-69,10,39,
32,12,12,2023,14,45,59,686,2030,-2120,2868,-55,11,26,
33,12,12,2023,14,45,59,696,2032,-2108,2876,-37,19,19,
34,12,12,2023,14,45,59,706,2035,-2111,2872,-23,14,19,
