Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
4,37.825,38.410,1.180,1.170,101.69,102.56,63.56,64.53,36.44,35.47,8.67,6.62,70.00,64.90,21.33,28.48,27.19,27.19,0.860,0.884,0.754,0.780,303.3,318.2,2.791,2.871,1.4,5.9,18.65,18.55,-44.52,-60.96,0.021,-0.027,107.43,111.40,0.175,0.241,0.031,0.067,0.025,0.056,0.134,0.152
5,38.965,39.515,1.140,1.105,105.26,108.60,63.60,62.90,36.40,37.10,9.66,7.19,62.76,62.59,27.59,30.22,25.79,25.79,0.928,0.991,0.841,0.893,340.6,337.4,3.121,3.132,0.5,-2.4,21.07,21.38,-58.92,-61.90,0.021,-0.046,108.42,108.11,0.239,0.228,0.056,0.050,0.033,0.040,0.147,0.166
6,40.070,40.645,1.105,1.130,108.60,106.19,62.90,63.72,37.10,36.28,10.07,9.72,61.87,56.94,28.06,33.33,26.22,26.22,1.039,0.981,0.973,0.919,354.5,347.3,3.463,3.200,-2.7,3.1,21.19,19.76,-60.28,-68.05,0.054,-0.046,107.91,110.19,0.240,0.267,0.051,0.068,0.026,0.048,0.148,0.164
7,41.195,41.775,1.125,1.130,106.67,106.19,62.67,61.06,37.33,38.94,9.22,7.97,58.87,58.70,31.91,33.33,25.00,25.00,1.034,0.952,0.931,0.856,349.7,320.5,3.519,3.011,2.0,-2.2,20.95,16.17,-66.83,-67.38,0.043,-0.033,108.83,110.18,0.271,0.250,0.070,0.054,0.032,0.031,0.149,0.132
8,42.335,42.925,1.140,1.150,105.26,104.35,63.60,61.74,36.40,38.26,9.66,7.04,62.07,61.27,28.28,31.69,24.67,24.67,1.044,1.054,0.926,0.955,351.5,330.8,3.408,3.234,-0.6,2.2,20.43,18.83,-61.96,-65.38,0.043,-0.070,105.95,108.39,0.250,0.248,0.059,0.057,0.033,0.033,0.147,0.146
9,43.470,44.040,1.135,1.115,105.73,107.62,63.44,63.23,36.56,36.77,9.72,9.22,59.03,56.03,31.25,34.75,26.64,26.64,0.958,1.118,0.878,0.995,349.5,331.4,3.239,3.318,-0.1,3.6,18.72,20.03,-65.42,-69.83,0.050,-0.064,111.65,106.59,0.246,0.259,0.048,0.060,0.018,0.042,0.132,0.157
10,44.615,45.180,1.145,1.140,104.80,105.26,62.45,62.72,37.55,37.28,10.49,8.39,60.14,58.04,29.37,33.57,25.11,25.11,1.113,1.048,0.989,0.948,354.3,340.5,3.530,3.250,1.8,0.3,20.98,19.87,-62.91,-67.57,0.034,-0.049,106.04,108.92,0.258,0.233,0.063,0.038,0.032,0.021,0.146,0.142
11,45.730,46.345,1.115,1.165,107.62,103.00,63.23,60.94,36.77,39.06,9.22,9.15,59.57,56.34,31.21,34.51,21.78,21.78,1.090,0.980,0.987,0.885,365.4,349.8,3.482,3.173,-2.7,2.3,20.69,23.54,-64.91,-69.43,0.055,-0.050,107.35,109.28,0.270,0.246,0.074,0.039,0.046,0.027,0.164,0.155
12,46.855,47.430,1.125,1.085,106.67,110.60,62.22,60.37,37.78,39.63,11.43,7.63,57.14,54.20,31.43,38.17,24.89,24.89,0.988,1.084,0.914,1.001,349.2,333.8,3.283,3.290,2.2,-2.1,21.03,18.53,-64.33,-71.50,0.036,-0.047,109.03,107.27,0.247,0.250,0.052,0.043,0.024,0.025,0.146,0.133
13,47.980,48.540,1.125,1.110,106.67,108.11,63.11,61.26,36.89,38.74,9.86,7.35,59.15,58.82,30.99,33.82,23.45,23.45,0.993,1.068,0.911,0.961,362.3,331.8,3.467,3.290,-2.8,-3.6,21.09,18.75,-62.43,-68.24,0.041,-0.046,108.64,107.68,0.247,0.259,0.053,0.059,0.024,0.036,0.141,0.148
14,49.110,49.665,1.130,1.125,106.19,106.67,61.50,64.00,38.50,36.00,10.07,6.94,59.71,60.42,30.22,32.64,25.23,25.23,1.058,0.981,0.943,0.936,338.1,360.9,3.331,3.316,4.7,4.5,18.13,20.48,-63.01,-67.24,0.040,-0.053,107.78,109.26,0.257,0.260,0.065,0.059,0.044,0.036,0.146,0.147
15,50.220,50.775,1.110,1.110,108.11,108.11,61.71,63.06,38.29,36.94,8.76,8.57,60.58,55.71,30.66,35.71,24.20,24.20,1.024,1.134,0.946,1.028,346.3,354.8,3.366,,0.1,-1.7,23.05,17.79,-61.58,-75.38,0.059,-0.072,109.59,106.39,0.260,0.260,0.066,,0.032,,0.155,
16,51.315,51.895,1.095,1.120,109.59,107.14,61.64,61.61,38.36,38.39,10.37,7.25,59.26,57.97,30.37,34.78,25.89,25.89,0.967,0.982,0.944,0.893,356.7,339.8,3.307,3.105,-0.9,0.8,19.74,20.61,-63.74,-66.22,0.036,-0.046,111.96,109.87,0.234,0.231,0.041,0.040,0.019,0.025,0.142,0.155
17,52.435,52.995,1.120,1.100,107.14,109.09,64.29,60.45,35.71,39.55,9.72,11.28,57.64,54.14,32.64,34.59,23.32,23.32,1.060,1.089,0.970,1.004,378.8,323.2,3.509,3.265,-0.6,0.1,20.78,20.65,-68.09,-64.98,0.049,-0.062,107.43,106.52,0.262,0.248,0.059,0.057,0.025,0.030,0.148,0.148
18,53.550,54.105,1.115,1.110,107.62,108.11,62.33,63.06,37.67,36.94,10.79,9.29,58.27,57.14,30.94,33.57,23.42,23.42,1.038,1.089,0.960,0.979,349.8,348.6,3.406,3.312,-0.8,-2.5,17.15,20.02,-64.32,-67.82,0.059,-0.063,107.88,106.77,0.263,0.240,0.067,0.039,0.034,0.020,0.125,0.143
19,54.660,55.230,1.110,1.125,108.11,106.67,60.36,63.56,39.64,36.44,8.21,6.99,64.18,60.14,27.61,32.87,25.33,25.33,0.833,1.084,0.807,1.004,327.6,347.1,2.900,3.362,3.2,3.4,19.08,19.21,-57.00,-70.59,0.052,-0.062,116.99,108.06,0.226,0.259,0.048,0.054,0.030,0.038,0.144,0.155
20,55.785,56.345,1.125,1.115,106.67,107.62,61.78,62.33,38.22,37.67,9.35,7.19,61.15,59.71,29.50,33.09,24.32,24.32,1.111,1.010,1.005,0.928,363.9,336.8,3.473,3.230,-2.3,-0.8,20.86,20.05,-64.02,-69.01,0.057,-0.073,106.87,109.82,0.248,0.251,0.052,0.052,0.021,0.037,0.145,0.151
21,56.895,57.445,1.110,1.100,108.11,109.09,62.16,62.27,37.84,37.73,9.42,9.49,60.14,55.47,30.43,35.04,24.09,24.09,0.947,0.991,0.885,0.980,349.1,342.2,3.215,3.215,-1.3,0.8,21.42,17.22,-64.32,-66.78,0.050,-0.070,111.71,109.77,0.232,0.258,0.036,0.059,0.011,0.031,0.147,0.135
22,57.995,58.550,1.100,1.105,109.09,108.60,61.82,61.09,38.18,38.91,9.56,8.15,58.82,54.81,31.62,37.04,22.83,22.83,1.065,1.138,1.017,1.044,362.9,351.6,3.551,3.364,-0.6,-0.4,18.45,20.25,-63.59,-70.52,0.053,-0.102,106.87,108.01,0.253,0.267,0.058,0.059,0.024,0.031,0.131,0.148
23,59.090,59.630,1.095,1.080,109.59,111.11,62.10,62.96,37.90,37.04,7.35,7.35,59.56,57.35,33.09,35.29,23.74,23.74,1.008,1.003,0.918,0.964,348.9,362.9,3.334,3.329,2.9,-3.5,19.79,18.94,-64.73,-72.59,0.038,-0.061,109.59,110.15,0.265,0.252,0.069,0.041,0.037,0.023,0.145,0.142
24,60.185,60.725,1.095,1.095,109.59,109.59,60.27,63.01,39.73,36.99,9.85,7.25,62.88,57.97,27.27,34.78,22.94,22.94,0.923,1.041,0.914,0.956,333.8,352.6,3.167,3.276,0.7,1.7,19.59,18.31,-59.93,-69.61,0.032,-0.044,113.73,107.57,0.229,0.249,0.047,0.047,0.030,0.024,0.148,0.133
25,61.275,61.830,1.090,1.105,110.09,108.60,60.09,61.99,39.91,38.01,8.40,7.30,61.83,59.85,29.77,32.85,23.98,23.98,0.953,1.111,0.901,1.057,333.2,331.8,3.235,3.426,0.4,-1.7,21.26,15.79,-56.28,-67.35,0.056,-0.065,111.29,107.87,0.221,0.229,0.040,0.040,0.021,0.024,0.144,0.136
26,62.380,62.930,1.105,1.100,108.60,109.09,61.99,62.27,38.01,37.73,8.76,7.30,59.12,56.93,32.12,35.77,23.98,23.98,0.982,0.978,0.956,0.910,361.6,356.2,3.430,3.301,-1.2,-0.9,19.31,20.45,-62.07,-71.22,0.042,-0.046,111.56,110.36,0.250,0.273,0.058,0.068,0.028,0.041,0.139,0.149
27,63.485,64.045,1.105,1.115,108.60,107.62,61.54,61.88,38.46,38.12,8.09,7.97,58.09,57.97,33.82,34.06,25.45,25.45,1.113,0.901,0.982,0.841,360.4,326.4,3.440,2.937,-1.2,-0.9,20.79,18.32,-66.41,-66.57,0.046,-0.063,106.87,112.85,0.245,0.242,0.046,0.050,0.019,0.032,0.148,0.138
28,64.605,65.140,1.120,1.095,107.14,109.59,63.39,64.38,36.61,35.62,9.15,8.51,59.86,56.74,30.99,34.75,23.18,23.18,1.010,1.064,0.909,1.000,346.5,371.2,3.419,3.526,-0.1,1.9,21.49,19.50,-61.95,-70.72,0.051,-0.059,111.75,108.15,0.246,0.244,0.053,0.039,0.026,0.018,0.148,0.142
29,65.705,66.270,1.100,1.130,109.09,106.19,58.64,62.39,41.36,37.61,10.08,9.22,61.24,56.74,28.68,34.04,23.98,23.98,1.019,1.019,1.029,0.927,342.8,353.4,3.358,3.220,-2.3,-0.5,22.15,18.49,-57.71,-73.29,0.028,-0.054,109.76,110.33,0.219,0.264,0.038,0.053,0.015,0.032,0.143,0.150
30,66.810,67.375,1.105,1.105,108.60,108.60,62.44,61.99,37.56,38.01,8.70,8.03,59.42,58.39,31.88,33.58,25.78,25.78,1.097,1.026,0.992,0.945,363.6,331.0,3.560,3.163,0.6,-0.7,20.43,15.95,-67.51,-68.60,0.054,-0.052,108.43,105.65,0.255,0.262,0.053,0.059,0.026,0.030,0.146,0.116
31,67.935,68.500,1.125,1.125,106.67,106.67,63.11,63.11,36.89,36.89,9.15,7.04,61.97,59.15,28.87,33.80,24.44,24.44,0.975,1.113,0.888,0.985,343.6,358.6,3.280,3.413,1.5,1.7,21.35,20.84,-59.31,-72.31,0.051,-0.061,110.53,106.06,0.237,0.258,0.051,0.047,0.026,0.026,0.148,0.155
32,69.060,69.635,1.125,1.135,106.67,105.73,61.33,61.67,38.67,38.33,10.87,7.14,57.97,59.29,31.16,33.57,24.23,24.23,1.020,0.959,0.937,0.886,350.8,353.7,3.255,3.146,-2.1,0.9,21.02,19.10,-64.85,-70.05,0.053,-0.063,109.48,108.67,0.246,0.257,0.050,0.051,0.029,0.030,0.158,0.137
33,70.195,70.745,1.135,1.110,105.73,108.11,62.56,62.61,37.44,37.39,9.15,7.19,61.97,61.15,28.87,31.65,25.11,25.11,1.123,0.974,1.034,0.892,344.5,333.8,3.377,3.142,0.4,-1.7,19.50,19.16,-60.15,-64.98,0.049,-0.056,104.99,110.11,0.227,0.233,0.040,0.044,0.017,0.031,0.131,0.152
34,71.310,71.870,1.115,1.125,107.62,106.67,62.33,63.11,37.67,36.89,9.35,7.04,59.71,60.56,30.94,32.39,24.77,24.77,1.136,1.035,1.016,0.955,356.7,343.8,3.561,,-0.2,1.6,20.44,17.44,-62.61,-70.15,0.041,-0.052,105.38,107.04,0.252,0.258,0.058,,0.028,,0.146,
35,72.420,72.985,1.110,1.115,108.11,107.62,62.16,60.99,37.84,39.01,7.25,7.35,61.59,59.56,31.16,33.09,23.56,23.56,1.144,0.991,1.049,0.945,349.5,341.0,3.608,3.214,1.2,0.8,20.90,16.95,-61.34,-64.47,0.038,-0.072,106.72,111.84,0.251,0.245,0.063,0.056,0.039,0.035,0.154,0.144
36,73.545,74.105,1.125,1.120,106.67,107.14,62.22,61.61,37.78,38.39,7.14,7.25,62.14,57.97,30.71,34.78,23.32,23.32,1.080,1.063,0.993,0.992,356.7,328.7,,3.290,-1.2,-0.2,20.75,17.37,-65.69,-69.70,0.037,-0.078,106.80,110.59,0.245,0.253,,0.049,,0.025,,0.132
