Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,15,41,33,14,-25,-4035,551,-2,-4,3,
2,12,12,2023,15,41,33,24,-25,-4035,551,-2,-4,3,
3,12,12,2023,15,41,33,34,-25,-4035,551,-2,-4,3,
4,12,12,2023,15,41,33,44,-25,-4035,551,-2,-4,3,
5,12,12,2023,15,41,33,54,-25,-4035,551,-2,-4,3,
6,12,12,2023,15,41,33,64,-25,-4035,551,-2,-4,3,
7,12,12,2023,15,41,33,74,2177,1852,2945,101,39,-130,
8,12,12,2023,15,41,33,84,2164,1847,2953,103,38,-125,
9,12,12,2023,15,41,33,94,2164,1856,2953,96,45,-121,
10,12,12,2023,15,41,33,104,2168,1877,2937,85,47,-117,
11,12,12,2023,15,41,33,114,2144,1837,2952,80,48,-108,
12,12,12,2023,15,41,33,124,2133,1834,2957,84,48,-98,
13,12,12,2023,15,41,33,134,2143,1853,2943,84,49,-89,
14,12,12,2023,15,41,33,144,2138,1860,2947,80,48,-85,
15,12,12,2023,15,41,33,154,2134,1875,2940,79,44,-76,
16,12,12,2023,15,41,33,164,2119,1853,2955,77,37,-61,
17,12,12,2023,15,41,33,174,2131,1854,2954,74,32,-47,
18,12,12,2023,15,41,33,184,2143,1888,2926,72,24,-40,
19,12,12,2023,15,41,33,194,2136,1882,2943,65,24,-37,
20,12,12,2023,15,41,33,204,2127,1879,2949,61,18,-29,
21,12,12,2023,15,41,33,214,2125,1872,2955,61,12,-27,
22,12,12,2023,15,41,33,224,2129,1859,2962,61,6,-26,
23,12,12,2023,15,41,33,234,2137,1877,2953,64,-4,-18,
24,12,12,2023,15,41,33,244,2146,1902,2937,66,-12,-18,
25,12,12,2023,15,41,33,254,2143,1918,2932,54,-15,-14,
26,12,12,2023,15,41,33,264,2154,1933,2940,42,-15,-10,
27,12,12,2023,15,41,33,274,2156,1928,2912,6,-19,-8,
28,12,12,2023,15,41,33,284,2159,1910,2920,11,-16,-8,
29,12,12,2023,15,41,33,294,2140,1888,2946,15,-8,-6,
30,12,12,2023,15,41,33,304,2146,1910,2936,9,-6,-3,
31,12,12,2023,15,41,33,314,2154,1903,2936,8,-10,-4,
32,12,12,2023,15,41,33,324,2155,1906,2931,6,-11,-8,
33,12,12,2023,15,41,33,334,2147,1913,2929,1,-13,-11,
34,12,12,2023,15,41,33,344,2151,1899,2945,-4,-14,-12,
35,12,12,2023,15,41,33,354,2144,1869,2955,0,-16,-10,
36,12,12,2023,15,41,33,364,2147,1889,2936,7,-18,-8,
37,12,12,2023,15,41,33,374,2156,1906,2932,1,-19,-8,
38,12,12,2023,15,41,33,384,2148,1870,2955,-1,-18,-9,
39,12,12,2023,15,41,33,394,2155,1880,2955,6,-18,-5,
40,12,12,2023,15,41,33,404,2156,1897,2935,4,-18,-5,
41,12,12,2023,15,41,33,414,2156,1899,2932,-3,-13,-8,
42,12,12,2023,15,41,33,424,2159,1898,2941,-1,-7,-7,
43,12,12,2023,15,41,33,434,2158,1878,2953,3,-4,-10,
44,12,12,2023,15,41,33,444,2140,1841,2966,5,-2,-8,
45,12,12,2023,15,41,33,454,2161,1892,2928,14,-2,-6,
46,12,12,2023,15,41,33,464,2156,1910,2932,13,-3,-10,
