Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,15,10,19,965,54,-4116,137,240,-11,5,
2,12,12,2023,15,10,19,975,54,-4116,137,240,-11,5,
3,12,12,2023,15,10,19,985,54,-4116,137,240,-11,5,
4,12,12,2023,15,10,19,995,54,-4116,137,240,-11,5,
5,12,12,2023,15,10,20,5,54,-4116,137,240,-11,5,
6,12,12,2023,15,10,20,15,54,-4116,137,240,-11,5,
7,12,12,2023,15,10,20,25,2509,1214,3023,45,40,-17,
8,12,12,2023,15,10,20,35,2472,1221,3030,58,55,-2,
9,12,12,2023,15,10,20,45,2423,1291,3034,83,77,-8,
10,12,12,2023,15,10,20,55,2402,1288,3050,63,64,-7,
11,12,12,2023,15,10,20,65,2408,1284,3055,33,23,2,
12,12,12,2023,15,10,20,75,2438,1280,3034,7,-21,11,
13,12,12,2023,15,10,20,85,2470,1244,3031,-6,-25,11,
14,12,12,2023,15,10,20,95,2468,1258,3019,-22,-6,8,
15,12,12,2023,15,10,20,105,2498,1266,3017,-49,-14,8,
16,12,12,2023,15,10,20,115,2496,1170,3044,-34,6,-24,
17,12,12,2023,15,10,20,125,2412,1260,3047,32,46,-34,
18,12,12,2023,15,10,20,135,2413,1317,3030,-30,-1,-47,
19,12,12,2023,15,10,20,145,2401,1275,3043,-86,-51,-34,
20,12,12,2023,15,10,20,155,2411,1261,3044,-68,-46,23,
21,12,12,2023,15,10,20,165,2537,1286,3073,-347,-85,85,
22,12,12,2023,15,10,20,175,2451,1236,3012,-758,-125,91,
23,12,12,2023,15,10,20,185,2473,1182,3027,-288,-20,36,
24,12,12,2023,15,10,20,195,2478,1173,3066,6,71,19,
25,12,12,2023,15,10,20,205,2436,1317,3032,99,102,26,
26,12,12,2023,15,10,20,215,2410,1288,3057,69,70,13,
27,12,12,2023,15,10,20,225,2438,1237,3054,19,21,14,
28,12,12,2023,15,10,20,235,2483,1222,3029,27,10,10,
29,12,12,2023,15,10,20,245,2460,1201,3052,119,62,-6,
30,12,12,2023,15,10,20,255,2431,1236,3051,160,87,-17,
31,12,12,2023,15,10,20,265,2470,1207,3047,109,63,-8,
32,12,12,2023,15,10,20,275,2474,1166,3064,79,42,-9,
33,12,12,2023,15,10,20,285,2468,1289,3017,66,34,-27,
34,12,12,2023,15,10,20,295,2459,1324,3004,2,39,-38,
35,12,12,2023,15,10,20,305,2447,1237,3056,-15,54,-25,
36,12,12,2023,15,10,20,315,2380,1286,3063,-48,44,-36,
37,12,12,2023,15,10,20,325,2417,1261,3076,-74,8,-11,
38,12,12,2023,15,10,20,335,2464,1204,3090,-75,-25,-42,
39,12,12,2023,15,10,20,345,2391,1222,3091,-70,-54,-98,
40,12,12,2023,15,10,20,355,2445,1194,3092,-51,-86,-110,
41,12,12,2023,15,10,20,365,2423,1342,3021,-127,-69,-100,
42,12,12,2023,15,10,20,375,2361,1280,3044,-5,-32,6,
43,12,12,2023,15,10,20,385,2534,1186,3036,4,-51,17,
44,12,12,2023,15,10,20,395,2313,1500,3017,100,-13,-15,
45,12,12,2023,15,10,20,405,2493,1120,3068,96,-17,83,
46,12,12,2023,15,10,20,415,2530,1020,3080,81,9,-10,
47,12,12,2023,15,10,20,425,2364,1370,3030,156,33,-40,
48,12,12,2023,15,10,20,435,2396,1251,3063,36,-2,24,
49,12,12,2023,15,10,20,445,2486,1267,3017,10,-20,44,
50,12,12,2023,15,10,20,455,2469,1244,3038,7,-7,21,
51,12,12,2023,15,10,20,465,2464,1269,3031,11,4,-9,
52,12,12,2023,15,10,20,475,2458,1277,3031,12,11,-24,
53,12,12,2023,15,10,20,485,2447,1220,3053,19,24,-39,
54,12,12,2023,15,10,20,495,2461,1245,2962,164,29,-61,
55,12,12,2023,15,10,20,505,2368,1330,3093,221,23,-41,
56,12,12,2023,15,10,20,515,2464,1299,3003,-42,5,10,
57,12,12,2023,15,10,20,525,2463,1218,3046,-24,18,12,
58,12,12,2023,15,10,20,535,2512,1175,3053,7,37,6,
59,12,12,2023,15,10,20,545,2455,1195,3053,15,62,-27,
60,12,12,2023,15,10,20,555,2334,1309,3053,34,65,-32,
61,12,12,2023,15,10,20,565,2454,1209,3067,-71,12,-7,
62,12,12,2023,15,10,20,575,2447,1289,3036,-146,-2,-24,
63,12,12,2023,15,10,20,585,2364,1397,3028,-161,-2,-35,
64,12,12,2023,15,10,20,595,2423,1304,3036,-240,-23,51,
65,12,12,2023,15,10,20,605,2460,1108,3101,-452,-32,92,
66,12,12,2023,15,10,20,615,2486,1146,3090,-535,-25,46,
67,12,12,2023,15,10,20,625,2498,1229,3006,-540,0,-5,
68,12,12,2023,15,10,20,635,2478,1152,3053,-462,43,-49,
69,12,12,2023,15,10,20,645,2434,1216,3057,-393,68,-72,
70,12,12,2023,15,10,20,655,2478,1321,3090,-234,90,-98,
71,12,12,2023,15,10,20,665,2386,1238,3058,-479,96,-82,
72,12,12,2023,15,10,20,675,2404,1219,3058,-458,102,-39,
73,12,12,2023,15,10,20,685,2411,1223,3067,-308,99,-14,
74,12,12,2023,15,10,20,695,2385,1242,3103,-281,88,-27,
75,12,12,2023,15,10,20,705,2421,1150,3109,-50,75,5,
76,12,12,2023,15,10,20,715,2436,1123,3120,-22,91,7,
77,12,12,2023,15,10,20,725,2470,1170,3076,-113,71,7,
78,12,12,2023,15,10,20,735,2406,1222,3024,-235,109,-28,
79,12,12,2023,15,10,20,745,2323,1290,3074,-268,100,-31,
80,12,12,2023,15,10,20,755,2403,1116,3115,-148,46,2,
81,12,12,2023,15,10,20,765,2477,1166,3097,-63,70,-27,
82,12,12,2023,15,10,20,775,2370,1204,3089,-37,80,-64,
83,12,12,2023,15,10,20,785,2355,1195,3102,-34,41,-44,
84,12,12,2023,15,10,20,795,2405,1187,3099,-45,16,-20,
85,12,12,2023,15,10,20,805,2391,1167,3112,-27,8,-2,
86,12,12,2023,15,10,20,825,2436,1191,3090,-5,-10,15,
87,12,12,2023,15,10,20,835,2448,1157,3103,21,8,2,
88,12,12,2023,15,10,20,845,2400,1153,3116,45,22,-13,
89,12,12,2023,15,10,20,855,2348,1218,3100,41,2,-2,
90,12,12,2023,15,10,20,865,2384,1181,3094,12,-26,17,
91,12,12,2023,15,10,20,875,2414,1160,3101,-12,-35,28,
92,12,12,2023,15,10,20,885,2464,1146,3107,-16,-22,26,
93,12,12,2023,15,10,20,895,2448,1161,3100,4,4,5,
94,12,12,2023,15,10,20,905,2436,1184,3085,10,27,-5,
95,12,12,2023,15,10,20,915,2406,1222,3090,-5,39,-17,
96,12,12,2023,15,10,20,925,2380,1200,3107,-21,29,-16,
97,12,12,2023,15,10,20,935,2353,1166,3128,-29,6,3,
98,12,12,2023,15,10,20,945,2428,1183,3099,-37,-17,20,
99,12,12,2023,15,10,20,955,2476,1139,3108,-43,-1,18,
100,12,12,2023,15,10,20,965,2424,1142,3105,-37,25,-1,
101,12,12,2023,15,10,20,975,2433,1162,3113,-68,33,-1,
102,12,12,2023,15,10,20,985,2467,1167,3092,-81,54,-7,
103,12,12,2023,15,10,20,995,2426,1182,3099,-23,80,-43,
104,12,12,2023,15,10,21,5,2370,1179,3117,-2,80,-47,
105,12,12,2023,15,10,21,15,2370,1198,3124,29,65,-37,
106,12,12,2023,15,10,21,25,2350,1201,3119,47,44,-27,
107,12,12,2023,15,10,21,35,2354,1170,3120,47,12,-13,
108,12,12,2023,15,10,21,45,2419,1167,3096,42,-2,-2,
109,12,12,2023,15,10,21,55,2434,1159,3096,30,15,-5,
110,12,12,2023,15,10,21,65,2435,1147,3105,26,34,-15,
111,12,12,2023,15,10,21,75,2454,1154,3116,36,50,-22,
112,12,12,2023,15,10,21,85,2427,1183,3108,61,78,-44,
113,12,12,2023,15,10,21,95,2384,1198,3098,71,94,-50,
114,12,12,2023,15,10,21,105,2310,1189,3117,71,84,-40,
115,12,12,2023,15,10,21,115,2319,1219,3124,60,41,-27,
116,12,12,2023,15,10,21,125,2373,1226,3102,50,3,-4,
117,12,12,2023,15,10,21,135,2386,1195,3115,32,-10,9,
118,12,12,2023,15,10,21,145,2403,1163,3128,64,-4,18,
119,12,12,2023,15,10,21,155,2403,1163,3128,64,-4,18,
120,12,12,2023,15,10,21,165,2403,1163,3128,64,-4,18,
121,12,12,2023,15,10,21,175,2403,1163,3128,64,-4,18,
122,12,12,2023,15,10,21,185,2409,1225,3102,1,71,-41,
123,12,12,2023,15,10,21,195,2388,1190,3128,-4,79,-49,
124,12,12,2023,15,10,21,205,2342,1214,3127,-1,73,-46,
125,12,12,2023,15,10,21,215,2373,1262,3107,-7,55,-35,
126,12,12,2023,15,10,21,225,2398,1179,3123,-22,56,-34,
127,12,12,2023,15,10,21,235,2396,1155,3126,-18,62,-28,
128,12,12,2023,15,10,21,245,2424,1179,3114,-13,69,-37,
129,12,12,2023,15,10,21,255,2429,1165,3123,-6,89,-49,
130,12,12,2023,15,10,21,265,2390,1167,3140,24,115,-65,
