Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,15,28,29,950,121,230,4069,77,4,99,
2,12,12,2023,15,28,29,960,121,230,4069,77,4,99,
3,12,12,2023,15,28,29,970,121,230,4069,77,4,99,
4,12,12,2023,15,28,29,980,121,230,4069,77,4,99,
5,12,12,2023,15,28,29,990,121,230,4069,77,4,99,
6,12,12,2023,15,28,30,0,121,230,4069,77,4,99,
7,12,12,2023,15,28,30,10,1910,2103,2962,-1,-2,12,
8,12,12,2023,15,28,30,20,1909,2101,2957,3,-1,0,
9,12,12,2023,15,28,30,30,1919,2101,2964,-1,-6,3,
10,12,12,2023,15,28,30,40,1914,2107,2955,-3,-4,4,
11,12,12,2023,15,28,30,50,1912,2105,2960,-5,1,3,
12,12,12,2023,15,28,30,60,1920,2104,2963,-3,-2,4,
13,12,12,2023,15,28,30,70,1921,2112,2959,-3,-6,6,
14,12,12,2023,15,28,30,80,1913,2105,2950,-3,-4,5,
15,12,12,2023,15,28,30,90,1913,2103,2960,-4,-3,7,
16,12,12,2023,15,28,30,100,1913,2109,2959,-6,-5,6,
17,12,12,2023,15,28,30,110,1911,2104,2960,-4,-6,7,
18,12,12,2023,15,28,30,120,1914,2106,2967,-4,-6,7,
19,12,12,2023,15,28,30,130,1914,2105,2955,-5,-4,5,
20,12,12,2023,15,28,30,140,1907,2109,2956,-4,-5,5,
21,12,12,2023,15,28,30,150,1913,2105,2959,-3,-3,5,
22,12,12,2023,15,28,30,160,1914,2105,2960,-3,-3,5,
23,12,12,2023,15,28,30,170,1918,2101,2964,-3,-6,2,
24,12,12,2023,15,28,30,180,1914,2105,2962,-3,-6,5,
25,12,12,2023,15,28,30,190,1911,2113,2954,-3,-4,5,
26,12,12,2023,15,28,30,200,1908,2106,2954,-1,-4,5,
27,12,12,2023,15,28,30,210,1913,2109,2962,-3,-3,3,
28,12,12,2023,15,28,30,220,1916,2108,2959,-9,-4,4,
29,12,12,2023,15,28,30,230,1912,2112,2959,-8,-4,4,
30,12,12,2023,15,28,30,240,1905,2109,2960,-3,-3,8,
31,12,12,2023,15,28,30,250,1910,2107,2960,-6,-5,6,
32,12,12,2023,15,28,30,260,1914,2104,2953,-4,-4,6,
33,12,12,2023,15,28,30,270,1912,2111,2959,-4,-5,6,
34,12,12,2023,15,28,30,280,1912,2111,2954,-5,-4,8,
35,12,12,2023,15,28,30,290,1913,2101,2957,-3,-6,6,
36,12,12,2023,15,28,30,300,1909,2102,2962,-5,-6,6,
37,12,12,2023,15,28,30,310,1908,2106,2961,-5,-4,1,
38,12,12,2023,15,28,30,320,1914,2113,2959,-3,-5,2,
39,12,12,2023,15,28,30,330,1913,2109,2962,-3,-8,6,
40,12,12,2023,15,28,30,340,1912,2103,2959,-4,-4,5,
41,12,12,2023,15,28,30,350,1914,2103,2960,-7,-4,5,
42,12,12,2023,15,28,30,360,1914,2101,2962,-8,-3,2,
43,12,12,2023,15,28,30,370,1908,2100,2961,-4,-5,4,
44,12,12,2023,15,28,30,380,1908,2108,2958,-3,-5,2,
45,12,12,2023,15,28,30,390,1909,2109,2958,-4,-4,4,
46,12,12,2023,15,28,30,400,1910,2103,2958,-9,-5,4,
47,12,12,2023,15,28,30,410,1908,2108,2958,-6,-6,5,
48,12,12,2023,15,28,30,420,1911,2106,2957,-4,-8,6,
49,12,12,2023,15,28,30,430,1908,2105,2956,-5,-7,5,
50,12,12,2023,15,28,30,440,1900,2107,2965,-3,-11,9,
51,12,12,2023,15,28,30,450,1909,2103,2959,-8,-11,10,
52,12,12,2023,15,28,30,460,1911,2103,2962,-7,-12,14,
53,12,12,2023,15,28,30,470,1908,2105,2956,-5,-15,18,
54,12,12,2023,15,28,30,480,1906,2106,2956,-7,-15,15,
55,12,12,2023,15,28,30,490,1904,2106,2955,-9,-18,21,
56,12,12,2023,15,28,30,500,1909,2104,2960,-10,-17,21,
57,12,12,2023,15,28,30,510,1923,2109,2956,-8,-20,22,
58,12,12,2023,15,28,30,520,1921,2113,2953,-8,-19,19,
59,12,12,2023,15,28,30,530,1916,2098,2962,-9,-19,17,
60,12,12,2023,15,28,30,540,1909,2104,2965,-8,-20,18,
61,12,12,2023,15,28,30,550,1918,2109,2956,-10,-16,20,
62,12,12,2023,15,28,30,560,1917,2107,2958,-7,-17,19,
63,12,12,2023,15,28,30,570,1921,2108,2961,-9,-17,21,
64,12,12,2023,15,28,30,580,1925,2104,2959,-9,-19,17,
65,12,12,2023,15,28,30,590,1920,2093,2968,-6,-17,16,
66,12,12,2023,15,28,30,600,1917,2096,2962,-3,-16,11,
67,12,12,2023,15,28,30,610,1910,2106,2956,-6,-16,12,
68,12,12,2023,15,28,30,620,1914,2103,2959,-8,-12,11,
69,12,12,2023,15,28,30,630,1914,2100,2963,-8,-13,11,
70,12,12,2023,15,28,30,640,1930,2099,2959,-5,-13,10,
71,12,12,2023,15,28,30,650,1930,2099,2968,-4,-10,9,
72,12,12,2023,15,28,30,660,1923,2105,2958,-3,-11,6,
73,12,12,2023,15,28,30,670,1925,2096,2960,-2,-8,6,
74,12,12,2023,15,28,30,680,1922,2096,2957,-2,-9,3,
75,12,12,2023,15,28,30,690,1917,2102,2958,-1,-9,5,
76,12,12,2023,15,28,30,700,1913,2099,2953,-2,-9,6,
77,12,12,2023,15,28,30,710,1910,2096,2953,0,-7,6,
78,12,12,2023,15,28,30,720,1908,2095,2953,-1,-8,10,
79,12,12,2023,15,28,30,730,1921,2097,2958,-2,-13,13,
80,12,12,2023,15,28,30,740,1917,2098,2962,-3,-10,12,
81,12,12,2023,15,28,30,750,1921,2109,2961,-1,-10,13,
82,12,12,2023,15,28,30,760,1921,2104,2960,0,-13,14,
83,12,12,2023,15,28,30,770,1920,2096,2958,-2,-11,12,
84,12,12,2023,15,28,30,780,1918,2102,2953,-3,-11,12,
85,12,12,2023,15,28,30,790,1916,2106,2955,-5,-13,11,
86,12,12,2023,15,28,30,810,1905,2102,2951,-7,-17,21,
87,12,12,2023,15,28,30,820,1934,2105,2958,-7,-22,26,
88,12,12,2023,15,28,30,830,1922,2080,2966,-7,-21,20,
89,12,12,2023,15,28,30,840,1903,2107,2953,-4,-19,20,
90,12,12,2023,15,28,30,850,1929,2109,2956,-7,-24,26,
91,12,12,2023,15,28,30,860,1931,2088,2965,-11,-24,22,
92,12,12,2023,15,28,30,870,1913,2096,2959,-8,-21,20,
93,12,12,2023,15,28,30,880,1924,2102,2957,-5,-23,21,
94,12,12,2023,15,28,30,890,1913,2096,2958,-8,-22,22,
95,12,12,2023,15,28,30,900,1911,2107,2952,-10,-26,29,
