Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,15,10,5,202,65,-4078,54,5,5,0,
2,12,12,2023,15,10,5,212,65,-4078,54,5,5,0,
3,12,12,2023,15,10,5,222,65,-4078,54,5,5,0,
4,12,12,2023,15,10,5,232,65,-4078,54,5,5,0,
5,12,12,2023,15,10,5,242,65,-4078,54,5,5,0,
6,12,12,2023,15,10,5,252,65,-4078,54,5,5,0,
7,12,12,2023,15,10,5,262,65,-4078,54,5,5,0,
8,12,12,2023,15,10,5,272,2176,-1707,3048,-21,27,12,
9,12,12,2023,15,10,5,282,2170,-1705,3048,-9,32,25,
10,12,12,2023,15,10,5,292,2166,-1710,3048,-7,31,21,
11,12,12,2023,15,10,5,302,2163,-1717,3050,-12,30,21,
12,12,12,2023,15,10,5,312,2165,-1717,3047,-9,27,22,
13,12,12,2023,15,10,5,322,2168,-1714,3054,-9,28,22,
14,12,12,2023,15,10,5,332,2151,-1717,3050,-11,29,21,
15,12,12,2023,15,10,5,342,2154,-1719,3050,-10,26,21,
16,12,12,2023,15,10,5,352,2155,-1708,3049,-11,21,17,
17,12,12,2023,15,10,5,362,2159,-1706,3047,-12,22,16,
18,12,12,2023,15,10,5,372,2158,-1713,3052,-12,25,15,
19,12,12,2023,15,10,5,382,2162,-1717,3050,-8,20,16,
20,12,12,2023,15,10,5,392,2157,-1718,3052,-11,16,17,
21,12,12,2023,15,10,5,402,2159,-1719,3052,-8,20,13,
22,12,12,2023,15,10,5,412,2153,-1721,3047,-10,20,14,
23,12,12,2023,15,10,5,422,2157,-1720,3047,-7,18,11,
24,12,12,2023,15,10,5,432,2159,-1723,3051,-5,15,7,
25,12,12,2023,15,10,5,442,2154,-1717,3054,-3,18,8,
26,12,12,2023,15,10,5,452,2155,-1717,3054,-3,16,5,
27,12,12,2023,15,10,5,462,2162,-1712,3051,-2,12,6,
28,12,12,2023,15,10,5,472,2160,-1719,3049,-3,12,5,
29,12,12,2023,15,10,5,482,2151,-1721,3054,-4,13,3,
30,12,12,2023,15,10,5,492,2160,-1718,3055,-4,14,2,
31,12,12,2023,15,10,5,502,2155,-1723,3053,-3,11,6,
32,12,12,2023,15,10,5,512,2161,-1720,3054,-1,8,6,
33,12,12,2023,15,10,5,522,2156,-1720,3054,-1,9,4,
34,12,12,2023,15,10,5,532,2154,-1721,3052,-3,11,7,
35,12,12,2023,15,10,5,542,2161,-1723,3054,-4,7,8,
36,12,12,2023,15,10,5,552,2155,-1718,3050,-3,6,6,
37,12,12,2023,15,10,5,562,2155,-1714,3056,-4,7,7,
38,12,12,2023,15,10,5,572,2156,-1713,3052,0,6,6,
39,12,12,2023,15,10,5,582,2154,-1720,3049,-2,6,6,
40,12,12,2023,15,10,5,592,2166,-1719,3052,0,6,9,
