Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
5,54.460,55.170,3.670,1.555,32.70,77.17,83.51,67.85,16.49,32.15,1.63,8.06,89.72,64.93,8.65,27.01,29.79,29.79,0.987,1.016,0.395,0.767,276.1,346.2,2.515,,-7.4,0.4,24.75,21.34,-58.25,-65.35,0.061,-0.100,120.29,115.01,0.298,0.285,0.063,,0.015,,0.143,
6,55.870,56.550,1.410,1.380,85.11,86.96,65.25,63.04,34.75,36.96,7.07,6.90,63.59,63.22,29.35,29.89,25.82,25.82,1.072,1.330,0.820,1.008,335.4,378.2,2.995,3.369,2.5,-0.6,24.75,23.82,-64.63,-67.71,0.036,-0.082,112.40,106.13,0.286,0.313,0.044,0.066,0.003,0.035,0.145,0.163
7,57.245,57.955,1.375,1.405,87.27,85.41,62.91,62.28,37.09,37.72,5.78,5.71,64.74,65.71,29.48,28.57,27.64,27.64,1.129,1.354,0.850,0.966,368.4,360.9,3.008,3.279,-4.4,0.1,26.73,21.58,-64.40,-67.99,0.038,-0.094,114.50,105.11,0.307,0.292,0.067,0.044,0.032,0.025,0.211,0.146
8,58.620,59.270,1.375,1.315,87.27,91.25,66.18,66.16,33.82,33.84,6.04,6.90,67.03,62.07,26.92,31.03,31.89,31.89,1.207,1.032,0.904,0.833,335.0,359.4,3.143,2.940,5.4,-1.1,25.15,22.42,-62.59,-67.99,0.071,-0.038,107.25,113.35,0.305,0.289,0.067,0.040,0.020,0.015,0.144,0.135
9,59.890,60.515,1.270,1.245,94.49,96.39,66.93,65.86,33.07,34.14,7.65,7.93,65.88,65.24,26.47,26.83,28.28,28.28,1.138,1.010,0.901,0.890,346.9,358.2,3.145,2.968,-1.5,0.5,26.45,12.98,-61.60,-65.14,0.052,-0.038,106.26,107.58,0.305,0.295,0.070,0.055,0.017,0.035,0.144,0.088
10,61.110,61.750,1.220,1.235,98.36,97.17,63.11,65.18,36.89,34.82,7.79,6.21,64.94,62.73,27.27,31.06,30.83,30.83,0.929,1.121,0.818,0.924,355.8,353.9,,3.032,3.3,2.2,21.33,25.12,-63.99,-62.33,-0.019,-0.042,109.42,109.81,0.284,0.280,,0.048,,0.034,,0.168
11,62.375,63.060,1.265,1.310,94.86,91.60,64.82,61.07,35.18,38.93,6.10,7.50,64.02,64.38,29.88,28.12,27.91,27.91,1.151,1.234,0.919,0.997,375.1,375.4,3.220,3.194,-6.5,0.6,27.00,26.42,-66.57,-68.28,0.038,-0.070,109.18,108.44,0.306,0.290,0.061,0.042,0.021,0.028,0.159,0.179
12,63.665,64.335,1.290,1.275,93.02,94.12,67.44,61.18,32.56,38.82,6.32,10.26,64.94,59.62,28.74,30.13,16.98,16.98,1.141,1.186,0.963,0.941,318.5,376.0,3.210,3.271,0.8,0.5,28.32,26.15,-65.59,-66.00,0.047,-0.079,109.96,110.77,0.297,0.283,0.056,0.042,0.023,0.033,0.176,0.183
13,64.990,65.600,1.325,1.265,90.57,94.86,54.34,64.82,45.66,35.18,9.72,9.76,71.53,60.37,18.75,29.88,28.17,28.17,1.083,1.089,0.770,0.889,364.0,427.4,,3.031,-2.0,-0.5,34.62,34.37,-67.97,-73.46,0.099,-0.057,113.67,117.01,0.329,0.313,,0.055,,0.038,,0.220
14,66.250,66.910,1.260,1.310,95.24,91.60,63.49,62.98,36.51,37.02,7.50,10.91,61.88,60.00,30.62,29.09,27.59,27.59,1.333,1.317,1.178,1.061,380.2,370.5,3.413,3.358,2.3,0.7,35.23,35.12,-69.90,-69.51,0.041,-0.040,105.54,105.54,0.321,0.291,0.069,0.045,0.039,0.028,0.226,0.232
