Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,15,2024,14,53,57,85,-11,-4049,-28,357,-19,-61,
2,1,15,2024,14,53,57,95,-11,-4049,-28,357,-19,-61,
3,1,15,2024,14,53,57,105,-11,-4049,-28,357,-19,-61,
4,1,15,2024,14,53,57,115,-11,-4049,-28,357,-19,-61,
5,1,15,2024,14,53,57,125,-11,-4049,-28,357,-19,-61,
6,1,15,2024,14,53,57,135,-11,-4049,-28,357,-19,-61,
7,1,15,2024,14,53,57,145,-11,-4049,-28,357,-19,-61,
8,1,15,2024,14,53,57,155,2318,-1582,2964,-2,-1,-1,
9,1,15,2024,14,53,57,165,2320,-1580,2977,-4,-5,5,
10,1,15,2024,14,53,57,175,2319,-1586,2969,-2,-3,4,
11,1,15,2024,14,53,57,185,2320,-1589,2966,-2,-3,4,
12,1,15,2024,14,53,57,195,2322,-1585,2970,-2,-6,4,
13,1,15,2024,14,53,57,205,2321,-1581,2971,-3,-6,4,
14,1,15,2024,14,53,57,215,2324,-1580,2972,-2,-5,2,
15,1,15,2024,14,53,57,225,2319,-1588,2966,0,-4,2,
16,1,15,2024,14,53,57,235,2320,-1588,2971,2,-3,3,
17,1,15,2024,14,53,57,245,2324,-1580,2972,-1,-6,5,
18,1,15,2024,14,53,57,255,2331,-1579,2973,0,-5,4,
19,1,15,2024,14,53,57,265,2323,-1585,2968,-6,-5,4,
20,1,15,2024,14,53,57,275,2324,-1584,2970,-6,-6,6,
21,1,15,2024,14,53,57,285,2325,-1582,2969,-1,-3,3,
22,1,15,2024,14,53,57,295,2320,-1586,2976,-5,-5,5,
23,1,15,2024,14,53,57,305,2319,-1584,2974,-4,-8,5,
24,1,15,2024,14,53,57,315,2327,-1584,2966,-3,-4,2,
25,1,15,2024,14,53,57,325,2317,-1586,2962,-5,-5,5,
26,1,15,2024,14,53,57,335,2326,-1585,2964,-7,-4,5,
27,1,15,2024,14,53,57,345,2327,-1577,2971,-4,-5,4,
28,1,15,2024,14,53,57,355,2325,-1584,2971,0,-6,4,
