Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,62.370,66.545,17.105,4.840,7.02,24.79,96.58,91.63,3.42,8.37,0.30,1.13,98.79,95.04,0.91,3.83,82.77,82.77,0.711,0.546,0.064,0.166,210.2,226.4,,,-5.6,-1.9,3.49,16.84,-33.33,-33.20,-0.085,-0.009,129.35,109.57,0.311,0.131,,,,,,
4,67.100,67.765,4.730,1.220,25.37,98.36,91.33,61.48,8.67,38.52,1.16,8.00,92.94,61.33,5.90,30.67,33.33,33.33,0.964,0.982,0.293,0.801,318.6,311.2,2.856,2.673,2.5,1.0,21.09,18.50,-67.48,-58.53,0.015,0.015,108.73,105.59,0.255,0.221,0.047,0.051,0.024,0.029,0.103,0.132
5,68.375,69.000,1.275,1.235,94.12,97.17,70.20,63.16,29.80,36.84,11.73,8.97,63.69,60.90,24.58,30.13,27.89,27.89,1.047,1.038,0.875,0.842,354.1,326.8,3.097,2.964,-2.4,3.2,21.40,23.14,-62.59,-65.58,0.012,-0.029,104.79,107.69,0.254,0.261,0.063,0.072,0.039,0.037,0.109,0.138
6,69.630,70.280,1.255,1.280,95.62,93.75,64.14,62.89,35.86,37.11,9.94,11.18,60.87,60.87,29.19,27.95,26.67,26.67,1.152,1.112,0.920,0.899,377.8,341.8,3.182,2.885,2.3,-0.0,25.99,22.20,-71.59,-67.17,0.007,-0.048,104.89,106.82,0.260,0.269,0.051,0.078,0.025,0.051,0.116,0.156
7,70.905,71.530,1.275,1.250,94.12,96.00,63.92,58.80,36.08,41.20,10.43,8.84,61.35,67.35,28.22,23.81,18.36,18.36,1.258,1.066,0.977,0.845,385.9,332.3,3.372,2.883,0.5,5.7,24.99,22.98,-69.81,-69.60,0.027,-0.043,105.64,107.82,0.266,0.275,0.061,0.078,0.035,0.043,0.131,0.151
8,72.185,72.805,1.280,1.275,93.75,94.12,58.59,65.10,41.41,34.90,12.00,12.65,65.33,60.84,22.67,26.51,31.37,31.37,1.057,1.072,0.840,0.854,417.1,306.8,3.002,2.810,1.4,-2.8,25.17,22.75,-71.96,-65.80,0.070,-0.062,107.21,108.90,0.265,0.240,0.057,0.054,0.031,0.038,0.135,0.150
9,73.460,74.150,1.275,1.345,94.12,89.22,66.27,63.94,33.73,36.06,13.02,14.53,60.36,58.14,26.63,27.33,27.27,27.27,1.180,1.067,0.918,0.833,367.1,329.4,3.180,2.934,-1.9,2.6,26.48,25.39,-68.14,-69.56,0.044,-0.055,104.51,109.29,0.253,0.265,0.051,0.071,0.027,0.049,0.124,0.175
10,74.835,75.460,1.375,1.310,87.27,91.60,62.55,66.03,37.45,33.97,16.86,9.83,56.40,60.69,26.74,29.48,29.74,29.74,1.184,1.332,0.879,0.972,359.1,341.8,3.161,3.253,-2.3,-0.7,27.40,25.28,-70.77,-70.65,0.030,-0.053,108.61,105.14,0.258,0.262,0.051,0.064,0.025,0.051,0.138,0.181
11,76.180,76.845,1.345,1.385,89.22,86.64,62.83,61.01,37.17,38.99,11.24,15.98,60.36,62.72,28.40,21.30,21.62,21.62,1.098,1.099,0.866,0.855,361.2,305.9,2.960,2.872,-0.8,-2.7,26.54,23.82,-71.17,-63.99,0.036,-0.034,108.80,106.95,0.264,0.258,0.060,0.071,0.040,0.037,0.141,0.153
12,77.475,78.125,1.295,1.280,92.66,93.75,63.32,62.89,36.68,37.11,12.80,9.94,59.76,61.49,27.44,28.57,21.48,21.48,1.146,1.034,0.905,0.862,367.9,307.0,3.170,2.789,-0.5,4.6,24.82,24.86,-71.06,-65.97,0.035,-0.068,107.82,110.55,0.262,0.254,0.055,0.067,0.028,0.044,0.129,0.164
13,78.755,79.375,1.280,1.250,93.75,96.00,58.59,61.60,41.41,38.40,12.00,12.34,66.00,56.49,22.00,31.17,26.95,26.95,1.172,1.208,0.979,0.942,364.5,323.6,3.231,,-3.5,-1.8,25.22,26.90,-72.34,-65.47,0.125,-0.109,109.67,108.79,0.270,0.235,0.061,,0.034,,0.120,
14,80.035,80.655,1.280,1.280,93.75,93.75,64.45,63.28,35.55,36.72,8.48,16.05,61.82,56.17,29.70,27.78,21.57,21.57,0.995,1.014,0.796,0.823,372.5,309.3,2.910,2.809,5.7,2.8,25.54,22.43,-70.72,-65.01,0.036,-0.023,109.34,108.15,0.268,0.257,0.066,0.070,0.041,0.041,0.127,0.154
