Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,24,2024,15,39,0,595,82,-4033,415,-5,-7,2,
2,1,24,2024,15,39,0,605,82,-4033,415,-5,-7,2,
3,1,24,2024,15,39,0,615,82,-4033,415,-5,-7,2,
4,1,24,2024,15,39,0,625,82,-4033,415,-5,-7,2,
5,1,24,2024,15,39,0,635,82,-4033,415,-5,-7,2,
6,1,24,2024,15,39,0,645,82,-4033,415,-5,-7,2,
7,1,24,2024,15,39,0,655,1887,2596,2573,-39,-35,39,
8,1,24,2024,15,39,0,665,1915,2583,2591,-27,-54,58,
9,1,24,2024,15,39,0,675,1929,2584,2599,-37,-39,42,
10,1,24,2024,15,39,0,685,1920,2588,2587,-29,-26,33,
11,1,24,2024,15,39,0,695,1937,2576,2595,-24,-22,30,
12,1,24,2024,15,39,0,705,1922,2572,2603,-13,-13,17,
13,1,24,2024,15,39,0,715,1912,2592,2584,-10,-9,13,
14,1,24,2024,15,39,0,725,1913,2581,2580,-10,-10,17,
15,1,24,2024,15,39,0,735,1907,2586,2592,-11,-11,18,
16,1,24,2024,15,39,0,745,1913,2584,2588,-11,-12,17,
17,1,24,2024,15,39,0,755,1916,2577,2593,-16,-15,13,
18,1,24,2024,15,39,0,765,1926,2579,2592,-15,-14,14,
19,1,24,2024,15,39,0,775,1914,2578,2591,-9,-11,8,
20,1,24,2024,15,39,0,785,1921,2584,2589,-9,-10,8,
21,1,24,2024,15,39,0,795,1936,2580,2602,-7,-7,1,
22,1,24,2024,15,39,0,805,1925,2573,2602,3,0,-8,
23,1,24,2024,15,39,0,815,1900,2590,2580,5,4,-9,
24,1,24,2024,15,39,0,825,1895,2602,2573,0,-1,-4,
25,1,24,2024,15,39,0,835,1905,2586,2596,-10,-5,1,
26,1,24,2024,15,39,0,845,1918,2581,2590,-9,-4,4,
27,1,24,2024,15,39,0,855,1947,2571,2604,-8,-7,-1,
28,1,24,2024,15,39,0,865,1929,2568,2607,-3,2,-8,
29,1,24,2024,15,39,0,875,1909,2590,2590,2,5,-13,
30,1,24,2024,15,39,0,885,1922,2594,2584,-3,5,-16,
31,1,24,2024,15,39,0,895,1894,2600,2565,-13,10,-12,
32,1,24,2024,15,39,0,905,1891,2589,2578,-28,3,-4,
33,1,24,2024,15,39,0,915,1911,2585,2592,-39,-4,9,
34,1,24,2024,15,39,0,925,1945,2595,2590,-50,-7,15,
35,1,24,2024,15,39,0,935,1945,2575,2597,-52,2,2,
36,1,24,2024,15,39,0,945,1911,2588,2587,-59,15,-6,
37,1,24,2024,15,39,0,955,1906,2586,2580,-64,13,-2,
38,1,24,2024,15,39,0,965,1898,2570,2591,-74,5,4,
39,1,24,2024,15,39,0,975,1906,2588,2580,-90,-5,7,
40,1,24,2024,15,39,0,985,1908,2596,2577,-92,-22,8,
41,1,24,2024,15,39,0,995,1908,2552,2612,-83,-12,10,
42,1,24,2024,15,39,1,5,1887,2572,2584,-72,7,16,
43,1,24,2024,15,39,1,15,1882,2574,2585,-71,0,23,
44,1,24,2024,15,39,1,25,1893,2558,2592,-76,-3,29,
45,1,24,2024,15,39,1,35,1907,2551,2608,-73,-9,38,
46,1,24,2024,15,39,1,45,1897,2556,2605,-61,-14,42,
47,1,24,2024,15,39,1,55,1899,2560,2604,-59,-22,47,
48,1,24,2024,15,39,1,65,1929,2543,2623,-55,-25,48,
