Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,24,2024,15,39,13,231,77,-4035,668,0,2,8,
2,1,24,2024,15,39,13,241,77,-4035,668,0,2,8,
3,1,24,2024,15,39,13,251,77,-4035,668,0,2,8,
4,1,24,2024,15,39,13,261,77,-4035,668,0,2,8,
5,1,24,2024,15,39,13,271,77,-4035,668,0,2,8,
6,1,24,2024,15,39,13,281,77,-4035,668,0,2,8,
7,1,24,2024,15,39,13,291,1760,988,3566,-30,-17,1,
8,1,24,2024,15,39,13,301,1733,961,3552,-26,-32,2,
9,1,24,2024,15,39,13,311,1765,956,3563,-10,-26,10,
10,1,24,2024,15,39,13,321,1757,993,3566,7,-15,13,
11,1,24,2024,15,39,13,331,1778,993,3561,17,-10,15,
12,1,24,2024,15,39,13,341,1749,1006,3556,12,7,11,
13,1,24,2024,15,39,13,351,1759,993,3558,-6,9,16,
14,1,24,2024,15,39,13,361,1743,974,3552,-17,13,22,
15,1,24,2024,15,39,13,371,1721,957,3555,-8,18,15,
16,1,24,2024,15,39,13,381,1741,973,3553,2,10,14,
17,1,24,2024,15,39,13,391,1741,987,3564,-6,-2,22,
18,1,24,2024,15,39,13,401,1726,976,3553,-14,-17,30,
19,1,24,2024,15,39,13,411,1742,983,3546,-25,-27,31,
20,1,24,2024,15,39,13,421,1771,939,3552,-40,-26,29,
21,1,24,2024,15,39,13,431,1760,921,3557,-39,-15,28,
22,1,24,2024,15,39,13,441,1769,932,3551,-27,-2,26,
23,1,24,2024,15,39,13,451,1764,939,3553,-9,9,22,
24,1,24,2024,15,39,13,461,1736,927,3564,16,18,18,
25,1,24,2024,15,39,13,471,1817,933,3597,11,20,2,
26,1,24,2024,15,39,13,481,1778,1069,3560,-73,32,-11,
27,1,24,2024,15,39,13,491,1729,1030,3578,-8,23,46,
28,1,24,2024,15,39,13,501,1765,998,3568,-58,10,37,
29,1,24,2024,15,39,13,511,1732,976,3548,-51,15,42,
30,1,24,2024,15,39,13,521,1775,946,3559,-31,13,42,
31,1,24,2024,15,39,13,531,1772,966,3567,-28,21,32,
32,1,24,2024,15,39,13,541,1731,946,3548,-30,26,25,
33,1,24,2024,15,39,13,551,1768,920,3547,-11,30,23,
34,1,24,2024,15,39,13,561,1755,977,3580,11,23,15,
35,1,24,2024,15,39,13,571,1748,971,3566,-1,22,19,
36,1,24,2024,15,39,13,581,1720,973,3562,-4,18,26,
37,1,24,2024,15,39,13,591,1743,963,3552,-14,8,25,
38,1,24,2024,15,39,13,601,1735,955,3552,-9,12,25,
39,1,24,2024,15,39,13,611,1770,963,3556,-16,9,20,
40,1,24,2024,15,39,13,621,1760,952,3563,-31,18,17,
41,1,24,2024,15,39,13,631,1752,954,3574,-45,25,18,
42,1,24,2024,15,39,13,641,1773,940,3576,-79,19,10,
43,1,24,2024,15,39,13,651,1743,950,3553,-113,39,0,
44,1,24,2024,15,39,13,661,1737,955,3565,-43,45,15,
45,1,24,2024,15,39,13,671,1748,961,3568,-53,37,19,
46,1,24,2024,15,39,13,681,1735,948,3580,-83,29,24,
47,1,24,2024,15,39,13,691,1741,964,3567,-115,29,21,
48,1,24,2024,15,39,13,701,1739,978,3567,-82,30,34,
49,1,24,2024,15,39,13,711,1761,984,3588,-61,21,38,
50,1,24,2024,15,39,13,721,1779,979,3601,-79,24,43,
51,1,24,2024,15,39,13,731,1764,966,3592,-88,34,43,
52,1,24,2024,15,39,13,741,1769,980,3589,-93,40,47,
53,1,24,2024,15,39,13,751,1719,949,3573,-94,49,52,
54,1,24,2024,15,39,13,761,1672,939,3557,-61,55,41,
55,1,24,2024,15,39,13,771,1691,928,3556,-28,34,32,
56,1,24,2024,15,39,13,781,1719,936,3572,0,23,28,
57,1,24,2024,15,39,13,791,1752,931,3565,39,25,20,
58,1,24,2024,15,39,13,801,1793,960,3583,88,32,18,
59,1,24,2024,15,39,13,811,1800,1043,3599,107,69,12,
60,1,24,2024,15,39,13,821,1786,1066,3631,111,101,0,
61,1,24,2024,15,39,13,831,1713,951,3575,183,144,-34,
62,1,24,2024,15,39,13,841,1670,1010,3579,352,138,-38,
63,1,24,2024,15,39,13,851,1718,1215,3583,666,201,-16,
64,1,24,2024,15,39,13,861,1699,1208,3534,913,252,-12,
65,1,24,2024,15,39,13,871,1532,1125,3411,1450,178,-34,
66,1,24,2024,15,39,13,881,1624,1059,3464,2377,132,-195,
67,1,24,2024,15,39,13,891,1817,1276,3509,3316,217,-416,
68,1,24,2024,15,39,13,901,1628,1014,3553,3670,256,-513,
69,1,24,2024,15,39,13,911,1963,659,3641,3511,219,-442,
70,1,24,2024,15,39,13,921,1655,596,3667,1396,180,-341,
71,1,24,2024,15,39,13,931,1612,1379,3423,-269,-21,80,
72,1,24,2024,15,39,13,941,1664,1284,3453,95,11,0,
73,1,24,2024,15,39,13,951,1661,1232,3471,140,12,-29,
74,1,24,2024,15,39,13,961,1612,1292,3461,125,-8,-28,
75,1,24,2024,15,39,13,971,1657,1300,3465,133,-33,-32,
76,1,24,2024,15,39,13,981,1642,1282,3460,137,-43,-33,
77,1,24,2024,15,39,13,991,1674,1265,3474,145,-55,-30,
78,1,24,2024,15,39,14,1,1690,1332,3475,150,-60,-32,
79,1,24,2024,15,39,14,11,1671,1380,3449,170,-57,-30,
80,1,24,2024,15,39,14,21,1716,1287,3511,290,-59,-39,
81,1,24,2024,15,39,14,31,1736,1424,3507,121,-61,-20,
82,1,24,2024,15,39,14,41,1692,1362,3466,57,-35,-8,
83,1,24,2024,15,39,14,51,1711,1309,3487,63,-33,-5,
84,1,24,2024,15,39,14,61,1736,1365,3492,62,-24,-11,
85,1,24,2024,15,39,14,71,1785,1371,3500,45,-5,-7,
86,1,24,2024,15,39,14,91,1680,1323,3465,26,26,-12,
87,1,24,2024,15,39,14,101,1660,1319,3466,26,19,-6,
88,1,24,2024,15,39,14,111,1712,1350,3472,28,11,-3,
89,1,24,2024,15,39,14,121,1648,1329,3457,20,18,-5,
90,1,24,2024,15,39,14,131,1713,1341,3472,21,-2,1,
91,1,24,2024,15,39,14,141,1683,1327,3472,20,5,-1,
92,1,24,2024,15,39,14,151,1693,1330,3457,18,6,-1,
93,1,24,2024,15,39,14,161,1699,1364,3467,16,4,3,
94,1,24,2024,15,39,14,171,1680,1324,3469,8,2,6,
95,1,24,2024,15,39,14,181,1674,1345,3466,11,-5,9,
96,1,24,2024,15,39,14,191,1677,1366,3469,10,-12,15,
97,1,24,2024,15,39,14,201,1666,1326,3463,0,-16,18,
98,1,24,2024,15,39,14,211,1666,1332,3460,0,-28,23,
99,1,24,2024,15,39,14,221,1649,1317,3449,2,-38,24,
100,1,24,2024,15,39,14,231,1655,1305,3446,9,-47,22,
101,1,24,2024,15,39,14,241,1650,1302,3449,21,-65,17,
102,1,24,2024,15,39,14,251,1660,1317,3444,35,-80,15,
103,1,24,2024,15,39,14,261,1656,1329,3442,52,-90,9,
104,1,24,2024,15,39,14,271,1686,1341,3434,70,-95,8,
105,1,24,2024,15,39,14,281,1732,1381,3423,180,-92,25,
106,1,24,2024,15,39,14,291,1718,1350,3471,203,-77,3,
107,1,24,2024,15,39,14,301,1776,1425,3514,79,-75,10,
108,1,24,2024,15,39,14,311,1795,1396,3508,41,-61,27,
109,1,24,2024,15,39,14,321,1695,1350,3462,6,-38,32,
110,1,24,2024,15,39,14,331,1696,1315,3443,3,-38,36,
111,1,24,2024,15,39,14,341,1688,1305,3445,19,-39,28,
112,1,24,2024,15,39,14,351,1692,1314,3450,37,-41,24,
113,1,24,2024,15,39,14,361,1710,1336,3466,45,-45,15,
114,1,24,2024,15,39,14,371,1728,1330,3449,47,-41,11,
115,1,24,2024,15,39,14,381,1725,1335,3455,47,-31,7,
116,1,24,2024,15,39,14,391,1736,1333,3461,49,-23,6,
117,1,24,2024,15,39,14,401,1754,1367,3476,46,-15,-3,
118,1,24,2024,15,39,14,411,1751,1402,3481,19,-6,1,
119,1,24,2024,15,39,14,421,1734,1358,3473,-8,7,7,
120,1,24,2024,15,39,14,431,1723,1384,3455,-17,14,12,
121,1,24,2024,15,39,14,441,1687,1321,3457,-16,13,18,
122,1,24,2024,15,39,14,451,1694,1338,3444,-8,10,12,
