Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,24,2024,15,6,49,980,153,4012,916,-631,-1,-106,
2,1,24,2024,15,6,49,990,153,4012,916,-631,-1,-106,
3,1,24,2024,15,6,50,0,153,4012,916,-631,-1,-106,
4,1,24,2024,15,6,50,10,153,4012,916,-631,-1,-106,
5,1,24,2024,15,6,50,20,153,4012,916,-631,-1,-106,
6,1,24,2024,15,6,50,30,153,4012,916,-631,-1,-106,
7,1,24,2024,15,6,50,40,2201,2482,2465,-8,5,-1,
8,1,24,2024,15,6,50,50,2192,2471,2480,0,-8,-4,
9,1,24,2024,15,6,50,60,2208,2490,2462,-1,1,3,
10,1,24,2024,15,6,50,70,2207,2464,2475,-3,1,0,
11,1,24,2024,15,6,50,80,2203,2485,2455,0,-5,1,
12,1,24,2024,15,6,50,90,2198,2478,2466,3,-2,3,
13,1,24,2024,15,6,50,100,2208,2485,2454,-3,-2,7,
14,1,24,2024,15,6,50,110,2209,2470,2459,-6,1,9,
15,1,24,2024,15,6,50,120,2215,2472,2460,-5,1,6,
16,1,24,2024,15,6,50,130,2213,2476,2464,-9,4,1,
17,1,24,2024,15,6,50,140,2207,2478,2470,-11,8,1,
18,1,24,2024,15,6,50,150,2206,2475,2468,-12,11,0,
19,1,24,2024,15,6,50,160,2205,2476,2458,-13,15,-3,
20,1,24,2024,15,6,50,170,2203,2483,2454,-11,15,-5,
21,1,24,2024,15,6,50,180,2205,2477,2459,-17,18,-1,
22,1,24,2024,15,6,50,190,2208,2469,2460,-23,21,-2,
23,1,24,2024,15,6,50,200,2206,2469,2464,-27,24,-3,
24,1,24,2024,15,6,50,210,2201,2482,2457,-28,26,-3,
25,1,24,2024,15,6,50,220,2199,2478,2467,-29,28,-2,
26,1,24,2024,15,6,50,230,2202,2480,2468,-28,27,0,
27,1,24,2024,15,6,50,240,2197,2470,2470,-30,26,2,
28,1,24,2024,15,6,50,250,2200,2486,2461,-25,25,1,
29,1,24,2024,15,6,50,260,2207,2471,2473,-28,25,3,
30,1,24,2024,15,6,50,270,2199,2480,2462,-29,24,4,
31,1,24,2024,15,6,50,280,2198,2467,2489,-31,27,4,
32,1,24,2024,15,6,50,290,2206,2461,2488,-27,23,4,
33,1,24,2024,15,6,50,300,2193,2472,2493,-15,17,3,
34,1,24,2024,15,6,50,310,2201,2458,2491,-6,6,4,
35,1,24,2024,15,6,50,320,2201,2464,2490,2,1,-2,
36,1,24,2024,15,6,50,330,2206,2473,2480,9,-5,-4,
37,1,24,2024,15,6,50,340,2207,2459,2470,10,-7,-6,
38,1,24,2024,15,6,50,350,2205,2472,2469,10,-7,-10,
39,1,24,2024,15,6,50,360,2205,2470,2468,8,-1,-14,
40,1,24,2024,15,6,50,370,2196,2465,2474,6,0,-16,
41,1,24,2024,15,6,50,380,2199,2466,2475,6,0,-18,
42,1,24,2024,15,6,50,390,2201,2464,2482,7,0,-17,
43,1,24,2024,15,6,50,400,2190,2479,2474,6,1,-23,
44,1,24,2024,15,6,50,410,2194,2484,2467,10,-1,-21,
45,1,24,2024,15,6,50,420,2192,2485,2465,2,0,-18,
46,1,24,2024,15,6,50,430,2201,2486,2468,-2,3,-16,
47,1,24,2024,15,6,50,440,2196,2491,2463,-4,8,-11,
48,1,24,2024,15,6,50,450,2191,2483,2470,-9,11,-7,
49,1,24,2024,15,6,50,460,2198,2472,2477,-13,12,-2,
50,1,24,2024,15,6,50,470,2195,2476,2477,-13,12,-4,
51,1,24,2024,15,6,50,480,2188,2472,2486,-9,9,-2,
52,1,24,2024,15,6,50,490,2195,2479,2485,-7,8,-1,
53,1,24,2024,15,6,50,500,2200,2476,2480,-5,7,-2,
54,1,24,2024,15,6,50,510,2193,2478,2470,-5,6,2,
55,1,24,2024,15,6,50,520,2194,2479,2480,-5,6,1,
56,1,24,2024,15,6,50,530,2189,2473,2480,-6,7,-2,
57,1,24,2024,15,6,50,540,2198,2474,2473,-8,8,1,
58,1,24,2024,15,6,50,550,2190,2479,2475,-6,11,0,
59,1,24,2024,15,6,50,560,2192,2470,2472,-6,6,-1,
60,1,24,2024,15,6,50,570,2202,2467,2473,-10,6,-1,
61,1,24,2024,15,6,50,580,2197,2474,2480,-7,9,-1,
62,1,24,2024,15,6,50,590,2193,2474,2480,-6,8,-2,
63,1,24,2024,15,6,50,600,2191,2477,2478,-4,5,-4,
64,1,24,2024,15,6,50,610,2194,2477,2478,-7,6,-4,
65,1,24,2024,15,6,50,620,2191,2483,2471,-11,4,-3,
66,1,24,2024,15,6,50,630,2184,2484,2471,-13,6,-1,
67,1,24,2024,15,6,50,640,2191,2474,2477,-15,5,3,
68,1,24,2024,15,6,50,650,2186,2472,2485,-14,6,3,
69,1,24,2024,15,6,50,660,2189,2475,2486,-7,3,6,
70,1,24,2024,15,6,50,670,2193,2474,2487,-6,-1,6,
71,1,24,2024,15,6,50,680,2183,2470,2489,-7,-1,3,
72,1,24,2024,15,6,50,690,2187,2468,2478,-1,-8,6,
73,1,24,2024,15,6,50,700,2189,2479,2475,-1,-10,8,
74,1,24,2024,15,6,50,710,2190,2475,2479,-3,-6,10,
75,1,24,2024,15,6,50,720,2198,2470,2480,-3,-6,6,
76,1,24,2024,15,6,50,730,2195,2466,2485,-2,-4,4,
