Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,38,45,579,30,-4053,-83,-2,-8,2,
2,1,31,2024,16,38,45,589,30,-4053,-83,-2,-8,2,
3,1,31,2024,16,38,45,599,30,-4053,-83,-2,-8,2,
4,1,31,2024,16,38,45,609,30,-4053,-83,-2,-8,2,
5,1,31,2024,16,38,45,619,30,-4053,-83,-2,-8,2,
6,1,31,2024,16,38,45,629,30,-4053,-83,-2,-8,2,
7,1,31,2024,16,38,45,639,30,-4053,-83,-2,-8,2,
8,1,31,2024,16,38,45,649,2070,1540,3165,-36,-24,-14,
9,1,31,2024,16,38,45,659,2099,1496,3195,-28,-25,-4,
10,1,31,2024,16,38,45,669,2127,1519,3200,-25,-26,-5,
11,1,31,2024,16,38,45,679,2104,1491,3205,-12,-22,-15,
12,1,31,2024,16,38,45,689,2110,1440,3234,0,-20,-14,
13,1,31,2024,16,38,45,699,2105,1445,3229,11,-25,-14,
14,1,31,2024,16,38,45,709,2130,1516,3201,23,-32,-13,
15,1,31,2024,16,38,45,719,2129,1525,3192,21,-27,-14,
16,1,31,2024,16,38,45,729,2121,1534,3178,11,-11,-11,
17,1,31,2024,16,38,45,739,2104,1521,3195,-5,-2,-6,
18,1,31,2024,16,38,45,749,2121,1500,3201,-17,3,2,
19,1,31,2024,16,38,45,759,2152,1511,3202,-12,12,0,
20,1,31,2024,16,38,45,769,2117,1526,3188,-12,32,-3,
21,1,31,2024,16,38,45,779,2086,1519,3186,-21,36,-5,
22,1,31,2024,16,38,45,789,2105,1464,3228,-22,30,0,
23,1,31,2024,16,38,45,799,2150,1439,3237,-1,30,-4,
24,1,31,2024,16,38,45,809,2115,1501,3201,30,45,-15,
25,1,31,2024,16,38,45,819,2074,1518,3192,30,49,-19,
26,1,31,2024,16,38,45,829,2099,1478,3216,23,38,-16,
27,1,31,2024,16,38,45,839,2120,1506,3206,26,36,-16,
28,1,31,2024,16,38,45,849,2096,1521,3188,26,42,-22,
29,1,31,2024,16,38,45,859,2067,1528,3184,7,45,-17,
30,1,31,2024,16,38,45,869,2073,1502,3202,-5,36,-5,
31,1,31,2024,16,38,45,879,2087,1491,3209,-8,25,2,
32,1,31,2024,16,38,45,889,2091,1525,3198,-12,19,1,
33,1,31,2024,16,38,45,899,2090,1513,3201,-16,21,2,
34,1,31,2024,16,38,45,909,2089,1495,3211,-15,16,1,
35,1,31,2024,16,38,45,919,2090,1513,3206,-13,13,5,
36,1,31,2024,16,38,45,929,2089,1506,3201,-15,12,8,
37,1,31,2024,16,38,45,939,2083,1501,3208,-18,6,10,
38,1,31,2024,16,38,45,949,2089,1505,3204,-13,2,11,
39,1,31,2024,16,38,45,959,2086,1505,3203,-15,-6,9,
40,1,31,2024,16,38,45,969,2082,1510,3202,-14,-7,15,
41,1,31,2024,16,38,45,979,2077,1499,3207,-7,-20,14,
42,1,31,2024,16,38,45,989,2094,1506,3200,-3,-25,14,
43,1,31,2024,16,38,45,999,2097,1504,3203,-5,-22,16,
44,1,31,2024,16,38,46,9,2101,1489,3215,0,-21,17,
45,1,31,2024,16,38,46,19,2096,1497,3208,11,-26,12,
46,1,31,2024,16,38,46,29,2100,1504,3203,16,-25,8,
47,1,31,2024,16,38,46,39,2118,1486,3217,26,-27,5,
48,1,31,2024,16,38,46,49,2088,1516,3198,36,-25,-2,
49,1,31,2024,16,38,46,59,2090,1509,3199,42,-30,-5,
50,1,31,2024,16,38,46,69,2092,1509,3204,49,-34,-2,
51,1,31,2024,16,38,46,79,2086,1521,3200,49,-36,-1,
52,1,31,2024,16,38,46,89,2084,1521,3200,48,-42,1,
53,1,31,2024,16,38,46,99,2093,1521,3198,47,-43,2,
54,1,31,2024,16,38,46,109,2097,1515,3195,45,-43,-3,
55,1,31,2024,16,38,46,119,2109,1513,3193,46,-45,-3,
56,1,31,2024,16,38,46,129,2105,1510,3192,53,-45,-4,
57,1,31,2024,16,38,46,139,2102,1512,3195,58,-47,-12,
58,1,31,2024,16,38,46,149,2097,1528,3194,62,-49,-14,
59,1,31,2024,16,38,46,159,2110,1531,3203,62,-50,-17,
60,1,31,2024,16,38,46,169,2114,1530,3190,67,-47,-22,
61,1,31,2024,16,38,46,179,2118,1526,3191,71,-46,-22,
62,1,31,2024,16,38,46,189,2110,1535,3184,76,-43,-28,
63,1,31,2024,16,38,46,199,2106,1541,3181,77,-41,-35,
64,1,31,2024,16,38,46,209,2112,1534,3189,75,-39,-39,
65,1,31,2024,16,38,46,219,2108,1526,3180,82,-36,-39,
66,1,31,2024,16,38,46,229,2097,1543,3176,82,-35,-38,
67,1,31,2024,16,38,46,239,2106,1528,3188,83,-40,-40,
68,1,31,2024,16,38,46,249,2119,1537,3183,83,-43,-41,
69,1,31,2024,16,38,46,259,2090,1585,3168,80,-38,-40,
70,1,31,2024,16,38,46,269,2114,1580,3176,68,-36,-35,
71,1,31,2024,16,38,46,279,2106,1542,3181,58,-33,-31,
72,1,31,2024,16,38,46,289,2119,1537,3177,62,-31,-35,
73,1,31,2024,16,38,46,299,2129,1539,3179,66,-25,-43,
74,1,31,2024,16,38,46,309,2105,1550,3176,69,-18,-49,
75,1,31,2024,16,38,46,319,2089,1543,3179,67,-21,-47,
76,1,31,2024,16,38,46,329,2089,1557,3182,67,-29,-39,
77,1,31,2024,16,38,46,339,2091,1583,3165,60,-34,-33,
78,1,31,2024,16,38,46,349,2080,1554,3174,56,-36,-29,
79,1,31,2024,16,38,46,359,2108,1543,3175,71,-47,-35,
80,1,31,2024,16,38,46,369,2127,1581,3145,69,-43,-34,
81,1,31,2024,16,38,46,379,2104,1597,3145,46,-32,-30,
82,1,31,2024,16,38,46,389,2088,1578,3154,35,-27,-28,
83,1,31,2024,16,38,46,399,2102,1583,3155,15,-17,-18,
84,1,31,2024,16,38,46,409,2098,1579,3166,8,-11,-15,
85,1,31,2024,16,38,46,419,2092,1548,3177,6,-9,-11,
86,1,31,2024,16,38,46,439,2085,1581,3170,8,-15,-7,
87,1,31,2024,16,38,46,449,2114,1576,3170,-4,-18,0,
88,1,31,2024,16,38,46,459,2115,1571,3159,-5,-13,1,
89,1,31,2024,16,38,46,469,2104,1558,3171,-15,-4,0,
90,1,31,2024,16,38,46,479,2097,1520,3197,-11,-8,-5,
91,1,31,2024,16,38,46,489,2103,1559,3165,3,-9,-8,
92,1,31,2024,16,38,46,499,2102,1568,3158,-5,-6,-7,
93,1,31,2024,16,38,46,509,2071,1564,3170,-15,-8,-7,
94,1,31,2024,16,38,46,519,2086,1604,3151,-21,-11,7,
95,1,31,2024,16,38,46,529,2108,1588,3154,-32,-15,17,
96,1,31,2024,16,38,46,539,2117,1569,3162,-42,-14,20,
97,1,31,2024,16,38,46,549,2106,1558,3165,-41,-7,15,
98,1,31,2024,16,38,46,559,2103,1516,3193,-28,-6,7,
99,1,31,2024,16,38,46,569,2108,1545,3186,-21,-11,5,
100,1,31,2024,16,38,46,579,2125,1571,3165,-12,-12,5,
101,1,31,2024,16,38,46,589,2113,1545,3181,-13,-8,-1,
