Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,36,1,329,108,-4075,-19,-1,1,5,
2,2,8,2024,9,36,1,339,108,-4075,-19,-1,1,5,
3,2,8,2024,9,36,1,349,108,-4075,-19,-1,1,5,
4,2,8,2024,9,36,1,359,108,-4075,-19,-1,1,5,
5,2,8,2024,9,36,1,369,108,-4075,-19,-1,1,5,
6,2,8,2024,9,36,1,379,108,-4075,-19,-1,1,5,
7,2,8,2024,9,36,1,389,2146,-893,3401,0,2,-3,
8,2,8,2024,9,36,1,399,2154,-903,3400,3,9,-10,
9,2,8,2024,9,36,1,409,2149,-906,3396,-4,2,3,
10,2,8,2024,9,36,1,419,2156,-900,3406,-4,5,2,
11,2,8,2024,9,36,1,429,2155,-905,3400,-4,7,1,
12,2,8,2024,9,36,1,439,2156,-898,3394,-4,7,2,
13,2,8,2024,9,36,1,449,2152,-906,3394,-10,5,0,
14,2,8,2024,9,36,1,459,2150,-908,3396,-4,4,2,
15,2,8,2024,9,36,1,469,2151,-906,3399,-3,5,3,
16,2,8,2024,9,36,1,479,2149,-901,3403,0,4,1,
17,2,8,2024,9,36,1,489,2151,-902,3405,-1,5,3,
18,2,8,2024,9,36,1,499,2149,-910,3401,-1,5,4,
19,2,8,2024,9,36,1,509,2150,-910,3396,-2,7,1,
20,2,8,2024,9,36,1,519,2150,-899,3396,-2,5,3,
21,2,8,2024,9,36,1,529,2147,-902,3406,-1,5,3,
22,2,8,2024,9,36,1,539,2150,-901,3398,-4,3,3,
23,2,8,2024,9,36,1,549,2148,-898,3400,-1,4,1,
24,2,8,2024,9,36,1,559,2152,-900,3398,1,7,0,
25,2,8,2024,9,36,1,569,2156,-903,3405,1,8,-1,
26,2,8,2024,9,36,1,579,2156,-903,3403,0,3,2,
27,2,8,2024,9,36,1,589,2156,-899,3402,0,4,1,
28,2,8,2024,9,36,1,599,2148,-901,3399,-3,3,-1,
29,2,8,2024,9,36,1,609,2152,-905,3397,-4,3,1,
30,2,8,2024,9,36,1,619,2150,-902,3398,-3,5,0,
31,2,8,2024,9,36,1,629,2149,-907,3401,-4,5,-2,
32,2,8,2024,9,36,1,639,2151,-902,3403,-1,4,1,
33,2,8,2024,9,36,1,649,2149,-900,3391,-2,4,0,
34,2,8,2024,9,36,1,659,2148,-906,3401,-3,6,3,
35,2,8,2024,9,36,1,669,2152,-901,3407,-1,4,2,
36,2,8,2024,9,36,1,679,2155,-898,3406,-1,3,0,
37,2,8,2024,9,36,1,689,2147,-899,3393,2,6,1,
38,2,8,2024,9,36,1,699,2150,-905,3400,1,6,-1,
39,2,8,2024,9,36,1,709,2154,-908,3400,-2,6,1,
40,2,8,2024,9,36,1,719,2155,-906,3403,0,0,0,
41,2,8,2024,9,36,1,729,2154,-903,3399,-1,5,-1,
42,2,8,2024,9,36,1,739,2148,-904,3401,-1,5,2,
43,2,8,2024,9,36,1,749,2150,-908,3402,-2,4,3,
44,2,8,2024,9,36,1,759,2157,-900,3400,-2,3,0,
45,2,8,2024,9,36,1,769,2153,-902,3399,-1,7,0,
46,2,8,2024,9,36,1,779,2150,-910,3399,-3,6,-2,
47,2,8,2024,9,36,1,789,2151,-902,3404,-2,5,-2,
48,2,8,2024,9,36,1,799,2154,-895,3405,1,3,0,
49,2,8,2024,9,36,1,809,2149,-900,3397,-4,4,-1,
50,2,8,2024,9,36,1,819,2156,-907,3403,-4,4,2,
51,2,8,2024,9,36,1,829,2153,-900,3403,-6,2,5,
52,2,8,2024,9,36,1,839,2158,-909,3398,-5,1,2,
53,2,8,2024,9,36,1,849,2159,-907,3398,-5,4,3,
54,2,8,2024,9,36,1,859,2156,-902,3389,-6,1,0,
55,2,8,2024,9,36,1,869,2150,-900,3393,-5,3,0,
56,2,8,2024,9,36,1,879,2156,-904,3401,-3,3,0,
57,2,8,2024,9,36,1,889,2155,-903,3400,-2,5,-2,
58,2,8,2024,9,36,1,899,2146,-904,3398,-3,5,-1,
59,2,8,2024,9,36,1,909,2151,-902,3401,1,4,1,
60,2,8,2024,9,36,1,919,2154,-897,3403,-3,6,1,
61,2,8,2024,9,36,1,929,2155,-899,3400,-8,6,-1,
62,2,8,2024,9,36,1,939,2155,-904,3394,-4,4,-1,
63,2,8,2024,9,36,1,949,2151,-905,3401,-3,3,0,
64,2,8,2024,9,36,1,959,2147,-902,3401,-4,1,1,
65,2,8,2024,9,36,1,969,2150,-911,3399,-1,2,1,
66,2,8,2024,9,36,1,979,2153,-903,3402,-1,2,-2,
67,2,8,2024,9,36,1,989,2147,-902,3405,-1,4,0,
68,2,8,2024,9,36,1,999,2150,-897,3400,0,5,1,
69,2,8,2024,9,36,2,9,2157,-901,3400,0,3,0,
70,2,8,2024,9,36,2,19,2149,-905,3397,-4,4,1,
71,2,8,2024,9,36,2,29,2150,-903,3400,-5,4,-1,
72,2,8,2024,9,36,2,39,2154,-896,3405,-1,5,3,
73,2,8,2024,9,36,2,49,2146,-901,3396,0,3,-1,
74,2,8,2024,9,36,2,59,2144,-902,3402,-1,0,-1,
75,2,8,2024,9,36,2,69,2146,-899,3400,0,2,2,
76,2,8,2024,9,36,2,79,2154,-909,3396,-2,5,-1,
