Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,42,58,517,140,-4092,-34,-1,-1,6,
2,2,8,2024,9,42,58,527,140,-4092,-34,-1,-1,6,
3,2,8,2024,9,42,58,537,140,-4092,-34,-1,-1,6,
4,2,8,2024,9,42,58,547,140,-4092,-34,-1,-1,6,
5,2,8,2024,9,42,58,557,140,-4092,-34,-1,-1,6,
6,2,8,2024,9,42,58,567,140,-4092,-34,-1,-1,6,
7,2,8,2024,9,42,58,577,2149,-1047,3340,-7,7,14,
8,2,8,2024,9,42,58,587,2143,-1049,3324,-7,19,-3,
9,2,8,2024,9,42,58,597,2149,-1055,3326,-12,2,13,
10,2,8,2024,9,42,58,607,2143,-1053,3324,-18,2,17,
11,2,8,2024,9,42,58,617,2150,-1056,3313,-21,6,14,
12,2,8,2024,9,42,58,627,2164,-1049,3316,-17,3,17,
13,2,8,2024,9,42,58,637,2159,-1054,3318,-17,6,20,
14,2,8,2024,9,42,58,647,2147,-1046,3324,-21,6,24,
15,2,8,2024,9,42,58,657,2147,-1054,3324,-27,4,24,
16,2,8,2024,9,42,58,667,2150,-1063,3317,-24,6,24,
17,2,8,2024,9,42,58,677,2155,-1064,3325,-22,6,26,
18,2,8,2024,9,42,58,687,2154,-1054,3327,-22,6,25,
19,2,8,2024,9,42,58,697,2149,-1050,3325,-22,6,29,
20,2,8,2024,9,42,58,707,2164,-1071,3319,-25,2,29,
21,2,8,2024,9,42,58,717,2160,-1083,3310,-22,4,30,
22,2,8,2024,9,42,58,727,2151,-1073,3312,-18,6,31,
23,2,8,2024,9,42,58,737,2151,-1067,3317,-19,9,26,
24,2,8,2024,9,42,58,747,2155,-1069,3327,-16,13,22,
25,2,8,2024,9,42,58,757,2152,-1078,3322,-16,13,23,
26,2,8,2024,9,42,58,767,2161,-1077,3319,-9,15,24,
27,2,8,2024,9,42,58,777,2161,-1062,3325,-6,21,22,
28,2,8,2024,9,42,58,787,2165,-1045,3326,-4,22,23,
29,2,8,2024,9,42,58,797,2152,-1039,3333,-1,28,29,
30,2,8,2024,9,42,58,807,2151,-1036,3342,-3,30,34,
31,2,8,2024,9,42,58,817,2152,-1085,3331,-8,32,36,
32,2,8,2024,9,42,58,827,2142,-1097,3321,0,28,28,
33,2,8,2024,9,42,58,837,2140,-1069,3315,3,29,24,
34,2,8,2024,9,42,58,847,2135,-1119,3309,11,35,22,
35,2,8,2024,9,42,58,857,2131,-1119,3312,28,33,13,
36,2,8,2024,9,42,58,867,2134,-1110,3311,38,35,4,
37,2,8,2024,9,42,58,877,2128,-1083,3336,47,40,-3,
38,2,8,2024,9,42,58,887,2127,-1046,3339,50,29,-7,
39,2,8,2024,9,42,58,897,2136,-1047,3322,45,15,-6,
40,2,8,2024,9,42,58,907,2141,-1091,3307,43,19,-4,
41,2,8,2024,9,42,58,917,2127,-1120,3308,58,23,-10,
42,2,8,2024,9,42,58,927,2099,-1094,3338,70,24,-20,
43,2,8,2024,9,42,58,937,2139,-1068,3318,73,10,-34,
44,2,8,2024,9,42,58,947,2144,-1112,3293,85,11,-41,
45,2,8,2024,9,42,58,957,2116,-1065,3321,96,19,-45,
46,2,8,2024,9,42,58,967,2122,-1086,3321,102,23,-51,
47,2,8,2024,9,42,58,977,2139,-1077,3326,110,23,-58,
48,2,8,2024,9,42,58,987,2147,-1034,3330,115,21,-63,
49,2,8,2024,9,42,58,997,2139,-1058,3326,120,23,-59,
50,2,8,2024,9,42,59,7,2147,-1061,3326,127,25,-64,
51,2,8,2024,9,42,59,17,2152,-1058,3327,143,29,-72,
52,2,8,2024,9,42,59,27,2114,-1089,3349,152,40,-77,
53,2,8,2024,9,42,59,37,2101,-1042,3357,155,35,-89,
