Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,9,2024,11,16,26,489,74,-4045,497,-3,3,3,
2,2,9,2024,11,16,26,499,74,-4045,497,-3,3,3,
3,2,9,2024,11,16,26,509,74,-4045,497,-3,3,3,
4,2,9,2024,11,16,26,519,74,-4045,497,-3,3,3,
5,2,9,2024,11,16,26,529,74,-4045,497,-3,3,3,
6,2,9,2024,11,16,26,539,74,-4045,497,-3,3,3,
7,2,9,2024,11,16,26,549,2142,1324,3275,-24,-23,-35,
8,2,9,2024,11,16,26,559,2149,1311,3267,3,-35,-4,
9,2,9,2024,11,16,26,569,2148,1295,3272,0,-22,-9,
10,2,9,2024,11,16,26,579,2141,1278,3271,-1,-19,-13,
11,2,9,2024,11,16,26,589,2135,1291,3273,6,-20,-9,
12,2,9,2024,11,16,26,599,2132,1294,3275,15,-16,-8,
13,2,9,2024,11,16,26,609,2134,1310,3263,22,-14,-7,
14,2,9,2024,11,16,26,619,2132,1327,3264,22,-13,-8,
15,2,9,2024,11,16,26,629,2149,1326,3265,18,-16,-4,
16,2,9,2024,11,16,26,639,2145,1319,3259,18,-19,3,
17,2,9,2024,11,16,26,649,2148,1303,3266,22,-20,5,
18,2,9,2024,11,16,26,659,2148,1311,3261,23,-18,4,
19,2,9,2024,11,16,26,669,2136,1299,3270,21,-17,1,
20,2,9,2024,11,16,26,679,2141,1319,3263,30,-19,1,
21,2,9,2024,11,16,26,689,2152,1332,3251,34,-27,1,
22,2,9,2024,11,16,26,699,2137,1313,3256,36,-27,0,
23,2,9,2024,11,16,26,709,2145,1332,3266,37,-27,5,
24,2,9,2024,11,16,26,719,2159,1339,3261,36,-27,3,
25,2,9,2024,11,16,26,729,2156,1312,3266,31,-30,12,
26,2,9,2024,11,16,26,739,2151,1310,3270,33,-30,12,
27,2,9,2024,11,16,26,749,2151,1304,3262,32,-29,6,
28,2,9,2024,11,16,26,759,2146,1303,3259,38,-27,5,
29,2,9,2024,11,16,26,769,2157,1334,3248,41,-23,5,
30,2,9,2024,11,16,26,779,2164,1351,3244,39,-16,3,
31,2,9,2024,11,16,26,789,2165,1351,3247,34,-12,7,
32,2,9,2024,11,16,26,799,2155,1323,3253,26,-12,6,
33,2,9,2024,11,16,26,809,2137,1303,3261,25,-15,9,
34,2,9,2024,11,16,26,819,2134,1300,3268,33,-23,2,
35,2,9,2024,11,16,26,829,2139,1297,3262,47,-29,1,
36,2,9,2024,11,16,26,839,2155,1319,3263,57,-33,1,
37,2,9,2024,11,16,26,849,2166,1373,3230,56,-32,1,
38,2,9,2024,11,16,26,859,2170,1369,3234,43,-28,5,
39,2,9,2024,11,16,26,869,2168,1350,3244,35,-27,10,
40,2,9,2024,11,16,26,879,2164,1321,3253,26,-25,11,
41,2,9,2024,11,16,26,889,2156,1303,3260,29,-26,2,
42,2,9,2024,11,16,26,899,2165,1318,3254,38,-27,-3,
43,2,9,2024,11,16,26,909,2171,1329,3243,41,-22,-8,
44,2,9,2024,11,16,26,919,2158,1338,3239,39,-12,-7,
45,2,9,2024,11,16,26,929,2167,1372,3229,33,-9,-6,
46,2,9,2024,11,16,26,939,2167,1378,3229,17,-8,-2,
47,2,9,2024,11,16,26,949,2146,1335,3250,9,-7,2,
48,2,9,2024,11,16,26,959,2156,1344,3248,10,-10,0,
49,2,9,2024,11,16,26,969,2155,1331,3245,7,-7,0,
50,2,9,2024,11,16,26,979,2160,1317,3253,7,-8,2,
51,2,9,2024,11,16,26,989,2177,1338,3247,12,-6,-5,
52,2,9,2024,11,16,26,999,2178,1341,3251,11,0,-5,
53,2,9,2024,11,16,27,9,2182,1349,3241,6,4,-5,
54,2,9,2024,11,16,27,19,2164,1368,3227,0,11,-3,
55,2,9,2024,11,16,27,29,2162,1360,3228,-10,14,-2,
56,2,9,2024,11,16,27,39,2162,1319,3248,-14,8,1,
57,2,9,2024,11,16,27,49,2158,1326,3245,-9,7,-1,
58,2,9,2024,11,16,27,59,2171,1326,3239,-9,7,-5,
59,2,9,2024,11,16,27,69,2150,1320,3248,-6,9,-6,
60,2,9,2024,11,16,27,79,2143,1337,3247,-1,7,-6,
61,2,9,2024,11,16,27,89,2159,1343,3241,-1,7,-5,
62,2,9,2024,11,16,27,99,2157,1346,3245,-2,2,-5,
1,2,9,2024,11,16,26,489,74,-4045,497,-3,3,3,
2,2,9,2024,11,16,26,499,74,-4045,497,-3,3,3,
3,2,9,2024,11,16,26,509,74,-4045,497,-3,3,3,
4,2,9,2024,11,16,26,519,74,-4045,497,-3,3,3,
5,2,9,2024,11,16,26,529,74,-4045,497,-3,3,3,
6,2,9,2024,11,16,26,539,74,-4045,497,-3,3,3,
7,2,9,2024,11,16,26,549,2142,1324,3275,-24,-23,-35,
8,2,9,2024,11,16,26,559,2149,1311,3267,3,-35,-4,
9,2,9,2024,11,16,26,569,2148,1295,3272,0,-22,-9,
10,2,9,2024,11,16,26,579,2141,1278,3271,-1,-19,-13,
11,2,9,2024,11,16,26,589,2135,1291,3273,6,-20,-9,
12,2,9,2024,11,16,26,599,2132,1294,3275,15,-16,-8,
13,2,9,2024,11,16,26,609,2134,1310,3263,22,-14,-7,
14,2,9,2024,11,16,26,619,2132,1327,3264,22,-13,-8,
15,2,9,2024,11,16,26,629,2149,1326,3265,18,-16,-4,
16,2,9,2024,11,16,26,639,2145,1319,3259,18,-19,3,
17,2,9,2024,11,16,26,649,2148,1303,3266,22,-20,5,
18,2,9,2024,11,16,26,659,2148,1311,3261,23,-18,4,
19,2,9,2024,11,16,26,669,2136,1299,3270,21,-17,1,
20,2,9,2024,11,16,26,679,2141,1319,3263,30,-19,1,
21,2,9,2024,11,16,26,689,2152,1332,3251,34,-27,1,
22,2,9,2024,11,16,26,699,2137,1313,3256,36,-27,0,
23,2,9,2024,11,16,26,709,2145,1332,3266,37,-27,5,
24,2,9,2024,11,16,26,719,2159,1339,3261,36,-27,3,
25,2,9,2024,11,16,26,729,2156,1312,3266,31,-30,12,
26,2,9,2024,11,16,26,739,2151,1310,3270,33,-30,12,
27,2,9,2024,11,16,26,749,2151,1304,3262,32,-29,6,
28,2,9,2024,11,16,26,759,2146,1303,3259,38,-27,5,
29,2,9,2024,11,16,26,769,2157,1334,3248,41,-23,5,
30,2,9,2024,11,16,26,779,2164,1351,3244,39,-16,3,
31,2,9,2024,11,16,26,789,2165,1351,3247,34,-12,7,
32,2,9,2024,11,16,26,799,2155,1323,3253,26,-12,6,
33,2,9,2024,11,16,26,809,2137,1303,3261,25,-15,9,
34,2,9,2024,11,16,26,819,2134,1300,3268,33,-23,2,
35,2,9,2024,11,16,26,829,2139,1297,3262,47,-29,1,
36,2,9,2024,11,16,26,839,2155,1319,3263,57,-33,1,
37,2,9,2024,11,16,26,849,2166,1373,3230,56,-32,1,
38,2,9,2024,11,16,26,859,2170,1369,3234,43,-28,5,
39,2,9,2024,11,16,26,869,2168,1350,3244,35,-27,10,
40,2,9,2024,11,16,26,879,2164,1321,3253,26,-25,11,
41,2,9,2024,11,16,26,889,2156,1303,3260,29,-26,2,
42,2,9,2024,11,16,26,899,2165,1318,3254,38,-27,-3,
43,2,9,2024,11,16,26,909,2171,1329,3243,41,-22,-8,
44,2,9,2024,11,16,26,919,2158,1338,3239,39,-12,-7,
45,2,9,2024,11,16,26,929,2167,1372,3229,33,-9,-6,
46,2,9,2024,11,16,26,939,2167,1378,3229,17,-8,-2,
47,2,9,2024,11,16,26,949,2146,1335,3250,9,-7,2,
48,2,9,2024,11,16,26,959,2156,1344,3248,10,-10,0,
49,2,9,2024,11,16,26,969,2155,1331,3245,7,-7,0,
50,2,9,2024,11,16,26,979,2160,1317,3253,7,-8,2,
51,2,9,2024,11,16,26,989,2177,1338,3247,12,-6,-5,
52,2,9,2024,11,16,26,999,2178,1341,3251,11,0,-5,
53,2,9,2024,11,16,27,9,2182,1349,3241,6,4,-5,
54,2,9,2024,11,16,27,19,2164,1368,3227,0,11,-3,
55,2,9,2024,11,16,27,29,2162,1360,3228,-10,14,-2,
56,2,9,2024,11,16,27,39,2162,1319,3248,-14,8,1,
57,2,9,2024,11,16,27,49,2158,1326,3245,-9,7,-1,
58,2,9,2024,11,16,27,59,2171,1326,3239,-9,7,-5,
59,2,9,2024,11,16,27,69,2150,1320,3248,-6,9,-6,
60,2,9,2024,11,16,27,79,2143,1337,3247,-1,7,-6,
61,2,9,2024,11,16,27,89,2159,1343,3241,-1,7,-5,
62,2,9,2024,11,16,27,99,2157,1346,3245,-2,2,-5,
63,2,9,2024,11,16,27,109,2165,1363,3243,-3,-1,-9,
64,2,9,2024,11,16,27,119,2159,1347,3243,-6,-5,-5,
65,2,9,2024,11,16,27,129,2157,1315,3247,-4,-7,-4,
66,2,9,2024,11,16,27,139,2142,1306,3252,0,-5,-9,
67,2,9,2024,11,16,27,149,2153,1335,3250,7,-5,-7,
68,2,9,2024,11,16,27,159,2167,1339,3253,8,-6,-10,
69,2,9,2024,11,16,27,169,2155,1334,3245,5,-7,-9,
70,2,9,2024,11,16,27,179,2166,1352,3233,3,-8,-8,
71,2,9,2024,11,16,27,189,2160,1346,3235,6,-10,-8,
72,2,9,2024,11,16,27,199,2150,1326,3247,6,-13,-13,
73,2,9,2024,11,16,27,209,2156,1320,3251,10,-13,-8,
