Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,9,2024,11,11,59,657,109,-4051,21,-8,-2,3,
2,2,9,2024,11,11,59,667,109,-4051,21,-8,-2,3,
3,2,9,2024,11,11,59,677,109,-4051,21,-8,-2,3,
4,2,9,2024,11,11,59,687,109,-4051,21,-8,-2,3,
5,2,9,2024,11,11,59,697,109,-4051,21,-8,-2,3,
6,2,9,2024,11,11,59,707,109,-4051,21,-8,-2,3,
7,2,9,2024,11,11,59,717,2342,1785,2879,-8,-9,5,
8,2,9,2024,11,11,59,727,2346,1780,2872,-6,-7,14,
9,2,9,2024,11,11,59,737,2351,1770,2872,-15,-1,9,
10,2,9,2024,11,11,59,747,2346,1762,2884,-19,5,3,
11,2,9,2024,11,11,59,757,2346,1761,2892,-18,9,2,
12,2,9,2024,11,11,59,767,2356,1768,2885,-13,11,0,
13,2,9,2024,11,11,59,777,2350,1779,2882,-15,10,-4,
14,2,9,2024,11,11,59,787,2348,1775,2887,-9,11,-7,
15,2,9,2024,11,11,59,797,2343,1774,2889,-8,12,-8,
16,2,9,2024,11,11,59,807,2337,1772,2883,-7,14,-8,
17,2,9,2024,11,11,59,817,2319,1772,2893,-10,10,-7,
18,2,9,2024,11,11,59,827,2374,1760,2892,-8,6,-10,
19,2,9,2024,11,11,59,837,2345,1767,2874,-2,14,-17,
20,2,9,2024,11,11,59,847,2343,1763,2883,-1,19,-20,
21,2,9,2024,11,11,59,857,2341,1774,2880,-4,23,-23,
22,2,9,2024,11,11,59,867,2336,1784,2886,-9,22,-22,
23,2,9,2024,11,11,59,877,2337,1794,2889,-11,26,-20,
24,2,9,2024,11,11,59,887,2334,1768,2894,-11,26,-15,
25,2,9,2024,11,11,59,897,2337,1769,2899,-9,22,-19,
26,2,9,2024,11,11,59,907,2328,1777,2896,-3,16,-22,
27,2,9,2024,11,11,59,917,2334,1779,2891,-2,13,-18,
28,2,9,2024,11,11,59,927,2332,1788,2899,1,14,-16,
29,2,9,2024,11,11,59,937,2327,1776,2900,3,9,-14,
30,2,9,2024,11,11,59,947,2332,1776,2890,5,3,-17,
31,2,9,2024,11,11,59,957,2327,1780,2898,4,7,-19,
32,2,9,2024,11,11,59,967,2324,1801,2891,7,5,-14,
